published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-01-27,250.00,250.00,250.00,250.00,0.00,66430.00,16607500.00,0
2025-01-28,250.00,250.00,250.00,250.00,0.00,7300.00,1825000.00,0
2025-01-29,250.00,250.00,250.00,250.00,0.00,7300.00,1825000.00,0
2025-01-30,250.00,250.00,250.00,250.00,0.00,7300.00,1825000.00,0
2025-02-05,250.00,250.00,250.00,250.00,0.00,72857.00,18214250.00,0
2025-02-06,250.00,250.00,250.00,250.00,0.00,18250.00,4562500.00,0
2025-03-03,250.00,250.00,250.00,250.00,0.00,72857.00,18214250.00,0
2025-03-20,100.00,100.00,100.00,100.00,0.00,7286.00,1821500.00,0
2025-03-23,100.00,100.00,100.00,100.00,0.00,7286.00,1821500.00,0
2025-04-23,323.00,323.00,323.00,323.00,0.00,100.00,32300.00,0
2025-04-29,323.00,323.00,323.00,323.00,0.00,43714.00,14119622.00,0
2025-05-04,323.00,323.00,323.00,323.00,0.00,7286.00,2353378.00,0
2025-05-11,323.00,323.00,323.00,323.00,0.00,36429.00,9107250.00,0
2025-05-12,323.00,323.00,323.00,323.00,0.00,36429.00,9107250.00,0
2025-05-15,323.00,323.00,323.00,323.00,0.00,320573.00,80143250.00,0
2025-05-20,323.00,323.00,323.00,323.00,0.00,37922.00,9480500.00,0
2026-04-23,266.00,266.00,266.00,266.00,0.00,39237.00,10437042.00,0
2026-04-24,266.00,264.00,264.00,264.00,-0.75,39237.00,10358568.00,-1
2026-04-27,264.00,262.00,262.00,262.00,-0.76,78475.00,20560450.00,-1
2026-04-28,262.00,260.00,260.00,260.00,-0.76,39237.00,10201620.00,-1
2026-04-29,260.00,258.00,258.00,258.00,-0.77,78475.00,20246550.00,-1
2026-05-19,258.00,258.00,258.00,258.00,0.00,7732.00,1994856.00,0
