published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-27,237.0,235.0,235.0,235.0,nan,1239.0,291165.0,0
2011-03-28,235.0,233.0,233.0,233.0,-0.85,100.0,23300.0,0
2011-03-29,233.0,229.0,225.0,225.0,-3.43,1062.0,239810.0,0
2011-03-30,225.0,225.0,225.0,225.0,0.0,123.0,27675.0,0
2011-03-31,225.0,222.0,218.0,218.0,-3.11,644.0,140836.0,0
2011-04-04,218.0,222.0,222.0,222.0,1.83,161.0,35742.0,0
2011-04-06,222.0,222.0,222.0,222.0,0.0,123.0,27306.0,0
2011-04-11,222.0,225.0,221.0,221.0,-0.45,278.0,62150.0,0
2011-04-17,221.0,220.0,220.0,220.0,-0.45,211.0,46420.0,0
2011-05-10,220.0,216.0,216.0,216.0,-1.82,156.0,33696.0,0
2011-05-12,216.0,212.0,212.0,212.0,-1.85,1000.0,212000.0,0
2011-05-15,212.0,208.0,208.0,208.0,-1.89,1000.0,208000.0,0
2011-05-16,208.0,204.0,204.0,204.0,-1.92,1000.0,204000.0,0
2011-05-18,204.0,203.0,203.0,203.0,-0.49,131.0,26593.0,0
2011-05-24,203.0,193.0,190.0,190.0,-6.40,9000.0,1713000.0,0
2011-05-25,190.0,190.0,190.0,190.0,0.0,10000.0,1900000.0,0
2011-05-26,190.0,190.0,190.0,190.0,0.0,10000.0,1900000.0,0
2011-06-06,190.0,187.0,187.0,187.0,-1.58,17000.0,3179000.0,0
2011-06-08,187.0,190.0,190.0,190.0,1.60,300.0,57000.0,0
2011-06-09,190.0,193.0,193.0,193.0,1.58,300.0,57900.0,0
2011-06-12,193.0,192.0,192.0,192.0,-0.52,300.0,57600.0,0
2011-06-13,192.0,190.0,190.0,190.0,-1.04,1000.0,190000.0,0
2011-06-16,190.0,193.0,190.0,190.0,0.0,1369.0,261217.0,0
2011-06-27,190.0,193.0,193.0,193.0,1.58,1300.0,250900.0,0
2011-07-03,193.0,196.0,190.0,196.0,1.55,1600.0,307300.0,0
2011-07-05,196.0,196.0,196.0,196.0,0.0,713.0,139748.0,0
2011-07-06,196.0,199.0,199.0,199.0,1.53,100.0,19900.0,0
2011-07-07,199.0,196.0,196.0,196.0,-1.51,711.0,139356.0,0
2011-07-10,196.0,199.0,199.0,199.0,1.53,100.0,19900.0,0
2011-07-11,199.0,202.0,202.0,202.0,1.51,100.0,20200.0,0
2011-07-13,202.0,202.0,202.0,202.0,0.0,3485.0,703970.0,0
2011-07-24,202.0,198.0,198.0,198.0,-1.98,304.0,60192.0,0
2011-07-31,198.0,200.0,200.0,200.0,1.01,1409.0,281800.0,0
2011-08-01,200.0,196.0,196.0,196.0,-2.00,200.0,39200.0,0
2011-08-18,196.0,193.0,180.0,180.0,-8.16,28015.0,5050500.0,0
2011-09-20,180.0,183.0,180.0,183.0,1.67,3346.0,603612.0,0
2011-11-08,183.0,186.0,186.0,186.0,1.64,100.0,18600.0,0
2011-11-15,186.0,140.0,140.0,140.0,-24.73,1020144.0,142820160.0,0
2011-12-04,192.0,195.0,195.0,195.0,39.29,304.0,59280.0,0
2011-12-05,195.0,198.0,198.0,198.0,1.54,723.0,143154.0,0
2011-12-07,198.0,201.0,201.0,201.0,1.52,304.0,61104.0,0
2012-01-16,201.0,168.0,168.0,168.0,-16.42,100.0,16800.0,0
2012-01-23,168.0,171.0,171.0,171.0,1.79,113.0,19323.0,0
2012-01-31,171.0,171.0,171.0,171.0,0.0,762.0,130302.0,0
2012-02-01,171.0,188.0,174.0,188.0,9.94,1252.0,229023.0,0
2012-02-12,188.0,185.0,185.0,185.0,-1.60,1496.0,276760.0,0
2012-02-27,185.0,188.0,188.0,188.0,1.62,133.0,25004.0,0
2012-03-06,188.0,190.0,190.0,190.0,1.06,914.0,173660.0,0
2012-03-21,190.0,194.0,193.0,194.0,2.11,1066.0,206652.0,0
2012-04-02,194.0,197.0,197.0,197.0,1.55,133.0,26201.0,0
2012-05-21,197.0,200.0,200.0,200.0,1.52,100.0,20000.0,0
2012-05-29,200.0,220.0,204.0,220.0,10.00,3348.0,717104.0,0
2012-05-31,220.0,236.0,224.0,236.0,7.27,1113.0,251712.0,0
2012-06-03,236.0,240.0,240.0,240.0,1.69,108.0,25920.0,0
2012-06-06,240.0,248.0,244.0,248.0,3.33,400.0,98500.0,0
2012-06-07,248.0,244.0,240.0,240.0,-3.23,1563.0,375520.0,0
2012-06-10,240.0,236.0,233.0,233.0,-2.92,678.0,159474.0,0
2012-06-11,233.0,237.0,237.0,237.0,1.72,368.0,87216.0,0
2012-06-12,237.0,234.0,229.0,230.0,-2.95,6996.0,1611705.0,0
2012-06-13,230.0,226.0,226.0,226.0,-1.74,647.0,146222.0,0
2012-06-18,226.0,226.0,222.0,226.0,0.0,467.0,105114.0,0
2012-06-27,226.0,227.0,223.0,223.0,-1.33,6233.0,1400359.0,0
2012-06-28,223.0,226.0,225.0,226.0,1.35,5000.0,1128000.0,0
2012-07-01,226.0,229.0,225.0,229.0,1.33,2000.0,454000.0,0
2012-07-02,229.0,234.0,230.0,230.0,0.44,1100.0,253400.0,0
2012-07-04,230.0,234.0,234.0,234.0,1.74,490.0,114660.0,0
2012-07-05,234.0,230.0,230.0,230.0,-1.71,8000.0,1840000.0,0
2012-07-08,230.0,230.0,230.0,230.0,0.0,512.0,117760.0,0
2012-07-10,230.0,234.0,234.0,234.0,1.74,304.0,71136.0,0
2012-07-11,234.0,230.0,230.0,230.0,-1.71,5000.0,1150000.0,0
2012-07-15,230.0,230.0,230.0,230.0,0.0,4000.0,920000.0,0
2012-07-17,230.0,230.0,230.0,230.0,0.0,500.0,115000.0,0
2012-07-18,230.0,230.0,230.0,230.0,0.0,5600.0,1288000.0,0
2012-07-22,230.0,231.0,230.0,230.0,0.0,6410.0,1474584.0,0
2012-07-23,230.0,230.0,230.0,230.0,0.0,1533.0,352590.0,0
2012-07-24,230.0,234.0,230.0,234.0,1.74,11000.0,2534000.0,0
2012-07-25,234.0,230.0,230.0,230.0,-1.71,10155.0,2335650.0,0
2012-07-31,230.0,238.0,234.0,238.0,3.48,2086.0,488524.0,0
2012-08-06,238.0,236.0,234.0,234.0,-1.68,5142.0,1204512.0,0
2012-08-07,234.0,236.0,234.0,236.0,0.85,1100.0,257600.0,0
2012-08-13,236.0,236.0,236.0,236.0,0.0,1000.0,236000.0,0
