published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-12-20,906.00,996.60,906.00,996.60,10.00,170.00,163662.80,1
2022-12-21,978.30,1096.20,978.30,1096.20,9.99,130.00,137509.90,1
2022-12-22,1075.00,1205.80,1075.00,1205.80,10.00,220.00,260500.50,1
2022-12-25,1075.00,1205.80,1075.00,1205.80,10.00,220.00,260500.50,1
2022-12-26,1205.80,1326.30,1205.80,1326.30,9.99,130.00,168153.50,1
2022-12-27,1352.80,1458.90,1352.80,1458.90,10.00,150.00,216232.00,1
2022-12-28,1488.00,1604.70,1488.00,1604.70,9.99,170.00,269937.00,1
2022-12-29,1604.60,1765.10,1604.60,1765.10,10.00,250.00,436517.00,1
2023-01-01,1800.00,1941.60,1800.00,1941.60,10.00,350.00,676084.00,1
2023-01-02,1980.40,2135.70,1980.40,2135.70,10.00,3500.00,7471146.00,1
2023-01-03,2178.40,2349.20,2075.00,2203.00,3.15,19859.00,43365012.60,1
2023-01-04,2203.00,2215.00,2150.00,2215.00,0.54,12332.00,26763013.00,1
2023-01-05,2215.00,2436.50,2215.00,2436.50,10.00,5240.00,12260149.00,1
2023-01-08,2485.20,2485.20,2332.00,2336.50,-4.10,11098.00,26441196.00,-1
2023-01-09,2292.20,2355.00,2292.20,2312.00,-1.05,11957.00,27792911.00,-1
2023-01-10,2281.00,2356.00,2210.00,2244.00,-2.94,7907.00,18017095.00,-1
2023-01-11,2281.00,2356.00,2210.00,2244.00,-2.94,7907.00,18017095.00,-1
2023-01-12,2280.00,2302.00,2231.00,2289.00,2.01,7738.00,17532512.20,1
2023-01-15,2280.00,2302.00,2231.00,2289.00,2.01,7738.00,17532512.20,1
2023-01-16,2280.00,2302.00,2231.00,2289.00,2.01,7738.00,17532512.20,1
2023-01-17,2329.90,2329.90,2257.00,2265.00,-1.05,6847.00,15613871.20,-1
2023-01-18,2265.00,2345.00,2252.00,2298.00,1.46,5249.00,12140742.50,1
2023-01-19,2255.00,2299.00,2255.00,2270.00,-1.22,4575.00,10376397.00,-1
2023-01-22,2255.00,2299.00,2255.00,2270.00,-1.22,4575.00,10376397.00,-1
2023-01-23,2270.00,2366.00,2250.00,2320.10,2.21,7755.00,18091506.00,1
2023-01-24,2281.00,2350.00,2281.00,2340.00,0.86,2975.00,6886153.00,1
2023-01-25,2321.20,2420.00,2321.20,2405.00,2.78,5299.00,12679239.00,1
2023-01-26,2400.00,2414.00,2365.00,2365.00,-1.66,2446.00,5852304.50,-1
2023-01-29,2355.00,2404.00,2353.50,2359.00,-0.25,3435.00,8166067.50,-1
