published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-03-24,540.0,566.0,538.0,560.0,nan,10249.0,5655906.0,0
2014-03-25,560.0,580.0,547.0,570.0,1.79,21974.0,12463350.0,0
2014-03-26,570.0,589.0,560.0,584.0,2.46,22124.0,12720203.0,0
2014-03-27,584.0,605.0,580.0,604.0,3.42,39017.0,23315656.0,0
2014-03-31,604.0,632.0,600.0,632.0,4.64,19441.0,12044508.0,0
2014-04-01,632.0,665.0,626.0,660.0,4.43,18629.0,12100531.0,0
2014-04-02,660.0,700.0,653.0,684.0,3.64,35568.0,24276582.0,0
2014-04-03,684.0,700.0,640.0,642.0,-6.14,18448.0,12551054.0,0
2014-04-06,642.0,644.0,630.0,640.0,-0.31,10967.0,6987295.0,0
2014-04-07,640.0,655.0,628.0,655.0,2.34,10843.0,6942479.0,0
2014-04-09,655.0,672.0,642.0,670.0,2.29,7401.0,4897079.0,0
2014-04-10,670.0,675.0,659.0,673.0,0.45,5842.0,3917115.0,0
2014-04-13,673.0,685.0,660.0,685.0,1.78,15886.0,10742163.0,0
2014-04-15,685.0,690.0,665.0,685.0,0.0,12285.0,8390821.0,0
2014-04-16,685.0,689.0,663.0,670.0,-2.19,8958.0,6094816.0,0
2014-04-17,670.0,683.0,660.0,680.0,1.49,8003.0,5422321.0,0
2014-04-20,680.0,686.0,673.0,673.0,-1.03,9516.0,6468856.0,0
2014-04-21,673.0,681.0,658.0,668.0,-0.74,6649.0,4457601.0,0
2014-04-22,668.0,686.0,658.0,680.0,1.80,9748.0,6606145.0,0
2014-04-23,680.0,685.0,671.0,677.0,-0.44,13283.0,9025947.0,0
2014-04-27,677.0,680.0,660.0,672.0,-0.74,4486.0,3006544.0,0
2014-04-28,672.0,669.0,653.0,660.0,-1.79,3711.0,2457177.0,0
2014-04-29,660.0,668.0,655.0,661.0,0.15,4659.0,3081404.0,0
2014-04-30,661.0,650.0,626.0,642.0,-2.87,14040.0,8985663.0,0
2014-05-04,642.0,650.0,630.0,635.0,-1.09,7737.0,4959684.0,0
2014-05-05,635.0,665.0,614.0,655.0,3.15,9585.0,6092533.0,0
2014-05-06,655.0,655.0,642.0,654.0,-0.15,2437.0,1586042.0,0
2014-05-07,654.0,659.0,640.0,650.0,-0.61,4894.0,3205051.0,0
2014-05-08,650.0,665.0,649.0,656.0,0.92,7781.0,5073083.0,0
2014-05-11,656.0,658.0,630.0,630.0,-3.96,4525.0,2893694.0,0
2014-05-12,630.0,642.0,625.0,637.0,1.11,2471.0,1573019.0,0
2014-05-13,637.0,640.0,624.0,640.0,0.47,2726.0,1715746.0,0
2014-05-15,640.0,650.0,612.0,645.0,0.0,2409.0,1538376.0,0
2014-05-18,645.0,654.0,640.0,640.0,-0.78,3155.0,2045282.0,0
2014-05-19,640.0,646.0,632.0,640.0,0.0,6262.0,4004553.0,0
2014-05-20,640.0,644.0,631.0,639.0,-0.16,4845.0,3102240.0,0
2014-05-21,639.0,648.0,635.0,640.0,0.16,4606.0,2946010.0,0
2014-05-22,640.0,645.0,630.0,640.0,0.0,3716.0,2379102.0,0
2014-05-25,640.0,673.0,645.0,650.0,1.56,8110.0,5306558.0,0
2014-05-26,650.0,660.0,641.0,659.0,1.38,8712.0,5685756.0,0
2014-05-27,659.0,672.0,650.0,660.0,0.15,6168.0,4085907.0,0
2014-05-28,660.0,680.0,648.0,670.0,1.52,16331.0,10945022.0,0
2014-06-01,670.0,689.0,652.0,675.0,0.75,14235.0,9647122.0,0
2014-06-02,675.0,708.0,674.0,691.0,2.37,5875.0,4054696.0,0
2014-06-03,691.0,693.0,670.0,671.0,-2.89,4027.0,2754664.0,0
