published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1352.00,1370.00,1342.60,1368.00,-0.15,2711.00,3662347.70,-1
2021-11-05,1352.00,1370.00,1342.60,1368.00,-0.15,2711.00,3662347.70,-1
2021-11-08,1360.00,1370.00,1341.60,1341.60,-1.93,967.00,1311178.60,-1
2021-11-09,1330.00,1330.00,1292.00,1300.00,-3.10,1805.00,2352427.80,-1
2021-11-10,1330.00,1330.00,1292.00,1300.00,-3.10,1805.00,2352427.80,-1
2021-11-11,1274.00,1299.00,1260.00,1282.00,-1.38,2633.00,3376746.00,-1
2021-11-12,1274.00,1299.00,1260.00,1282.00,-1.38,2633.00,3376746.00,-1
2021-11-15,1301.50,1305.00,1280.00,1300.00,1.88,1897.00,2461987.00,1
2021-11-16,1280.00,1319.00,1250.00,1310.00,0.77,3332.00,4286574.00,1
2021-11-17,1330.00,1330.00,1285.00,1285.00,-1.91,4065.00,5279403.20,-1
2021-11-18,1260.00,1290.00,1260.00,1275.00,-0.78,2469.00,3151692.20,-1
2021-11-19,1260.00,1290.00,1260.00,1275.00,-0.78,2469.00,3151692.20,-1
2021-11-22,1285.00,1300.00,1260.00,1270.00,0.79,1661.00,2128365.00,1
2021-11-23,1250.00,1264.00,1250.00,1250.20,-1.56,1364.00,1710002.50,-1
2021-11-24,1226.00,1269.00,1226.00,1265.00,1.18,1893.00,2359800.00,1
2021-11-25,1250.00,1250.00,1242.00,1243.00,-1.74,1425.00,1772946.00,-1
2021-11-26,1250.00,1250.00,1242.00,1243.00,-1.74,1425.00,1772946.00,-1
2021-11-29,1185.00,1215.00,1162.00,1200.00,-0.74,2477.00,2961763.00,-1
2021-11-30,1200.00,1200.00,1181.50,1199.00,-0.08,2077.00,2469663.00,-1
2021-12-01,1199.00,1247.30,1199.00,1200.00,0.08,1284.00,1552036.50,1
2021-12-02,1198.00,1200.00,1186.00,1190.00,-0.83,3730.00,4452805.00,-1
2021-12-03,1198.00,1200.00,1186.00,1190.00,-0.83,3730.00,4452805.00,-1
2021-12-06,1180.00,1200.00,1176.00,1180.00,0.00,5974.00,7052043.00,0
2021-12-07,1199.90,1223.00,1176.20,1176.20,-0.32,688.00,827123.00,-1
2021-12-08,1175.00,1175.00,1140.00,1140.00,-3.08,1505.00,1731559.50,-1
2021-12-09,1140.00,1140.00,1105.00,1140.00,0.00,1543.00,1724032.50,0
2021-12-10,1140.00,1140.00,1105.00,1140.00,0.00,1543.00,1724032.50,0
2021-12-13,1090.00,1090.00,1008.00,1028.00,-5.17,2578.00,2657697.90,-1
2021-12-14,1015.00,1090.60,1015.00,1090.60,6.09,890.00,933957.00,1
2021-12-15,1100.00,1156.00,1088.80,1088.80,-0.17,2227.00,2455637.80,-1
2021-12-16,1070.10,1197.60,1060.00,1106.10,1.59,2423.00,2675809.50,1
2021-12-17,1070.10,1197.60,1060.00,1106.10,1.59,2423.00,2675809.50,1
2021-12-20,1085.00,1085.00,1023.00,1060.00,-4.17,2169.00,2285283.10,-1
2021-12-21,1040.00,1080.00,1040.00,1069.00,0.85,1518.00,1606297.30,1
2021-12-22,1079.00,1175.00,1070.10,1175.00,9.92,4422.00,4909252.10,1
2021-12-23,1195.00,1195.00,1136.80,1174.00,-0.09,5079.00,5924512.60,-1
2021-12-24,1195.00,1195.00,1136.80,1174.00,-0.09,5079.00,5924512.60,-1
2021-12-27,1270.00,1280.00,1221.10,1221.10,-4.22,6754.00,8458037.50,-1
2021-12-28,1197.00,1243.00,1175.00,1211.00,-0.83,5393.00,6452555.80,-1
2021-12-29,1211.00,1227.00,1202.00,1225.00,1.16,2188.00,2663576.40,1
2021-12-30,1211.00,1227.00,1202.00,1225.00,1.16,2188.00,2663576.40,1
2021-12-31,1211.00,1227.00,1202.00,1225.00,1.16,2188.00,2663576.40,1
2022-01-03,1289.90,1300.00,1271.00,1297.10,1.97,14583.00,18662766.90,1
2022-01-04,1312.00,1322.00,1286.00,1305.00,0.61,5439.00,7128921.40,1
2022-01-05,1305.00,1305.00,1266.00,1266.00,-2.99,3279.00,4207784.90,-1
2022-01-06,1242.00,1290.00,1242.00,1280.00,1.11,2428.00,3086721.30,1
2022-01-07,1242.00,1290.00,1242.00,1280.00,1.11,2428.00,3086721.30,1
2022-01-10,1340.00,1389.00,1333.00,1375.00,3.15,13349.00,18276110.40,1
2022-01-11,1370.00,1425.00,1370.00,1402.00,1.96,18949.00,26480504.30,1
2022-01-12,1374.00,1425.00,1370.00,1371.00,-2.21,8020.00,11124600.00,-1
2022-01-13,1395.00,1410.00,1367.10,1377.10,0.44,3448.00,4798956.60,1
2022-01-14,1395.00,1410.00,1367.10,1377.10,0.44,3448.00,4798956.60,1
2022-01-17,1405.00,1464.70,1380.00,1420.00,1.04,10745.00,15362127.10,1
2022-01-18,1395.00,1419.90,1372.40,1372.40,-3.35,3705.00,5174797.90,-1
2022-01-19,1372.40,1400.00,1362.00,1365.00,-0.54,3832.00,5290755.00,-1
2022-01-20,1351.00,1389.90,1350.20,1385.00,1.47,2571.00,3527951.50,1
2022-01-21,1351.00,1389.90,1350.20,1385.00,1.47,2571.00,3527951.50,1
2022-01-24,1376.00,1380.00,1336.00,1341.00,-4.15,6688.00,9054398.50,-1
2022-01-25,1316.00,1352.90,1316.00,1331.00,-0.75,3692.00,4926948.00,-1
2022-01-26,1316.00,1316.00,1287.00,1302.00,-2.18,5490.00,7138702.60,-1
2022-01-27,1320.00,1343.90,1304.00,1307.00,0.38,2798.00,3677178.50,1
2022-01-28,1320.00,1343.90,1304.00,1307.00,0.38,2798.00,3677178.50,1
2022-01-31,1335.00,1365.00,1333.00,1365.00,1.11,3344.00,4525275.10,1
2022-02-01,1365.00,1370.00,1355.00,1370.00,0.37,1799.00,2450535.00,1
2022-02-02,1365.00,1370.00,1355.00,1370.00,0.37,1799.00,2450535.00,1
2022-02-03,1380.00,1396.00,1373.00,1380.00,0.73,3963.00,5481294.10,1
2022-02-04,1380.00,1396.00,1373.00,1380.00,0.73,3963.00,5481294.10,1
2022-02-07,1345.00,1393.90,1345.00,1390.00,1.46,6403.00,8865256.90,1
2022-02-08,1400.00,1400.00,1370.00,1388.00,-0.14,6346.00,8794231.50,-1
2022-02-09,1371.00,1387.00,1355.00,1385.00,-0.22,4206.00,5730832.00,-1
2022-02-10,1360.00,1360.00,1333.00,1345.10,-2.88,1423.00,1911670.00,-1
2022-02-11,1360.00,1360.00,1333.00,1345.10,-2.88,1423.00,1911670.00,-1
2022-02-14,1300.00,1309.90,1288.00,1290.00,-0.15,3069.00,3981528.00,-1
2022-02-15,1315.00,1315.00,1285.00,1285.00,-0.39,2962.00,3817590.60,-1
2022-02-16,1309.00,1350.00,1286.10,1320.00,2.72,6164.00,8101615.10,1
2022-02-17,1330.00,1330.00,1294.00,1319.00,-0.08,2517.00,3308288.20,-1
2022-02-18,1330.00,1330.00,1294.00,1319.00,-0.08,2517.00,3308288.20,-1
2022-02-21,1326.00,1326.00,1276.00,1290.00,-0.77,1018.00,1319242.90,-1
2022-02-22,1296.10,1345.00,1296.10,1337.00,3.64,8830.00,11729198.60,1
2022-02-23,1347.00,1360.00,1320.00,1344.00,0.52,7345.00,9802063.40,1
2022-02-24,1317.20,1340.00,1300.00,1300.00,-3.27,10051.00,13157733.40,-1
2022-02-25,1317.20,1340.00,1300.00,1300.00,-3.27,10051.00,13157733.40,-1
2022-02-28,1325.00,1325.00,1276.20,1283.00,-2.36,5542.00,7146810.90,-1
2022-03-01,1325.00,1325.00,1276.20,1283.00,-2.36,5542.00,7146810.90,-1
2022-03-02,1308.00,1308.00,1250.00,1259.00,-1.87,7330.00,9323902.10,-1
2022-03-03,1308.00,1308.00,1250.00,1259.00,-1.87,7330.00,9323902.10,-1
2022-03-04,1308.00,1308.00,1250.00,1259.00,-1.87,7330.00,9323902.10,-1
2022-03-07,1268.00,1275.00,1261.00,1261.00,-0.55,1326.00,1676578.60,-1
2022-03-08,1268.00,1275.00,1261.00,1261.00,-0.55,1326.00,1676578.60,-1
2022-03-09,1262.00,1270.00,1242.00,1248.00,-1.03,1998.00,2496416.70,-1
2022-03-10,1248.00,1273.00,1240.00,1273.00,2.00,3036.00,3811463.30,1
2022-03-11,1248.00,1273.00,1240.00,1273.00,2.00,3036.00,3811463.30,1
2022-03-14,1319.00,1325.00,1300.00,1325.00,1.22,1926.00,2539944.10,1
2022-03-15,1328.00,1413.00,1322.10,1413.00,6.64,15716.00,21217121.10,1
2022-03-16,1384.80,1425.00,1380.00,1425.00,0.85,10967.00,15371147.10,1
2022-03-17,1384.80,1425.00,1380.00,1425.00,0.85,10967.00,15371147.10,1
2022-03-18,1384.80,1425.00,1380.00,1425.00,0.85,10967.00,15371147.10,1
2022-03-21,1417.00,1420.00,1376.00,1400.00,-1.34,10037.00,13947425.20,-1
2022-03-22,1405.00,1410.00,1399.00,1404.00,0.29,3691.00,5190865.40,1
2022-03-23,1400.00,1400.00,1387.00,1395.00,-0.64,1790.00,2491365.90,-1
2022-03-24,1390.00,1413.00,1390.00,1405.00,0.72,4621.00,6485338.00,1
2022-03-25,1390.00,1413.00,1390.00,1405.00,0.72,4621.00,6485338.00,1
2022-03-28,1430.00,1449.00,1401.50,1401.50,-1.86,11851.00,16891825.80,-1
2022-03-29,1380.00,1380.00,1350.00,1365.00,-2.60,4030.00,5502896.00,-1
2022-03-30,1350.00,1402.00,1350.00,1402.00,2.71,2563.00,3545902.70,1
2022-03-31,1429.00,1429.00,1389.50,1410.00,0.57,7647.00,10705678.30,1
2022-04-01,1429.00,1429.00,1389.50,1410.00,0.57,7647.00,10705678.30,1
2022-04-04,1390.00,1395.00,1357.00,1357.00,-1.09,2540.00,3488725.00,-1
2022-04-05,1356.00,1356.00,1315.00,1327.00,-2.21,5794.00,7705924.00,-1
2022-04-06,1335.00,1344.00,1305.00,1305.00,-1.66,2007.00,2649707.00,-1
2022-04-07,1305.00,1323.00,1305.00,1310.00,0.38,2837.00,3737320.80,1
2022-04-08,1305.00,1323.00,1305.00,1310.00,0.38,2837.00,3737320.80,1
2022-04-11,1312.00,1316.10,1290.00,1300.00,-0.76,2129.00,2761583.70,-1
2022-04-12,1275.00,1290.00,1275.00,1276.00,-1.85,846.00,1081620.00,-1
