published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1861.00,1861.00,1832.00,1846.00,1.15,9177.00,16949910.00,1
2021-11-05,1861.00,1861.00,1832.00,1846.00,1.15,9177.00,16949910.00,1
2021-11-08,1846.10,1857.00,1800.00,1815.00,-1.68,9148.00,16665143.40,-1
2021-11-09,1800.00,1800.00,1747.00,1765.20,-2.74,13448.00,23752873.80,-1
2021-11-10,1800.00,1800.00,1747.00,1765.20,-2.74,13448.00,23752873.80,-1
2021-11-11,1743.00,1790.00,1700.00,1717.00,-2.73,10160.00,17479408.30,-1
2021-11-12,1743.00,1790.00,1700.00,1717.00,-2.73,10160.00,17479408.30,-1
2021-11-15,1763.00,1763.00,1735.00,1750.00,1.21,6627.00,11554259.00,1
2021-11-16,1750.00,1756.90,1715.00,1735.00,-0.86,9486.00,16490085.00,-1
2021-11-17,1750.00,1784.00,1750.00,1759.00,1.38,6401.00,11305652.40,1
2021-11-18,1730.10,1764.00,1730.10,1736.00,-1.31,8037.00,14015851.50,-1
2021-11-19,1730.10,1764.00,1730.10,1736.00,-1.31,8037.00,14015851.50,-1
2021-11-22,1760.00,1760.00,1740.00,1740.00,0.22,6531.00,11427678.50,1
2021-11-23,1730.00,1740.00,1713.00,1722.00,-1.03,7719.00,13324457.10,-1
2021-11-24,1735.00,1735.00,1690.00,1709.90,-0.70,16964.00,28927730.50,-1
2021-11-25,1711.50,1725.00,1670.00,1717.00,0.42,10788.00,18371113.40,1
2021-11-26,1711.50,1725.00,1670.00,1717.00,0.42,10788.00,18371113.40,1
2021-11-29,1630.00,1683.00,1619.00,1644.00,-0.36,14160.00,23154240.60,-1
2021-11-30,1650.00,1665.00,1634.00,1650.00,0.36,3876.00,6380423.90,1
2021-12-01,1660.00,1683.00,1646.00,1675.00,1.52,12627.00,21122594.50,1
2021-12-02,1675.00,1706.00,1651.00,1652.00,-1.37,7973.00,13318756.10,-1
2021-12-03,1675.00,1706.00,1651.00,1652.00,-1.37,7973.00,13318756.10,-1
2021-12-06,1616.00,1650.00,1579.00,1636.00,0.06,11674.00,18851183.20,1
2021-12-07,1636.00,1660.00,1590.00,1619.00,-1.04,8529.00,13897868.90,-1
2021-12-08,1587.00,1618.70,1579.90,1585.00,-2.10,13203.00,20964367.30,-1
2021-12-09,1608.00,1608.00,1561.00,1586.00,0.06,9241.00,14547702.60,1
2021-12-10,1608.00,1608.00,1561.00,1586.00,0.06,9241.00,14547702.60,1
2021-12-13,1478.00,1478.00,1387.00,1425.00,-5.50,22592.00,32235474.60,-1
2021-12-14,1450.00,1500.00,1425.00,1498.90,5.19,7539.00,11152862.60,1
2021-12-15,1528.00,1585.00,1469.00,1525.00,1.74,20683.00,31355726.00,1
2021-12-16,1552.90,1553.00,1470.00,1497.00,-1.84,6895.00,10225755.50,-1
2021-12-17,1552.90,1553.00,1470.00,1497.00,-1.84,6895.00,10225755.50,-1
