published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-04,8.42,8.42,8.42,8.42,0.00,150000.00,1263000.00,0
2024-01-31,10.00,10.00,10.00,10.00,0.00,100.00,1000.00,0
2024-02-05,9.81,9.81,9.81,9.81,-1.90,500.00,4905.00,-1
2024-02-07,9.62,9.62,9.43,9.43,-3.87,200.00,1905.00,-1
2024-02-08,9.25,9.25,8.48,8.49,-9.97,15850.00,134780.00,-1
2024-02-11,8.36,8.60,8.36,8.60,1.30,9450.00,79741.75,1
2024-02-12,8.43,8.45,8.30,8.36,-2.79,5800.00,48525.00,-1
2024-02-13,8.36,8.50,8.35,8.35,-0.12,3150.00,26357.00,-1
2024-02-14,8.35,8.39,8.35,8.39,0.48,2300.00,19239.00,1
2024-02-15,8.23,8.39,8.23,8.30,-1.07,875.00,7242.75,-1
2024-02-18,8.17,8.21,8.00,8.10,-2.41,2400.00,19501.00,-1
2024-02-19,8.17,8.21,8.00,8.10,-2.41,2400.00,19501.00,-1
2024-02-20,7.99,8.77,7.99,8.77,8.27,2500.00,20735.00,1
2024-02-21,8.94,9.00,8.48,8.77,0.00,12475.00,109754.50,0
2024-02-22,8.77,8.93,8.77,8.89,1.37,1300.00,11537.00,1
2024-02-25,8.99,9.18,8.99,9.00,1.24,6225.00,56083.00,1
2024-02-26,9.00,9.36,9.00,9.36,4.00,700.00,6390.00,1
2024-03-05,9.18,9.18,9.18,9.18,-1.92,1000.00,9180.00,-1
2024-03-14,9.00,9.00,8.85,8.85,-3.59,4110.00,36568.50,-1
2024-03-18,8.68,9.04,8.68,9.04,2.15,47025.00,424154.50,1
2024-03-20,8.86,8.86,8.17,8.31,-8.08,3100.00,25742.00,-1
2024-03-21,8.31,8.33,8.31,8.33,0.24,800.00,6652.00,1
2024-03-24,8.31,8.33,8.31,8.33,0.24,800.00,6652.00,1
2024-03-25,8.32,8.34,8.32,8.32,-0.12,1660.00,13828.40,-1
2024-03-26,8.32,8.32,8.32,8.32,0.00,900.00,7488.00,0
2024-03-27,8.35,8.40,8.32,8.32,0.00,1200.00,10034.00,0
2024-03-28,8.37,8.50,8.37,8.37,0.60,2200.00,18436.00,1
2024-03-31,8.31,8.70,8.31,8.31,-0.72,4300.00,35941.00,-1
2024-04-01,8.15,8.31,8.15,8.18,-1.56,600.00,4943.00,-1
2024-04-02,8.10,8.18,8.06,8.18,0.00,1600.00,12958.00,0
2024-04-03,8.02,8.10,8.02,8.10,-0.98,2450.00,19717.50,-1
2024-04-04,8.00,8.37,8.00,8.37,3.33,600.00,4920.00,1
2024-04-07,8.21,8.22,8.06,8.22,-1.79,400.00,3270.00,-1
2024-04-08,8.21,8.22,8.06,8.22,-1.79,400.00,3270.00,-1
2024-04-09,8.09,8.12,8.09,8.12,-1.22,200.00,1621.00,-1
2024-04-10,8.10,8.64,7.99,8.64,6.40,3300.00,26904.00,1
2024-04-11,8.10,8.64,7.99,8.64,6.40,3300.00,26904.00,1
2024-04-14,8.48,8.48,8.47,8.47,-1.97,700.00,5932.00,-1
2024-04-15,8.31,8.47,8.31,8.47,0.00,500.00,4212.00,0
2024-04-16,8.31,8.47,8.31,8.47,0.00,1000.00,8438.00,0
2024-04-17,8.31,8.47,8.31,8.47,0.00,1000.00,8438.00,0
2024-04-18,8.63,8.63,8.46,8.46,-0.12,1050.00,9036.00,-1
2024-04-21,8.40,8.40,8.24,8.24,-2.60,600.00,4992.00,-1
2024-04-22,8.24,8.24,8.08,8.08,-1.94,400.00,3248.00,-1
2024-04-23,8.24,8.24,8.08,8.08,-1.94,400.00,3248.00,-1
2024-04-24,8.00,8.02,8.00,8.02,-0.74,1400.00,11207.00,-1
2024-04-25,7.86,8.01,7.86,7.98,-0.50,1010.00,8032.00,-1
2024-04-28,7.97,8.00,7.90,8.00,0.25,500.00,3967.00,1
2024-04-29,7.90,8.18,7.90,8.03,0.37,2575.00,20535.25,1
2024-04-30,8.02,8.05,8.02,8.03,0.00,5500.00,44180.00,0
2024-05-01,8.02,8.05,8.02,8.03,0.00,5500.00,44180.00,0
2024-05-02,8.06,8.17,8.06,8.08,0.62,2000.00,16237.00,1
2024-05-05,8.10,8.28,8.10,8.28,2.48,1400.00,11502.00,1
2024-05-06,8.28,8.55,8.28,8.55,3.26,2900.00,24441.00,1
2024-05-07,8.72,8.72,8.55,8.72,1.99,750.00,6446.50,1
2024-05-08,8.89,9.00,8.65,8.82,1.15,750.00,6580.50,1
2024-05-09,8.96,8.96,8.90,8.90,0.91,200.00,1786.00,1
2024-05-14,8.73,8.95,8.70,8.95,0.56,1500.00,13244.00,1
2024-05-15,8.95,9.46,8.95,9.28,3.69,850.00,7873.00,1
2024-05-16,9.10,9.28,9.10,9.28,0.00,400.00,3694.00,0
2024-05-21,9.10,9.28,9.10,9.28,0.00,700.00,6388.00,0
2024-05-22,9.10,9.20,9.02,9.02,-2.80,750.00,6795.00,-1
2024-05-23,9.10,9.20,9.02,9.02,-2.80,750.00,6795.00,-1
2024-05-26,9.01,9.02,9.01,9.02,0.00,700.00,6308.00,0
2024-05-29,9.00,9.20,9.00,9.05,0.33,18510.00,168729.20,1
2024-05-30,9.00,9.00,9.00,9.00,-0.55,400.00,3600.00,-1
2024-06-03,8.82,8.99,8.82,8.89,-1.22,600.00,5344.00,-1
2024-06-04,8.72,8.72,8.38,8.54,-3.94,1000.00,8651.00,-1
