published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1005.00,1009.00,965.00,988.00,-0.20,11122.00,10852553.10,-1
2021-11-05,1005.00,1009.00,965.00,988.00,-0.20,11122.00,10852553.10,-1
2021-11-08,991.00,1025.00,991.00,1009.00,2.13,18907.00,19046166.50,1
2021-11-09,990.00,1009.00,931.00,956.00,-5.25,7807.00,7444004.30,-1
2021-11-10,990.00,1009.00,931.00,956.00,-5.25,7807.00,7444004.30,-1
2021-11-11,937.00,954.00,918.30,949.00,-0.73,3646.00,3392506.00,-1
2021-11-12,937.00,954.00,918.30,949.00,-0.73,3646.00,3392506.00,-1
2021-11-15,959.00,961.00,927.50,959.00,1.91,3092.00,2939168.20,1
2021-11-16,949.00,964.00,939.90,963.00,0.42,6465.00,6185293.80,1
2021-11-17,982.00,982.00,956.00,958.00,-0.52,8775.00,8454981.40,-1
2021-11-18,958.00,958.00,928.10,947.00,-1.15,14469.00,13592644.90,-1
2021-11-19,958.00,958.00,928.10,947.00,-1.15,14469.00,13592644.90,-1
2021-11-22,935.00,950.20,933.00,936.00,0.11,5436.00,5109519.30,1
2021-11-23,936.00,936.00,900.00,929.00,-0.75,3720.00,3407004.10,-1
2021-11-24,911.00,917.00,897.00,915.00,-1.51,4283.00,3883439.30,-1
2021-11-25,915.30,915.30,897.00,900.00,-1.64,3642.00,3286717.50,-1
2021-11-26,915.30,915.30,897.00,900.00,-1.64,3642.00,3286717.50,-1
2021-11-29,860.00,890.00,825.00,830.00,-3.49,19062.00,15879906.60,-1
2021-11-30,846.00,860.00,831.00,850.00,2.41,4828.00,4070401.60,1
2021-12-01,853.00,865.00,840.00,863.00,1.53,8374.00,7108210.60,1
2021-12-02,850.20,850.20,830.00,835.00,-3.24,4313.00,3608925.50,-1
2021-12-03,850.20,850.20,830.00,835.00,-3.24,4313.00,3608925.50,-1
2021-12-06,825.30,843.00,792.90,843.00,0.12,6075.00,4973846.00,1
2021-12-07,855.00,855.00,808.00,824.00,-2.25,5060.00,4218772.70,-1
2021-12-08,824.00,824.00,790.00,800.00,-2.91,3323.00,2661529.00,-1
2021-12-09,795.00,800.00,785.00,791.00,-1.13,2750.00,2171435.40,-1
2021-12-10,795.00,800.00,785.00,791.00,-1.13,2750.00,2171435.40,-1
2021-12-13,772.30,788.00,732.00,757.00,-3.93,6114.00,4573499.40,-1
2021-12-14,750.00,795.00,750.00,795.00,5.02,3136.00,2445549.90,1
2021-12-15,795.00,825.00,784.00,803.00,1.01,7710.00,6159915.20,1
2021-12-16,787.00,795.00,756.10,790.00,-1.62,2081.00,1629057.80,-1
2021-12-17,787.00,795.00,756.10,790.00,-1.62,2081.00,1629057.80,-1
2021-12-20,775.00,790.00,760.00,789.00,-0.13,3070.00,2369527.30,-1
2021-12-21,803.00,803.00,777.00,792.50,0.44,2388.00,1871149.50,1
2021-12-22,800.00,830.00,800.00,830.00,4.73,6212.00,5055581.10,1
2021-12-23,831.00,858.80,814.50,858.00,3.37,10567.00,8881168.90,1
2021-12-24,831.00,858.80,814.50,858.00,3.37,10567.00,8881168.90,1
2021-12-27,930.00,930.00,868.00,905.00,-2.69,22704.00,20489084.40,-1
2021-12-28,887.00,900.00,858.00,890.00,-1.66,6121.00,5377816.40,-1
2021-12-29,881.00,897.00,880.00,896.00,0.67,10839.00,9588936.00,1
2021-12-30,881.00,897.00,880.00,896.00,0.67,10839.00,9588936.00,1
2021-12-31,881.00,897.00,880.00,896.00,0.67,10839.00,9588936.00,1
2022-01-03,921.00,925.00,899.00,923.00,0.65,10023.00,9158866.50,1
2022-01-04,937.00,950.00,895.00,917.00,-0.65,9418.00,8737412.20,-1
2022-01-05,901.10,915.00,890.00,895.00,-2.40,7108.00,6405662.10,-1
2022-01-06,895.00,909.00,884.10,904.00,1.01,3229.00,2915813.00,1
2022-01-07,895.00,909.00,884.10,904.00,1.01,3229.00,2915813.00,1
2022-01-10,932.00,965.00,926.00,964.90,3.53,50057.00,47675129.80,1
2022-01-11,955.00,1010.00,954.00,995.00,3.12,33466.00,33080217.30,1
2022-01-12,1014.90,1030.00,951.10,994.00,-0.10,24937.00,24642033.90,-1
2022-01-13,976.00,1030.00,975.00,1010.00,1.61,37165.00,36963503.40,1
2022-01-14,976.00,1030.00,975.00,1010.00,1.61,37165.00,36963503.40,1
2022-01-17,1032.00,1032.00,1014.00,1030.00,-0.19,16314.00,16640497.70,-1
2022-01-18,1041.00,1041.00,991.00,991.00,-3.79,19484.00,19535276.40,-1
2022-01-19,1010.00,1030.00,975.00,980.00,-1.11,13578.00,13425680.90,-1
2022-01-20,965.10,1008.00,965.10,1008.00,2.86,11991.00,11959319.40,1
2022-01-21,965.10,1008.00,965.10,1008.00,2.86,11991.00,11959319.40,1
2022-01-24,988.00,1000.00,955.00,967.00,-4.07,12611.00,12308248.90,-1
2022-01-25,955.00,993.00,955.00,971.00,0.41,6306.00,6123375.40,1
2022-01-26,980.00,980.00,946.00,956.00,-1.54,8763.00,8410151.00,-1
2022-01-27,955.00,973.00,954.00,959.90,0.41,5930.00,5668280.40,1
2022-01-28,955.00,973.00,954.00,959.90,0.41,5930.00,5668280.40,1
2022-01-31,991.00,1011.00,987.00,987.00,-0.50,11538.00,11529628.80,-1
2022-02-01,990.00,1000.00,972.00,990.00,0.30,13144.00,13006755.60,1
2022-02-02,990.00,1000.00,972.00,990.00,0.30,13144.00,13006755.60,1
2022-02-03,1009.80,1050.00,1009.80,1018.00,2.83,74774.00,76542627.70,1
2022-02-04,1009.80,1050.00,1009.80,1018.00,2.83,74774.00,76542627.70,1
2022-02-07,1014.90,1030.00,994.00,1015.00,1.50,21295.00,21698951.60,1
2022-02-08,1030.00,1040.50,1020.10,1026.00,1.08,31266.00,32246675.00,1
2022-02-09,1021.00,1025.00,1001.00,1002.00,-2.34,6829.00,6896353.00,-1
2022-02-10,1020.00,1021.80,1000.00,1010.00,0.80,11211.00,11276739.00,1
2022-02-11,1020.00,1021.80,1000.00,1010.00,0.80,11211.00,11276739.00,1
2022-02-14,970.00,995.00,965.30,981.00,-0.41,7912.00,7774460.60,-1
2022-02-15,1000.00,1000.00,975.20,993.80,1.30,7118.00,7005521.00,1
2022-02-16,990.00,1005.00,982.00,995.00,0.12,13926.00,13808425.00,1
2022-02-17,1000.00,1000.00,980.10,996.00,0.10,4971.00,4929721.00,1
2022-02-18,1000.00,1000.00,980.10,996.00,0.10,4971.00,4929721.00,1
2022-02-21,970.10,989.50,970.10,989.50,1.49,2745.00,2693250.60,1
2022-02-22,998.00,998.00,975.30,985.00,-0.45,11947.00,11792223.10,-1
2022-02-23,972.00,985.00,972.00,985.00,0.00,2815.00,2744313.50,0
2022-02-24,975.00,975.00,935.00,935.00,-5.08,22000.00,20878261.90,-1
2022-02-25,975.00,975.00,935.00,935.00,-5.08,22000.00,20878261.90,-1
2022-02-28,964.00,964.00,918.00,918.00,-2.96,6175.00,5750208.60,-1
2022-03-01,964.00,964.00,918.00,918.00,-2.96,6175.00,5750208.60,-1
2022-03-02,917.00,917.00,896.00,896.00,-2.40,7982.00,7198955.00,-1
2022-03-03,917.00,917.00,896.00,896.00,-2.40,7982.00,7198955.00,-1
2022-03-04,917.00,917.00,896.00,896.00,-2.40,7982.00,7198955.00,-1
2022-03-07,910.00,911.00,887.00,900.00,-0.55,4313.00,3878132.80,-1
2022-03-08,910.00,911.00,887.00,900.00,-0.55,4313.00,3878132.80,-1
2022-03-09,895.00,895.00,875.00,875.00,-2.78,7689.00,6781555.10,-1
2022-03-10,885.00,905.00,880.00,905.00,3.43,4942.00,4415072.50,1
2022-03-11,885.00,905.00,880.00,905.00,3.43,4942.00,4415072.50,1
2022-03-14,931.00,958.00,929.10,950.00,0.21,2921.00,2762857.00,1
2022-03-15,937.50,955.70,933.50,955.00,0.53,12725.00,12032442.40,1
2022-03-16,969.00,977.40,955.00,975.00,2.09,11567.00,11216677.30,1
2022-03-17,969.00,977.40,955.00,975.00,2.09,11567.00,11216677.30,1
2022-03-18,969.00,977.40,955.00,975.00,2.09,11567.00,11216677.30,1
2022-03-21,970.00,982.00,966.00,980.00,0.51,28153.00,27361549.80,1
2022-03-22,980.00,1009.00,980.00,1000.00,2.04,61341.00,60293240.80,1
2022-03-23,1020.00,1020.00,996.00,1002.00,0.20,14778.00,14800292.00,1
2022-03-24,1015.00,1020.00,997.00,1010.00,0.80,50635.00,50887198.30,1
2022-03-25,1015.00,1020.00,997.00,1010.00,0.80,50635.00,50887198.30,1
