published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-04,501.75,501.75,495.00,495.00,0.00,2000.00,996750.00,0
2024-01-11,100.00,100.00,100.00,100.00,0.00,192.00,19200.00,0
2024-02-20,353.00,353.00,348.00,348.00,0.00,356097.00,124018956.00,0
2024-02-21,348.00,357.00,348.00,351.00,0.86,36560.00,12799880.00,1
2024-07-03,340.00,340.00,330.00,330.00,-5.98,30000.00,9922000.00,-1
2024-07-04,351.00,351.00,330.00,330.00,0.00,201838.00,67407035.00,0
2024-07-07,330.00,334.00,330.00,330.00,0.00,9400.00,3110000.00,0
2024-07-08,330.00,330.00,330.00,330.00,0.00,238.00,78540.00,0
2024-09-05,361.00,361.00,330.00,330.00,0.00,30000.00,10022000.00,0
2025-04-07,100.00,100.00,100.00,100.00,0.00,20000.00,6074302.00,0
