published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-25,300.00,330.00,300.00,330.00,10.00,90.00,28810.00,1
2026-03-26,326.30,363.00,326.30,363.00,10.00,130.00,45986.00,1
2026-03-29,360.10,399.30,360.10,399.30,10.00,170.00,66240.00,1
2026-03-30,407.20,439.20,407.20,439.20,9.99,190.00,82661.00,1
2026-03-31,438.90,483.10,438.90,483.10,10.00,360.00,172154.00,1
2026-04-01,492.70,531.40,492.70,531.40,10.00,340.00,179724.00,1
2026-04-02,542.00,584.50,542.00,584.50,9.99,570.00,332121.00,1
2026-04-05,584.00,642.90,584.00,642.90,9.99,1320.00,846280.00,1
2026-04-06,655.70,707.10,655.70,707.10,9.99,2109.00,1489894.10,1
2026-04-07,721.10,777.80,721.10,777.80,10.00,2810.00,2182525.00,1
2026-04-08,793.00,855.50,793.00,855.50,9.99,6090.00,5207830.00,1
2026-04-09,872.60,941.00,872.60,941.00,9.99,7650.00,7195957.00,1
2026-04-10,959.80,1035.10,959.80,1035.10,10.00,8860.00,9167630.00,1
2026-04-13,1055.80,1138.60,1055.80,1138.60,10.00,50391.00,56884333.40,1
2026-04-14,1055.80,1138.60,1055.80,1138.60,10.00,50391.00,56884333.40,1
2026-04-15,1161.30,1252.40,1161.30,1252.40,9.99,33670.00,42075119.00,1
2026-04-16,1277.40,1360.00,1220.00,1251.00,-0.11,114850.00,147461148.50,-1
2026-04-17,1251.00,1251.00,1170.00,1196.00,-4.40,121778.00,145238480.20,-1
2026-04-20,1200.00,1335.00,1128.10,1260.00,5.35,69209.00,82358338.70,1
2026-04-21,1295.00,1360.00,1203.00,1285.00,1.98,84702.00,109891850.80,1
2026-04-22,1270.00,1270.00,1150.10,1185.00,-7.78,56625.00,67676462.50,-1
2026-04-23,1144.00,1181.00,1092.00,1100.00,-7.17,56335.00,63093556.80,-1
2026-04-24,1067.10,1140.00,1042.00,1124.00,2.18,46323.00,50860948.70,1
2026-04-27,1124.00,1145.00,1069.00,1070.00,-4.80,29633.00,32372337.10,-1
2026-04-28,1070.00,1082.70,983.00,995.00,-7.01,77031.00,78051978.80,-1
2026-04-29,995.00,1024.00,935.00,962.00,-3.32,45797.00,44166608.90,-1
2026-04-30,964.00,1013.00,941.30,980.10,1.88,25492.00,25063993.20,1
2026-05-01,964.00,1013.00,941.30,980.10,1.88,25492.00,25063993.20,1
2026-05-04,1029.00,1029.00,945.00,960.00,-2.05,23940.00,23278831.90,-1
2026-05-05,960.00,986.00,928.00,930.00,-3.13,30205.00,28781464.80,-1
2026-05-06,974.30,974.30,901.00,903.00,-2.90,26465.00,24263703.20,-1
2026-05-07,900.00,920.00,880.00,917.00,1.55,27662.00,24960554.50,1
2026-05-08,962.00,968.00,910.00,958.80,4.56,23388.00,22221225.40,1
2026-05-11,962.00,1019.00,938.00,956.00,-0.29,26580.00,25487402.80,-1
2026-05-12,950.00,956.00,895.00,899.00,-5.96,32330.00,29800983.50,-1
2026-05-13,898.00,900.00,880.00,886.00,-1.45,17829.00,15861686.70,-1
2026-05-14,930.00,930.00,840.00,884.00,-0.23,39202.00,33833994.30,-1
2026-05-15,884.00,907.40,876.00,886.00,0.23,11484.00,10278264.80,1
2026-05-18,910.90,910.90,872.60,890.00,0.45,13579.00,12095281.10,1
2026-05-19,890.00,909.00,869.10,888.00,-0.22,16015.00,14080663.70,-1
2026-05-20,895.00,910.00,868.20,904.00,1.80,21677.00,19447809.70,1
2026-05-21,904.00,914.50,882.00,890.00,-1.55,25440.00,22914185.20,-1
2026-05-22,890.00,954.90,878.00,950.00,6.74,45803.00,42402633.70,1
2026-05-25,970.00,1040.30,955.00,1029.00,8.32,59202.00,59866119.00,1
2026-05-27,942.40,1002.00,942.40,975.10,-1.70,36368.00,35793600.00,-1
2026-05-28,942.40,1002.00,942.40,975.10,-1.70,36368.00,35793600.00,-1
2026-05-29,942.40,1002.00,942.40,975.10,-1.70,36368.00,35793600.00,-1
2026-06-01,975.10,975.10,921.00,930.10,-4.61,22605.00,21390491.60,-1
2026-06-02,930.00,950.00,912.30,950.00,2.14,21008.00,19687224.90,1
2026-06-03,950.00,973.00,930.70,937.10,-1.36,16220.00,15400123.20,-1
2026-06-04,930.00,950.00,925.00,926.00,-1.18,13324.00,12456061.80,-1
2026-06-05,926.00,934.60,901.00,916.90,-0.98,22720.00,20725424.10,-1
2026-06-08,912.00,930.00,880.00,909.90,-0.76,21271.00,19114649.60,-1
2026-06-09,927.00,927.00,885.00,912.90,0.33,18510.00,16647601.10,1
2026-06-10,900.00,967.00,900.00,965.00,5.71,38504.00,36421163.50,1
2026-06-11,965.50,980.60,928.00,939.00,-2.69,31939.00,30372007.90,-1
2026-06-12,925.00,950.00,925.00,949.80,1.15,16716.00,15689734.80,1
