published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1271.00,1280.00,1247.00,1251.00,-1.42,5025.00,6322271.50,-1
2021-11-05,1271.00,1280.00,1247.00,1251.00,-1.42,5025.00,6322271.50,-1
2021-11-08,1276.00,1284.00,1240.10,1250.00,-0.08,3084.00,3871689.70,-1
2021-11-09,1250.00,1271.90,1197.00,1197.00,-4.24,12105.00,14771440.50,-1
2021-11-10,1250.00,1271.90,1197.00,1197.00,-4.24,12105.00,14771440.50,-1
2021-11-11,1197.00,1215.00,1167.00,1167.00,-2.51,8834.00,10457141.50,-1
2021-11-12,1197.00,1215.00,1167.00,1167.00,-2.51,8834.00,10457141.50,-1
2021-11-15,1180.00,1195.00,1162.00,1180.00,1.46,8059.00,9454795.10,1
2021-11-16,1199.00,1220.00,1180.00,1205.00,2.12,4263.00,5116875.20,1
2021-11-17,1206.00,1229.00,1180.00,1196.00,-0.75,5570.00,6718125.00,-1
2021-11-18,1219.00,1219.00,1157.00,1168.00,-2.34,8251.00,9689528.70,-1
2021-11-19,1219.00,1219.00,1157.00,1168.00,-2.34,8251.00,9689528.70,-1
2021-11-22,1185.00,1188.00,1163.00,1170.00,0.34,3190.00,3757158.00,1
2021-11-23,1170.00,1180.00,1160.00,1170.00,0.00,3910.00,4565046.00,0
2021-11-24,1170.00,1180.00,1150.00,1170.00,0.00,3133.00,3647927.20,0
2021-11-25,1170.00,1180.00,1150.00,1152.20,-1.52,2417.00,2806650.60,-1
2021-11-26,1170.00,1180.00,1150.00,1152.20,-1.52,2417.00,2806650.60,-1
2021-11-29,1115.00,1142.00,1085.00,1091.00,-2.59,5192.00,5705391.80,-1
2021-11-30,1111.00,1111.00,1072.20,1079.00,-1.10,3167.00,3434709.00,-1
2021-12-01,1100.00,1100.00,1085.00,1098.00,1.76,2339.00,2562454.50,1
2021-12-02,1100.00,1100.00,1063.00,1070.00,-2.55,3248.00,3495560.40,-1
2021-12-03,1100.00,1100.00,1063.00,1070.00,-2.55,3248.00,3495560.40,-1
2021-12-06,1017.00,1050.00,996.70,1040.00,0.29,4428.00,4518057.00,1
2021-12-07,1050.00,1070.00,1029.00,1029.00,-1.06,2757.00,2867688.00,-1
2021-12-08,1028.00,1040.00,985.00,999.00,-2.92,5778.00,5856869.20,-1
2021-12-09,1018.50,1018.50,979.20,984.00,-1.50,3005.00,2972095.00,-1
2021-12-10,1018.50,1018.50,979.20,984.00,-1.50,3005.00,2972095.00,-1
2021-12-13,923.00,930.00,890.00,908.90,-3.41,7419.00,6709138.90,-1
2021-12-14,920.00,974.00,920.00,974.00,7.16,1582.00,1498908.00,1
2021-12-15,993.00,1012.00,950.00,950.00,-2.46,5230.00,5157767.00,-1
2021-12-16,945.00,945.00,912.00,926.00,-2.53,3783.00,3496663.60,-1
2021-12-17,945.00,945.00,912.00,926.00,-2.53,3783.00,3496663.60,-1
2021-12-20,944.00,950.00,910.00,924.90,-0.12,1714.00,1591051.80,-1
2021-12-21,943.30,958.00,938.00,948.50,2.55,2589.00,2453448.10,1
2021-12-22,967.40,985.00,960.00,985.00,3.85,4881.00,4750077.00,1
2021-12-23,1004.70,1014.00,979.10,989.00,0.41,4257.00,4239560.00,1
2021-12-24,1004.70,1014.00,979.10,989.00,0.41,4257.00,4239560.00,1
2021-12-27,1063.00,1106.00,990.10,1016.00,-2.59,11194.00,11798146.50,-1
2021-12-28,996.00,1029.00,990.10,1020.00,0.39,3165.00,3203566.00,1
2021-12-29,1035.00,1035.00,1015.00,1028.00,0.78,1183.00,1208539.00,1
2021-12-30,1035.00,1035.00,1015.00,1028.00,0.78,1183.00,1208539.00,1
2021-12-31,1035.00,1035.00,1015.00,1028.00,0.78,1183.00,1208539.00,1
2022-01-03,1081.00,1125.00,1080.00,1120.00,5.66,12115.00,13379067.80,1
2022-01-04,1142.40,1160.00,1078.00,1150.00,2.68,12304.00,13985536.90,1
2022-01-05,1173.00,1173.00,1105.10,1123.90,-2.27,8131.00,9181968.30,-1
