published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-22,523.00,523.00,523.00,523.00,0.00,2500.00,1307500.00,0
2022-09-16,288.00,288.00,288.00,288.00,0.00,10000.00,2880000.00,0
2022-10-19,288.00,288.00,288.00,288.00,0.00,2000.00,576000.00,0
2022-12-11,288.00,288.00,288.00,288.00,0.00,4564.00,1314432.00,0
2023-05-04,303.00,303.00,303.00,303.00,0.00,3050.00,924150.00,0
2023-08-02,410.00,410.00,410.00,410.00,-1.91,6000.00,2460000.00,-1
2023-10-01,410.00,410.00,410.00,410.00,0.00,4900.00,2009000.00,0
2023-11-23,410.00,410.00,410.00,410.00,0.00,2440.00,1000400.00,0
2023-12-05,410.00,410.00,410.00,410.00,0.00,4000.00,1640000.00,0
2023-12-28,410.00,410.00,410.00,410.00,0.00,8690.00,3562900.00,0
2023-12-31,410.00,410.00,410.00,410.00,0.00,8690.00,3562900.00,0
2024-02-22,410.00,410.00,410.00,410.00,0.00,20000.00,8200000.00,0
2025-01-26,499.00,499.00,499.00,499.00,0.00,2500.00,1247500.00,0
2025-07-06,496.00,496.00,496.00,496.00,0.00,6000.00,2976000.00,0
2026-01-06,463.00,463.00,463.00,463.00,0.00,14541.00,6732483.00,0
2026-01-18,453.80,453.80,453.80,453.80,-1.99,2914.00,1322373.20,-1
2026-01-19,453.80,453.80,453.80,453.80,-1.99,2914.00,1322373.20,-1
2026-01-20,453.00,453.00,453.00,453.00,-0.18,7285.00,3300105.00,-1
2026-01-21,453.00,453.00,453.00,453.00,0.00,7285.00,3300105.00,0
2026-02-16,453.00,453.00,453.00,453.00,0.00,5000.00,2265000.00,0
2026-06-11,456.00,456.00,456.00,456.00,0.66,2000.00,912000.00,1
