published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1519.00,1580.00,1471.00,1471.00,-1.61,1060.00,1581225.80,-1
2021-11-05,1519.00,1580.00,1471.00,1471.00,-1.61,1060.00,1581225.80,-1
2021-11-08,1495.00,1500.00,1465.00,1465.00,-0.41,536.00,787140.00,-1
2021-11-09,1450.00,1450.00,1365.00,1365.00,-6.83,1458.00,2075533.60,-1
2021-11-10,1450.00,1450.00,1365.00,1365.00,-6.83,1458.00,2075533.60,-1
2021-11-11,1390.00,1440.00,1338.10,1412.00,3.44,967.00,1325094.10,1
2021-11-12,1390.00,1440.00,1338.10,1412.00,3.44,967.00,1325094.10,1
2021-11-15,1430.00,1485.00,1400.00,1477.50,5.39,2729.00,3868072.60,1
2021-11-16,1500.00,1506.00,1436.00,1489.00,0.78,932.00,1373318.00,1
2021-11-17,1495.00,1500.00,1435.00,1450.00,-2.62,1067.00,1550974.00,-1
2021-11-18,1450.00,1450.00,1421.00,1425.00,-1.72,641.00,915974.70,-1
2021-11-19,1450.00,1450.00,1421.00,1425.00,-1.72,641.00,915974.70,-1
2021-11-22,1370.00,1433.00,1370.00,1375.00,-0.94,843.00,1182973.70,-1
2021-11-23,1374.00,1402.00,1352.00,1402.00,1.96,656.00,904070.50,1
2021-11-24,1395.00,1395.00,1367.40,1390.00,-0.86,266.00,369046.20,-1
2021-11-25,1370.00,1388.00,1364.00,1364.00,-1.87,655.00,897382.00,-1
2021-11-26,1370.00,1388.00,1364.00,1364.00,-1.87,655.00,897382.00,-1
2021-11-29,1300.00,1378.00,1300.00,1345.00,3.46,445.00,596332.70,1
2021-11-30,1328.00,1342.00,1324.00,1340.00,-0.37,334.00,444928.90,-1
2021-12-01,1313.20,1394.00,1313.20,1345.00,0.37,520.00,688492.60,1
2021-12-02,1320.10,1339.00,1301.00,1310.00,-2.60,316.00,415888.30,-1
2021-12-03,1320.10,1339.00,1301.00,1310.00,-2.60,316.00,415888.30,-1
2021-12-06,1255.00,1280.00,1235.00,1277.00,-0.23,337.00,426191.00,-1
2021-12-07,1277.00,1281.00,1277.00,1277.00,0.00,210.00,268670.00,0
2021-12-08,1277.00,1277.00,1150.00,1168.00,-8.54,3757.00,4453410.50,-1
2021-12-09,1144.70,1144.70,1067.00,1100.00,-5.82,3887.00,4285698.00,-1
2021-12-10,1144.70,1144.70,1067.00,1100.00,-5.82,3887.00,4285698.00,-1
2021-12-13,993.00,1000.00,951.60,975.00,-3.56,2020.00,1959657.20,-1
2021-12-14,990.00,1059.00,990.00,1059.00,8.62,609.00,614671.00,1
2021-12-15,1080.00,1101.00,1020.00,1050.00,-0.85,934.00,992965.40,-1
2021-12-16,1030.00,1030.00,1000.00,1000.00,-4.76,420.00,422540.00,-1
2021-12-17,1030.00,1030.00,1000.00,1000.00,-4.76,420.00,422540.00,-1
2021-12-20,1010.00,1010.00,990.00,1001.00,0.10,272.00,272550.00,1
2021-12-21,992.00,1020.90,992.00,1020.90,1.99,203.00,205115.90,1
2021-12-22,1041.00,1075.00,1023.00,1071.00,4.91,1485.00,1561581.00,1
2021-12-23,1085.00,1085.00,1029.00,1040.10,-2.89,1259.00,1330518.90,-1
2021-12-24,1085.00,1085.00,1029.00,1040.10,-2.89,1259.00,1330518.90,-1
2021-12-27,1120.00,1142.00,1060.00,1060.00,-4.50,2739.00,3022972.90,-1
2021-12-28,1081.00,1081.00,1059.00,1080.00,1.89,459.00,487556.30,1
2021-12-29,1065.00,1115.00,1065.00,1092.00,1.11,574.00,631123.00,1
2021-12-30,1065.00,1115.00,1065.00,1092.00,1.11,574.00,631123.00,1
2021-12-31,1065.00,1115.00,1065.00,1092.00,1.11,574.00,631123.00,1
2022-01-03,1177.00,1245.00,1177.00,1220.00,5.63,1025.00,1235487.00,1
2022-01-04,1220.00,1294.00,1195.60,1255.00,2.87,1614.00,1995892.10,1
2022-01-05,1230.00,1254.60,1210.00,1221.00,-2.71,1332.00,1629111.40,-1
2022-01-06,1200.00,1229.00,1197.00,1229.00,0.66,664.00,807145.00,1
2022-01-07,1200.00,1229.00,1197.00,1229.00,0.66,664.00,807145.00,1
2022-01-10,1259.00,1264.00,1242.10,1242.10,0.17,1602.00,2005438.20,1
2022-01-11,1250.90,1321.90,1250.00,1310.00,5.47,1044.00,1329489.70,1
2022-01-12,1320.00,1325.00,1272.00,1272.00,-2.90,2885.00,3760845.30,-1
2022-01-13,1257.00,1333.00,1257.00,1305.50,2.63,928.00,1218340.70,1
2022-01-14,1257.00,1333.00,1257.00,1305.50,2.63,928.00,1218340.70,1
2022-01-17,1347.00,1361.00,1337.00,1361.00,0.00,1270.00,1707632.00,0
