published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-09-20,688.5,701.7,616.0,618.0,-8.44,47368.0,30025350.5,-1
2021-09-21,618.0,630.0,580.0,618.0,0.0,39957.0,24309538.0,0
2021-09-22,625.0,645.0,608.0,630.0,1.94,27893.0,17446654.7,1
2021-09-23,642.0,642.0,610.0,612.0,-2.86,29409.0,18231243.0,-1
2021-09-26,612.0,615.0,590.0,592.0,-3.27,21174.0,12569677.7,-1
2021-09-27,592.0,600.0,563.5,564.0,-4.73,22185.0,12682941.0,-1
2021-09-28,564.0,564.0,534.0,535.0,-5.14,22765.0,12389938.5,-1
2021-09-29,540.0,552.0,522.0,548.0,2.43,14159.0,7573694.5,1
2021-09-30,540.0,555.0,535.0,535.0,-2.37,16819.0,9114803.0,-1
2021-10-03,525.0,533.0,515.0,515.0,-3.74,13889.0,7213754.5,-1
2021-10-04,505.0,522.0,498.0,507.0,-1.55,11806.0,6013918.0,-1
2021-10-05,500.0,525.0,500.0,507.0,0.0,10969.0,5625642.7,0
2021-10-06,505.0,529.9,498.0,519.0,2.37,10042.0,5163784.5,1
2021-10-10,510.0,530.0,510.0,513.0,-1.16,14570.0,7594265.1,-1
2021-10-11,518.0,555.0,510.0,553.4,7.88,13470.0,7235391.4,1
2021-10-17,545.0,550.0,536.0,548.0,-0.98,5022.0,2724310.0,-1
2021-10-18,540.0,550.0,530.0,537.0,-2.01,8684.0,4650993.5,-1
2021-10-19,526.3,526.3,510.0,516.0,-3.91,11334.0,5840882.5,-1
2021-10-20,510.0,538.5,510.0,520.0,0.78,12141.0,6311282.0,1
2021-10-21,530.0,530.1,511.0,514.0,-1.15,10829.0,5584919.0,-1
2021-10-24,510.0,515.0,510.0,510.0,-0.78,10055.0,5144677.5,-1
2021-10-25,510.0,528.0,510.0,528.0,3.53,11378.0,5941013.2,1
2021-10-26,528.0,554.8,528.0,551.0,4.36,14381.0,7820721.0,1
2021-10-27,540.0,602.0,540.0,570.0,3.45,24056.0,13576476.0,1
2021-10-28,570.0,570.0,550.0,559.0,-1.93,14170.0,7941178.0,-1
2021-10-31,555.0,575.5,554.0,575.0,2.86,14710.0,8283459.0,1
2021-11-01,580.0,584.0,562.0,568.0,-1.22,11316.0,6466918.0,-1
2021-11-02,560.0,579.0,557.0,571.0,0.53,13358.0,7580482.2,1
2021-11-03,577.40,585.00,570.00,575.00,0.70,14706.00,8493646.50,1
2021-11-05,577.40,585.00,570.00,575.00,0.70,14706.00,8493646.50,1
2021-11-08,575.00,576.00,566.00,570.00,-0.87,11528.00,6564844.00,-1
2021-11-09,558.60,565.00,537.10,543.10,-4.72,17574.00,9658255.90,-1
2021-11-10,558.60,565.00,537.10,543.10,-4.72,17574.00,9658255.90,-1
2021-11-11,543.00,543.00,520.10,529.50,-2.50,10660.00,5619624.00,-1
2021-11-12,543.00,543.00,520.10,529.50,-2.50,10660.00,5619624.00,-1
2021-11-15,511.70,530.00,511.70,528.00,1.15,16665.00,8742282.50,1
2021-11-16,538.50,560.00,522.10,555.00,5.11,25677.00,14046768.00,1
2021-11-17,545.00,565.00,545.00,546.10,-1.60,18903.00,10468773.00,-1
2021-11-18,545.00,555.00,534.90,543.00,-0.57,15448.00,8330200.10,-1
2021-11-19,545.00,555.00,534.90,543.00,-0.57,15448.00,8330200.10,-1
2021-11-22,521.00,535.00,520.00,529.00,0.17,13136.00,6941127.60,1
2021-11-23,521.00,529.00,518.20,520.00,-1.70,11153.00,5816655.00,-1
2021-11-24,511.00,523.00,506.20,520.00,0.00,15039.00,7766996.90,0
2021-11-25,510.00,520.00,510.00,519.00,-0.19,9434.00,4872292.00,-1
2021-11-26,510.00,520.00,510.00,519.00,-0.19,9434.00,4872292.00,-1
2021-11-29,497.00,510.00,497.00,500.00,-1.38,12780.00,6413871.00,-1
2021-11-30,490.20,505.00,490.20,500.10,0.02,8776.00,4377601.00,1
2021-12-01,500.10,510.00,498.00,503.00,0.58,6502.00,3259279.00,1
2021-12-02,510.00,510.00,495.00,495.10,-1.57,7894.00,3928085.50,-1
2021-12-03,510.00,510.00,495.00,495.10,-1.57,7894.00,3928085.50,-1
2021-12-06,475.00,481.00,460.00,478.00,0.63,12284.00,5757192.50,1
2021-12-07,470.00,494.00,470.00,480.00,0.42,10016.00,4850337.40,1
2021-12-08,485.00,485.00,468.00,471.00,-1.88,5877.00,2778124.30,-1
2021-12-09,463.00,470.00,457.00,464.90,-1.30,7180.00,3311904.00,-1
2021-12-10,463.00,470.00,457.00,464.90,-1.30,7180.00,3311904.00,-1
2021-12-13,433.10,434.50,424.40,428.00,-2.95,10004.00,4308069.00,-1
2021-12-14,430.00,453.90,430.00,453.00,5.84,4255.00,1896407.00,1
2021-12-15,462.00,480.00,448.10,448.50,-0.99,13047.00,6003567.50,-1
2021-12-16,441.00,442.00,433.00,441.00,-1.67,7646.00,3358501.40,-1
2021-12-17,441.00,442.00,433.00,441.00,-1.67,7646.00,3358501.40,-1
2021-12-20,435.00,441.00,430.70,435.00,-1.36,6260.00,2718942.30,-1
2021-12-21,427.00,444.00,427.00,443.00,1.84,7755.00,3406484.00,1
2021-12-22,441.00,468.00,441.00,465.00,4.97,14021.00,6441155.80,1
2021-12-23,460.30,493.00,456.10,487.00,4.73,18998.00,9121089.50,1
2021-12-24,460.30,493.00,456.10,487.00,4.73,18998.00,9121089.50,1
2021-12-27,546.40,575.00,516.10,518.10,-3.29,57000.00,31293124.30,-1
2021-12-28,507.80,518.50,500.00,513.00,-0.98,11579.00,5929142.00,-1
2021-12-29,513.00,520.00,506.00,515.00,0.39,9993.00,5137808.30,1
2021-12-30,513.00,520.00,506.00,515.00,0.39,9993.00,5137808.30,1
2021-12-31,513.00,520.00,506.00,515.00,0.39,9993.00,5137808.30,1
2022-01-03,515.00,540.00,515.00,529.00,0.76,19641.00,10395879.50,1
2022-01-04,539.00,539.00,519.00,531.10,0.40,15704.00,8338253.20,1
2022-01-05,531.00,537.90,525.10,528.00,-0.58,17620.00,9334137.70,-1
2022-01-06,520.10,530.00,516.20,528.00,0.00,18240.00,9548304.50,0
2022-01-07,520.10,530.00,516.20,528.00,0.00,18240.00,9548304.50,0
2022-01-10,549.80,549.90,532.00,541.00,0.19,20822.00,11248713.80,1
2022-01-11,535.00,581.00,535.00,569.00,5.18,71630.00,40736534.70,1
2022-01-12,557.70,572.00,550.10,557.00,-2.11,26093.00,14629579.70,-1
2022-01-13,568.00,568.00,550.00,566.00,1.62,26846.00,15053533.00,1
2022-01-14,568.00,568.00,550.00,566.00,1.62,26846.00,15053533.00,1
2022-01-17,563.00,575.00,563.00,568.10,-0.73,22447.00,12778465.40,-1
2022-01-18,557.10,575.00,550.00,555.00,-2.31,30639.00,17049119.50,-1
2022-01-19,561.00,566.00,545.00,545.90,-1.64,23626.00,12978734.50,-1
2022-01-20,535.00,566.00,535.00,559.90,2.56,28580.00,15797642.00,1
