published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1632.00,1632.00,1585.00,1601.00,0.06,2863.00,4617190.70,1
2021-11-05,1632.00,1632.00,1585.00,1601.00,0.06,2863.00,4617190.70,1
2021-11-08,1585.00,1601.00,1585.00,1600.00,-0.06,759.00,1205013.00,-1
2021-11-09,1571.00,1571.00,1506.00,1508.00,-5.75,2379.00,3630847.50,-1
2021-11-10,1571.00,1571.00,1506.00,1508.00,-5.75,2379.00,3630847.50,-1
2021-11-11,1480.00,1500.00,1480.00,1487.00,-1.39,1474.00,2193179.00,-1
2021-11-12,1480.00,1500.00,1480.00,1487.00,-1.39,1474.00,2193179.00,-1
2021-11-15,1489.00,1500.00,1431.00,1500.00,2.74,1677.00,2447248.10,1
2021-11-16,1500.00,1560.00,1489.60,1528.00,1.87,2486.00,3777204.40,1
2021-11-17,1557.00,1557.00,1500.00,1548.90,1.37,728.00,1105884.40,1
2021-11-18,1525.00,1525.00,1496.00,1505.00,-2.83,1660.00,2508054.00,-1
2021-11-19,1525.00,1525.00,1496.00,1505.00,-2.83,1660.00,2508054.00,-1
2021-11-22,1455.00,1494.00,1455.00,1456.00,-0.61,369.00,542747.90,-1
2021-11-23,1456.00,1456.00,1427.00,1449.00,-0.48,658.00,943451.50,-1
2021-11-24,1426.00,1479.00,1400.00,1479.00,2.07,531.00,756719.00,1
2021-11-25,1508.00,1510.00,1440.00,1441.10,-2.56,695.00,1012969.00,-1
2021-11-26,1508.00,1510.00,1440.00,1441.10,-2.56,695.00,1012969.00,-1
2021-11-29,1437.00,1465.00,1410.10,1411.00,0.07,1096.00,1563430.40,1
2021-11-30,1439.20,1450.00,1395.20,1439.00,1.98,1608.00,2288967.60,1
2021-12-01,1445.00,1445.00,1411.40,1415.10,-1.66,1085.00,1541868.80,-1
2021-12-02,1443.00,1443.00,1387.00,1389.10,-1.84,1246.00,1751686.30,-1
2021-12-03,1443.00,1443.00,1387.00,1389.10,-1.84,1246.00,1751686.30,-1
2021-12-06,1360.00,1386.00,1356.00,1385.00,0.14,1939.00,2644270.60,1
2021-12-07,1412.00,1440.00,1384.00,1386.00,0.07,977.00,1367491.80,1
2021-12-08,1386.00,1390.00,1350.00,1350.00,-2.60,734.00,1002856.50,-1
2021-12-09,1377.00,1377.00,1340.00,1351.00,0.07,3490.00,4720184.80,1
2021-12-10,1377.00,1377.00,1340.00,1351.00,0.07,3490.00,4720184.80,1
2021-12-13,1044.00,1044.00,972.00,980.10,-4.38,1668.00,1649246.30,-1
2021-12-14,995.00,1030.00,985.00,1029.90,5.08,820.00,822886.00,1
2021-12-15,1050.00,1113.00,990.00,1073.00,4.18,2153.00,2268870.00,1
2021-12-16,1052.00,1072.00,1015.00,1055.00,-1.68,640.00,658780.00,-1
