published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,2612.00,2699.00,2608.00,2608.00,-1.62,955.00,2523151.90,-1
2021-11-05,2612.00,2699.00,2608.00,2608.00,-1.62,955.00,2523151.90,-1
2021-11-08,2650.00,2650.00,2400.50,2400.50,-7.96,11119.00,27442458.80,-1
2021-11-09,2440.00,2537.00,2275.00,2422.50,0.92,6892.00,16363385.00,1
2021-11-10,2440.00,2537.00,2275.00,2422.50,0.92,6892.00,16363385.00,1
2021-11-11,2422.50,2422.50,2320.00,2377.00,-1.88,1736.00,4124019.90,-1
2021-11-12,2422.50,2422.50,2320.00,2377.00,-1.88,1736.00,4124019.90,-1
2021-11-15,2300.00,2433.00,2300.00,2348.00,0.34,1543.00,3631886.00,1
2021-11-16,2389.00,2389.00,2350.00,2375.00,1.15,490.00,1157646.00,1
2021-11-17,2400.00,2401.00,2365.00,2370.00,-0.21,1154.00,2755728.00,-1
2021-11-18,2326.00,2415.00,2326.00,2400.00,1.27,1507.00,3600940.00,1
2021-11-19,2326.00,2415.00,2326.00,2400.00,1.27,1507.00,3600940.00,1
2021-11-22,2361.10,2408.00,2361.10,2370.00,0.42,1312.00,3126016.80,1
2021-11-23,2340.00,2340.00,2325.00,2325.00,-1.90,512.00,1194520.00,-1
2021-11-24,2287.00,2345.00,2287.00,2335.00,0.43,251.00,584361.30,1
2021-11-25,2324.00,2350.00,2316.00,2316.00,-0.81,442.00,1028622.00,-1
2021-11-26,2324.00,2350.00,2316.00,2316.00,-0.81,442.00,1028622.00,-1
2021-11-29,2200.00,2250.00,2190.00,2190.00,-1.44,800.00,1764466.80,-1
2021-11-30,2150.10,2189.00,2103.30,2189.00,-0.05,473.00,1008104.60,-1
2021-12-01,2150.00,2190.00,2145.30,2165.00,-1.10,1169.00,2514711.50,-1
2021-12-02,2207.00,2252.10,2160.00,2170.00,0.23,1219.00,2652606.00,1
2021-12-03,2207.00,2252.10,2160.00,2170.00,0.23,1219.00,2652606.00,1
2021-12-06,2146.00,2190.00,2105.00,2190.00,4.09,1216.00,2597940.90,1
2021-12-07,2233.00,2299.00,2155.20,2155.20,-1.59,1875.00,4162116.30,-1
2021-12-08,2194.00,2195.00,2120.00,2125.00,-1.40,517.00,1104163.00,-1
2021-12-09,2160.00,2198.00,2100.00,2198.00,3.44,558.00,1194744.00,1
2021-12-10,2160.00,2198.00,2100.00,2198.00,3.44,558.00,1194744.00,1
2021-12-13,2160.90,2190.00,2084.10,2170.00,-1.59,1141.00,2416903.50,-1
2021-12-14,2130.00,2275.00,2130.00,2275.00,4.84,702.00,1588584.00,1
2021-12-15,2320.50,2412.00,2188.40,2300.00,1.10,5496.00,12838011.80,1
2021-12-16,1741.00,1794.90,1740.00,1794.90,1.45,2317.00,4090483.10,1
2021-12-17,1741.00,1794.90,1740.00,1794.90,1.45,2317.00,4090483.10,1
2021-12-20,1790.00,1790.00,1619.00,1753.50,-2.31,447.00,750151.60,-1
2021-12-21,1725.00,1762.00,1725.00,1762.00,0.48,875.00,1533033.00,1
2021-12-22,1790.00,1797.00,1726.80,1755.10,-0.39,1080.00,1885952.90,-1
2021-12-23,1790.20,1825.00,1779.70,1779.70,1.40,923.00,1657954.20,1
2021-12-24,1790.20,1825.00,1779.70,1779.70,1.40,923.00,1657954.20,1
2021-12-27,1841.00,1841.00,1779.00,1779.00,-1.44,774.00,1388719.00,-1
2021-12-28,1750.00,1755.00,1745.10,1745.10,-1.91,398.00,696568.00,-1
2021-12-29,1750.00,1750.00,1711.00,1711.00,-1.95,401.00,692330.50,-1
2021-12-30,1750.00,1750.00,1711.00,1711.00,-1.95,401.00,692330.50,-1
2021-12-31,1750.00,1750.00,1711.00,1711.00,-1.95,401.00,692330.50,-1
2022-01-03,1795.00,1865.00,1795.00,1840.00,4.52,621.00,1140619.00,1
2022-01-04,1875.00,1917.60,1839.30,1917.60,4.22,1635.00,3086021.20,1
2022-01-05,1954.00,1954.00,1840.60,1846.00,-3.73,864.00,1662322.60,-1
2022-01-06,1869.90,1869.90,1815.00,1832.50,-0.73,746.00,1372972.00,-1
2022-01-07,1869.90,1869.90,1815.00,1832.50,-0.73,746.00,1372972.00,-1
2022-01-10,1850.00,1896.00,1822.00,1896.00,1.39,694.00,1276282.00,1
2022-01-11,1909.90,2010.00,1871.80,2007.00,5.85,2147.00,4134223.50,1
2022-01-12,2020.00,2127.00,1940.00,1960.00,-2.34,1778.00,3534411.90,-1
2022-01-13,1999.20,2035.00,1923.00,2035.00,3.83,701.00,1387485.30,1
2022-01-14,1999.20,2035.00,1923.00,2035.00,3.83,701.00,1387485.30,1
2022-01-17,2025.00,2025.00,1985.00,2019.90,-0.25,509.00,1016820.00,-1
