published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-13,1001.00,1001.00,1001.00,1001.00,0.00,600.00,600600.00,0
2022-04-14,1001.00,1001.00,1001.00,1001.00,0.00,600.00,600600.00,0
2022-04-15,1001.00,1001.00,1001.00,1001.00,0.00,600.00,600600.00,0
2022-04-18,981.00,981.00,981.00,981.00,0.00,500.00,490500.00,0
2022-04-19,981.00,981.00,981.00,981.00,0.00,500.00,490500.00,0
2022-04-20,981.00,981.00,981.00,981.00,0.00,1300.00,1275300.00,0
2022-04-26,962.00,962.00,962.00,962.00,-1.94,1200.00,1154400.00,-1
2022-09-28,652.00,652.00,652.00,652.00,0.00,200.00,130400.00,0
2022-10-09,652.00,652.00,652.00,652.00,0.00,1000.00,652000.00,0
2023-05-30,512.00,512.00,512.00,512.00,-21.47,7150.00,3660800.00,-1
2024-12-01,825.00,825.00,750.00,750.00,15.03,215.00,169875.00,1
2025-04-09,750.00,750.00,750.00,750.00,0.00,2000.00,922000.00,0
