published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1580.00,1580.00,1519.00,1525.00,-1.61,595.00,909585.00,-1
2021-11-05,1580.00,1580.00,1519.00,1525.00,-1.61,595.00,909585.00,-1
2021-11-08,1516.00,1524.00,1514.00,1520.00,-0.33,2066.00,3143955.00,-1
2021-11-09,1497.00,1497.00,1467.00,1469.00,-3.36,1978.00,2926415.00,-1
2021-11-10,1497.00,1497.00,1467.00,1469.00,-3.36,1978.00,2926415.00,-1
2021-11-11,1464.00,1480.00,1415.00,1475.00,0.41,1056.00,1521177.00,1
2021-11-12,1464.00,1480.00,1415.00,1475.00,0.41,1056.00,1521177.00,1
2021-11-15,1458.00,1487.00,1428.00,1444.00,0.98,806.00,1158098.00,1
2021-11-16,1470.00,1470.00,1423.00,1455.00,0.76,1260.00,1810382.50,1
2021-11-17,1482.00,1484.00,1455.10,1455.10,0.01,570.00,830715.00,1
2021-11-18,1445.00,1450.00,1427.00,1432.00,-1.59,1146.00,1639699.50,-1
2021-11-19,1445.00,1450.00,1427.00,1432.00,-1.59,1146.00,1639699.50,-1
2021-11-22,1400.00,1415.00,1400.00,1415.00,-0.14,431.00,606600.00,-1
2021-11-23,1443.30,1443.30,1400.00,1441.20,1.85,777.00,1101934.00,1
2021-11-24,1414.40,1414.70,1371.00,1413.00,-1.96,1312.00,1845337.00,-1
2021-11-25,1440.00,1440.00,1387.00,1387.00,-1.84,815.00,1139031.80,-1
2021-11-26,1440.00,1440.00,1387.00,1387.00,-1.84,815.00,1139031.80,-1
2021-11-29,1386.00,1386.00,1345.00,1345.00,-1.10,565.00,767260.00,-1
2021-11-30,1371.90,1470.00,1371.90,1420.00,5.58,6514.00,9358818.30,1
2021-12-01,1444.00,1444.00,1407.00,1415.00,-0.35,992.00,1411497.50,-1
2021-12-02,1405.20,1424.00,1391.00,1391.00,-1.70,963.00,1353311.30,-1
2021-12-03,1405.20,1424.00,1391.00,1391.00,-1.70,963.00,1353311.30,-1
2021-12-06,1365.00,1443.00,1335.00,1440.00,3.67,1264.00,1729693.00,1
2021-12-07,1420.10,1420.10,1391.60,1409.00,-2.15,501.00,701062.60,-1
2021-12-08,1400.00,1427.00,1346.00,1372.00,-2.63,588.00,801277.70,-1
2021-12-09,1372.00,1385.00,1344.60,1385.00,0.95,426.00,578521.00,1
2021-12-10,1372.00,1385.00,1344.60,1385.00,0.95,426.00,578521.00,1
2021-12-13,1331.00,1331.00,1280.10,1315.00,-3.12,1002.00,1304676.70,-1
2021-12-14,1341.00,1420.00,1320.00,1420.00,7.98,225.00,302718.00,1
2021-12-15,1400.00,1400.00,1345.00,1397.40,-1.59,1049.00,1451153.00,-1
2021-12-16,1375.00,1385.00,1343.00,1370.00,-1.96,329.00,450460.00,-1
2021-12-17,1375.00,1385.00,1343.00,1370.00,-1.96,329.00,450460.00,-1
2021-12-20,1343.00,1369.50,1330.00,1340.00,-2.19,497.00,667022.00,-1
2021-12-21,1365.00,1365.00,1345.00,1364.00,1.79,684.00,926693.00,1
2021-12-22,1391.00,1399.00,1375.00,1399.00,2.57,1251.00,1744108.00,1
2021-12-23,1426.00,1435.00,1398.00,1430.00,2.22,1939.00,2755388.00,1
2021-12-24,1426.00,1435.00,1398.00,1430.00,2.22,1939.00,2755388.00,1
2021-12-27,1505.50,1535.00,1450.00,1450.00,-1.76,1087.00,1609716.90,-1
2021-12-28,1477.00,1477.00,1429.00,1452.00,0.14,612.00,883295.00,1
2021-12-29,1452.00,1479.00,1450.10,1460.00,0.55,8258.00,12054590.50,1
2021-12-30,1452.00,1479.00,1450.10,1460.00,0.55,8258.00,12054590.50,1
2021-12-31,1452.00,1479.00,1450.10,1460.00,0.55,8258.00,12054590.50,1
2022-01-03,1190.00,1230.00,1190.00,1195.00,2.14,1531.00,1839360.00,1
2022-01-04,1218.00,1245.00,1201.00,1225.00,2.51,1838.00,2249444.00,1
2022-01-05,1249.00,1249.00,1194.70,1194.70,-2.47,368.00,443576.10,-1
2022-01-06,1210.00,1210.00,1175.00,1208.00,1.11,1698.00,2025080.00,1
2022-01-07,1210.00,1210.00,1175.00,1208.00,1.11,1698.00,2025080.00,1
2022-01-10,1212.00,1267.00,1200.00,1235.00,1.31,2122.00,2587147.00,1
2022-01-11,1230.00,1310.00,1230.00,1300.00,5.26,3740.00,4782554.00,1
2022-01-12,1276.10,1300.10,1265.00,1265.00,-2.69,2178.00,2787530.30,-1
2022-01-13,1261.10,1331.00,1260.00,1331.00,5.22,5574.00,7208740.50,1
2022-01-14,1261.10,1331.00,1260.00,1331.00,5.22,5574.00,7208740.50,1
2022-01-17,1350.00,1362.00,1284.00,1300.00,-2.69,2605.00,3396799.00,-1
