published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-25,779.00,779.00,779.00,779.00,0.00,22000.00,17138000.00,0
2021-11-26,779.00,779.00,779.00,779.00,0.00,22000.00,17138000.00,0
2021-12-02,779.00,779.00,779.00,779.00,0.00,9000.00,7011000.00,0
2021-12-03,779.00,779.00,779.00,779.00,0.00,9000.00,7011000.00,0
2021-12-21,779.00,779.00,779.00,779.00,0.00,2000.00,1558000.00,0
2021-12-27,779.00,779.00,779.00,779.00,0.00,4500.00,3505500.00,0
2021-12-29,764.00,764.00,764.00,764.00,-1.93,5000.00,3820000.00,-1
2021-12-30,764.00,764.00,764.00,764.00,-1.93,5000.00,3820000.00,-1
2021-12-31,764.00,764.00,764.00,764.00,-1.93,5000.00,3820000.00,-1
2022-05-17,561.00,561.00,561.00,561.00,0.00,2504.00,1404744.00,0
2022-05-18,561.00,561.00,561.00,561.00,0.00,3000.00,1683000.00,0
2022-05-26,561.00,561.00,561.00,561.00,0.00,5000.00,2805000.00,0
2022-06-07,561.00,561.00,561.00,561.00,0.00,6132.00,3440052.00,0
2022-08-02,561.00,561.00,561.00,561.00,0.00,5000.00,2805000.00,0
2022-09-14,561.00,561.00,561.00,561.00,0.00,2000.00,1122000.00,0
2022-09-15,561.00,561.00,561.00,561.00,0.00,19000.00,10659000.00,0
2023-04-19,423.40,423.40,423.40,423.40,-1.99,5000.00,2117000.00,-1
2023-04-20,415.00,415.00,415.00,415.00,-1.98,6900.00,2863500.00,-1
2023-04-23,406.70,406.70,406.70,406.70,-2.00,9000.00,3660300.00,-1
2023-04-25,398.60,398.60,398.60,398.60,-1.99,10000.00,3986000.00,-1
2023-04-26,390.70,390.70,390.70,390.70,-1.98,10000.00,3907000.00,-1
