published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-05,299.00,328.90,299.00,328.90,10.00,6650.00,2182579.00,1
2023-03-06,299.00,328.90,299.00,328.90,10.00,6650.00,2182579.00,1
2023-03-07,335.40,361.70,335.40,361.70,9.97,14850.00,5365374.10,1
2023-03-08,335.40,361.70,335.40,361.70,9.97,14850.00,5365374.10,1
2023-03-09,368.90,391.00,355.00,381.00,5.34,68817.00,25676086.00,1
2023-03-12,381.00,382.00,363.10,364.20,-4.41,63702.00,23500715.00,-1
2023-03-13,364.00,364.00,345.00,354.00,-2.80,29842.00,10586706.30,-1
2023-03-14,349.00,389.40,349.00,387.00,9.32,45140.00,17056519.10,1
2023-03-15,379.30,388.10,375.70,387.20,0.05,33952.00,12963109.00,1
2023-03-16,379.50,406.80,379.50,401.00,3.56,46216.00,18444246.00,1
2023-03-19,403.00,406.50,389.00,399.00,-0.50,31720.00,12580589.40,-1
2023-03-20,395.00,405.20,392.10,401.00,0.50,26018.00,10381215.50,1
2023-03-21,395.00,405.20,392.10,401.00,0.50,26018.00,10381215.50,1
2023-03-22,409.00,425.40,403.00,403.10,0.52,39330.00,16162128.10,1
2023-03-23,411.00,411.00,391.00,391.50,-2.88,25112.00,9877271.80,-1
2023-03-26,399.30,400.00,384.00,390.00,-0.38,22001.00,8542755.40,-1
2023-03-27,397.00,397.00,377.00,392.20,0.56,17065.00,6634436.50,1
2023-03-28,400.00,403.00,387.10,392.00,-0.05,26098.00,10350080.10,-1
2023-03-29,399.00,399.00,383.30,394.80,0.71,28707.00,11189829.00,1
2023-03-30,394.90,398.00,387.30,395.00,0.05,16967.00,6628409.00,1
2023-04-02,395.00,395.00,379.90,385.00,-2.53,20541.00,7856366.50,-1
2023-04-03,377.30,383.00,370.00,374.10,-2.83,15636.00,5878455.00,-1
2023-04-17,377.50,385.00,376.10,382.00,-0.80,8880.00,3379066.00,-1
2023-04-19,379.20,418.00,373.00,399.90,3.36,6363.00,2482013.50,1
2023-04-20,395.00,408.00,390.00,395.00,-1.23,19178.00,7648136.00,-1
2023-04-23,402.00,410.90,383.30,385.40,-2.43,6750.00,2619474.00,-1
2023-04-24,380.00,392.00,380.00,386.00,0.16,5580.00,2154540.00,1
2023-04-25,378.30,397.00,378.30,390.10,1.06,8116.00,3163363.00,1
2023-04-26,383.60,398.10,383.20,383.20,-1.77,7257.00,2841236.60,-1
2023-04-27,381.00,398.90,381.00,398.90,4.10,13885.00,5446926.20,1
2023-04-30,391.00,397.50,386.70,390.90,-2.01,5170.00,2018109.00,-1
2023-05-01,391.00,397.50,386.70,390.90,-2.01,5170.00,2018109.00,-1
2023-05-02,383.50,386.00,380.00,385.00,-1.51,4990.00,1913806.50,-1
2023-05-03,385.00,385.00,373.30,381.00,-1.04,6413.00,2413616.00,-1
2023-05-04,373.40,390.00,373.00,390.00,2.36,6909.00,2644994.00,1
2023-05-07,383.00,390.00,377.00,382.00,-2.05,3090.00,1181378.00,-1
2023-05-08,375.10,385.00,375.10,382.90,0.24,9604.00,3651980.90,1
2023-05-09,375.50,403.90,375.50,385.00,0.55,10698.00,4158285.00,1
2023-05-10,390.00,390.00,380.00,389.00,1.04,9321.00,3555708.30,1
2023-05-11,381.30,390.00,374.00,386.90,-0.54,2010.00,766996.00,-1
2023-05-14,394.00,394.00,368.10,380.00,-1.78,4027.00,1518297.00,-1
2023-05-15,372.40,382.00,366.30,378.00,-0.53,2990.00,1114420.00,-1
2023-05-16,378.00,384.00,368.00,381.00,0.79,8090.00,3055620.70,1
2023-05-17,373.60,388.60,373.60,383.00,0.52,12538.00,4739750.20,1
2023-05-18,390.00,398.80,375.10,398.80,4.13,13750.00,5368332.80,1
2023-05-21,390.90,412.00,386.00,410.00,2.81,20687.00,8161810.70,1
2023-05-22,410.00,415.00,388.10,400.90,-2.22,13701.00,5387855.00,-1
2023-05-23,400.90,423.00,387.10,420.00,4.76,17798.00,7325888.00,1
2023-05-24,428.00,428.00,400.60,405.70,-3.40,12552.00,5152052.00,-1
2023-05-25,428.00,428.00,400.60,405.70,-3.40,12552.00,5152052.00,-1
2023-05-28,408.00,422.00,397.00,409.00,0.81,32173.00,13052302.30,1
2023-05-29,408.00,422.00,397.00,409.00,0.81,32173.00,13052302.30,1
2023-05-30,400.90,425.00,386.40,416.50,1.83,20239.00,8031724.80,1
2023-05-31,422.00,422.00,386.30,393.00,-5.64,21835.00,8627857.10,-1
2023-06-01,385.30,399.80,381.00,395.00,0.51,17637.00,6890807.00,1
2023-06-04,400.00,424.00,393.00,415.00,5.06,22813.00,9454986.10,1
2023-06-05,420.00,420.00,408.10,414.00,-0.24,29996.00,12331903.00,-1
2023-06-06,405.80,432.40,401.50,432.40,4.44,27546.00,11582965.40,1
2023-06-07,433.00,462.00,425.40,444.00,2.68,24563.00,10826973.30,1
2023-06-08,449.00,463.00,427.10,453.90,2.23,15135.00,6761640.10,1
2023-06-11,460.00,469.00,445.00,460.00,1.34,34598.00,15805678.00,1
2023-06-12,450.80,460.00,436.00,442.70,-3.76,30141.00,13360702.80,-1
2023-06-13,435.00,469.40,426.30,442.00,-0.16,29174.00,13071001.50,-1
2023-06-14,435.00,461.00,435.00,445.00,0.68,45410.00,20261281.50,1
2023-06-15,450.00,460.90,441.00,460.00,3.37,36005.00,16322515.00,1
2023-06-18,460.00,506.00,450.90,506.00,10.00,28766.00,13398678.00,1
2023-06-19,495.90,495.90,466.80,483.00,-4.55,20197.00,9667709.30,-1
2023-06-20,490.00,490.00,455.00,463.00,-4.14,17933.00,8433072.50,-1
2023-06-21,454.00,470.00,441.00,445.00,-3.89,20231.00,9084403.00,-1
2023-06-22,440.00,470.00,435.00,454.60,2.16,26027.00,11791433.30,1
2023-06-25,463.60,472.80,428.00,472.80,4.00,35861.00,15724635.30,1
2023-06-26,463.40,463.40,434.00,440.00,-6.94,29943.00,13266804.70,-1
2023-06-27,440.00,445.00,430.40,435.00,-1.14,28113.00,12307035.20,-1
2023-06-28,440.00,461.50,420.00,420.00,-3.45,19920.00,8579151.00,-1
2023-06-29,440.00,461.50,420.00,420.00,-3.45,19920.00,8579151.00,-1
2023-07-02,415.00,428.40,415.00,419.00,-0.24,14396.00,6049034.20,-1
2023-07-03,427.30,427.30,400.10,423.00,0.95,15987.00,6596106.60,1
2023-07-04,423.00,429.00,408.90,426.00,0.71,6311.00,2632913.80,1
2023-07-05,417.50,417.50,403.60,406.90,-4.48,10659.00,4355424.00,-1
2023-07-06,399.00,418.00,399.00,418.00,2.73,8502.00,3436490.40,1
2023-07-09,425.90,425.90,392.60,414.00,-0.96,11000.00,4496162.00,-1
2023-07-10,405.80,420.90,393.00,393.00,-5.07,12419.00,4970996.90,-1
2023-07-11,385.20,397.00,385.20,390.50,-0.64,9365.00,3687290.50,-1
2023-07-12,384.00,426.50,384.00,409.00,4.74,4669.00,1877898.90,1
2023-07-13,409.00,433.90,399.00,399.00,-2.44,6190.00,2504473.00,-1
2023-07-16,392.00,422.00,377.50,422.00,5.76,6252.00,2426995.50,1
2023-07-17,413.60,413.60,390.00,412.00,-2.37,5015.00,2006679.00,-1
2023-07-18,403.80,419.00,395.80,411.00,-0.24,9023.00,3647647.30,-1
2023-07-19,415.50,417.00,392.70,397.00,-3.41,9247.00,3720670.00,-1
2023-07-20,390.10,406.10,390.00,404.80,1.96,5060.00,2018788.50,1
2023-07-23,408.00,428.00,396.00,415.00,2.52,7116.00,2878404.50,1
2023-07-24,423.30,423.30,398.00,402.10,-3.11,5608.00,2265366.10,-1
2023-07-25,394.20,402.00,391.00,395.10,-1.74,2900.00,1149514.00,-1
