published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-17,320.00,332.90,305.00,308.20,-2.78,35248.00,10878675.60,-1
2023-04-19,306.00,314.00,303.10,311.00,1.24,28467.00,8819532.00,1
2023-04-20,317.20,317.20,305.00,305.00,-1.93,23322.00,7185060.40,-1
2023-04-23,300.00,302.80,292.30,294.90,-3.31,32757.00,9733101.70,-1
2023-04-24,291.00,297.00,286.10,286.50,-2.85,30945.00,8962716.80,-1
2023-04-25,280.80,297.90,274.70,296.80,3.60,47220.00,13413954.80,1
2023-04-26,291.00,295.50,285.00,287.80,-3.03,20429.00,5885550.20,-1
2023-04-27,287.00,290.00,278.60,283.80,-1.39,21190.00,6002280.20,-1
2023-04-30,282.00,283.00,274.10,274.10,-3.42,27513.00,7658187.70,-1
2023-05-01,282.00,283.00,274.10,274.10,-3.42,27513.00,7658187.70,-1
2023-05-02,279.50,281.00,264.00,266.90,-2.63,16688.00,4479530.00,-1
2023-05-03,262.10,267.00,256.10,257.10,-3.67,28671.00,7416302.70,-1
2023-05-04,253.00,264.80,253.00,263.00,2.29,21956.00,5693706.00,1
2023-05-07,258.00,263.00,251.00,252.00,-4.18,24149.00,6150181.40,-1
2023-05-08,249.90,253.00,241.00,244.90,-2.82,20007.00,4897135.00,-1
2023-05-09,240.30,254.00,238.20,251.00,2.49,18494.00,4580272.40,1
2023-05-10,250.90,251.90,243.20,245.50,-2.19,16126.00,3978480.00,-1
2023-05-11,245.00,251.00,242.30,245.00,-0.20,12747.00,3138907.00,-1
2023-05-14,245.00,248.00,240.30,240.30,-1.92,15690.00,3842857.00,-1
2023-05-15,237.10,245.80,233.20,240.00,-0.12,19225.00,4586239.90,-1
2023-05-16,235.60,244.90,235.60,244.90,2.04,18675.00,4488718.70,1
2023-05-17,241.00,253.00,241.00,253.00,3.31,22184.00,5505180.80,1
2023-05-18,253.00,267.00,248.00,264.90,4.70,21462.00,5565734.80,1
2023-05-21,260.00,269.40,255.30,256.10,-3.32,38296.00,10037695.50,-1
2023-05-22,252.00,263.00,251.00,258.00,0.74,19748.00,5074194.60,1
2023-05-23,258.00,276.40,257.00,271.00,5.04,37038.00,9990109.50,1
2023-05-24,271.00,275.50,263.40,275.50,1.66,28270.00,7615340.60,1
2023-05-25,271.00,275.50,263.40,275.50,1.66,28270.00,7615340.60,1
2023-05-28,275.50,279.00,263.00,264.20,-4.10,40282.00,11041894.60,-1
2023-05-29,275.50,279.00,263.00,264.20,-4.10,40282.00,11041894.60,-1
2023-05-30,259.10,266.00,252.00,253.00,-4.24,33105.00,8577643.80,-1
2023-05-31,248.00,258.00,245.00,248.40,-1.82,20305.00,5072524.70,-1
2023-06-01,248.00,260.00,244.20,253.50,2.05,24047.00,6082443.70,1
2023-06-04,248.50,273.00,248.50,268.70,6.00,24815.00,6603939.00,1
2023-06-05,264.00,279.00,260.00,265.00,-1.38,39737.00,10629845.10,-1
2023-06-06,260.10,273.00,260.10,271.00,2.26,20467.00,5482241.00,1
2023-06-07,271.00,295.00,270.00,285.00,5.17,136728.00,38854659.80,1
2023-06-08,279.50,294.00,277.50,283.00,-0.70,50257.00,14411195.20,-1
2023-06-11,288.00,301.00,281.00,300.00,6.01,54509.00,15680174.90,1
2023-06-12,300.00,301.00,287.00,288.30,-3.90,40081.00,11711581.50,-1
2023-06-13,288.00,298.00,283.00,293.00,1.63,30956.00,9032453.40,1
2023-06-14,293.00,303.00,280.00,287.00,-2.05,69090.00,20338741.50,-1
2023-06-15,282.10,296.00,282.10,285.00,-0.70,38097.00,10947508.40,-1
2023-06-18,290.00,306.00,286.10,302.00,5.96,55954.00,16779094.50,1
2023-06-19,296.00,308.00,291.30,291.30,-3.54,62490.00,18516051.60,-1
2023-06-20,291.00,297.20,278.00,278.00,-4.57,32279.00,9256040.80,-1
2023-06-21,282.00,286.00,272.00,273.20,-1.73,29525.00,8204948.00,-1
2023-06-22,275.00,278.00,266.00,266.20,-2.56,21498.00,5834687.60,-1
2023-06-25,262.00,276.00,261.10,273.00,2.55,48904.00,13125376.40,1
2023-06-26,273.00,288.00,270.00,270.20,-1.03,27404.00,7566872.80,-1
2023-06-27,270.00,277.00,266.00,276.00,2.15,25457.00,6947257.40,1
2023-06-28,275.10,277.00,266.00,267.90,-2.93,25080.00,6818033.40,-1
2023-06-29,275.10,277.00,266.00,267.90,-2.93,25080.00,6818033.40,-1
2023-07-02,268.00,269.80,256.20,256.20,-4.37,20566.00,5391345.80,-1
2023-07-03,252.00,270.00,252.00,252.50,-1.44,30917.00,7972737.10,-1
2023-07-04,252.00,261.50,250.00,256.20,1.47,18428.00,4735160.60,1
2023-07-05,256.00,262.20,248.00,250.10,-2.38,24050.00,6095046.50,-1
