published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-08-18,1078.10,1162.70,1078.10,1162.70,10.00,5314.00,6175193.80,1
2024-08-19,1078.10,1162.70,1078.10,1162.70,10.00,5314.00,6175193.80,1
2024-08-20,1078.10,1162.70,1078.10,1162.70,10.00,5314.00,6175193.80,1
2024-08-21,1185.90,1278.90,1090.00,1099.00,-5.48,142108.00,168408173.50,-1
2024-08-22,1120.00,1120.00,1064.00,1078.00,-1.91,36931.00,39950977.70,-1
2024-08-25,1056.50,1115.00,1025.00,1040.00,-3.53,27092.00,28754854.90,-1
2024-08-26,1056.50,1115.00,1025.00,1040.00,-3.53,27092.00,28754854.90,-1
2024-08-27,1024.10,1060.00,998.00,999.90,-3.86,20466.00,20877894.50,-1
2024-08-28,1019.80,1020.00,965.00,965.00,-3.49,13394.00,13336151.80,-1
2024-08-29,956.50,1003.00,945.70,967.00,0.21,12183.00,11770441.50,1
2024-09-01,986.30,988.00,926.40,926.40,-4.20,12163.00,11640812.10,-1
2024-09-02,926.40,954.50,916.00,954.50,3.03,14912.00,13987096.90,1
2024-09-03,956.00,1049.00,955.00,1020.00,6.86,19965.00,20173175.90,1
2024-09-04,1012.00,1072.00,983.00,990.00,-2.94,21344.00,21727368.30,-1
2024-09-05,973.00,1023.00,968.00,992.00,0.20,14160.00,13928195.10,1
2024-09-08,1011.80,1073.00,1000.00,1009.00,1.71,22487.00,22967470.00,1
2024-09-09,1029.00,1029.00,980.00,989.00,-1.98,8917.00,8814866.70,-1
2024-09-10,1004.00,1004.00,967.00,967.30,-2.19,6374.00,6230517.70,-1
2024-09-11,967.30,980.00,958.00,975.00,0.80,10305.00,9963993.40,1
2024-09-12,971.00,986.00,957.10,980.00,0.51,9452.00,9180184.30,1
2024-09-15,985.00,993.00,951.00,958.00,-2.24,6701.00,6508706.60,-1
2024-09-16,941.00,955.00,922.00,923.00,-3.65,8147.00,7567854.50,-1
2024-09-17,941.00,955.00,922.00,923.00,-3.65,8147.00,7567854.50,-1
2024-09-18,941.00,941.00,905.00,911.10,-1.29,6661.00,6116071.30,-1
2024-09-19,941.00,941.00,905.00,911.10,-1.29,6661.00,6116071.30,-1
2024-09-22,929.00,929.30,897.10,905.00,-0.67,5225.00,4740978.50,-1
2024-09-23,895.00,905.00,882.00,882.50,-2.49,5095.00,4533806.00,-1
2024-09-24,890.00,890.00,852.00,855.00,-3.12,7027.00,6067317.60,-1
2024-09-25,850.00,870.00,842.00,865.00,1.17,8222.00,7012375.40,1
2024-09-26,865.00,868.00,848.00,848.00,-1.97,5938.00,5095342.80,-1
2024-09-29,864.70,870.00,826.00,852.00,0.47,4507.00,3821529.10,1
2024-09-30,835.00,871.00,835.00,871.00,2.23,2664.00,2292602.40,1
2024-10-01,875.00,900.00,871.00,900.00,3.33,6254.00,5536223.70,1
2024-10-02,902.00,915.00,880.00,888.90,-1.23,5011.00,4477508.90,-1
2024-10-03,902.00,915.00,880.00,888.90,-1.23,5011.00,4477508.90,-1
2024-10-06,875.50,936.00,855.10,920.00,3.50,4818.00,4357092.00,1
2024-10-07,938.00,970.00,920.30,940.90,2.27,8275.00,7812507.80,1
2024-10-08,923.00,938.00,900.00,900.00,-4.35,4017.00,3656217.40,-1
2024-10-09,918.00,930.00,882.10,924.00,2.67,5232.00,4722342.60,1
2024-10-10,918.00,930.00,882.10,924.00,2.67,5232.00,4722342.60,1
2024-10-13,918.00,930.00,882.10,924.00,2.67,5232.00,4722342.60,1
2024-10-14,918.00,930.00,882.10,924.00,2.67,5232.00,4722342.60,1
2024-10-15,910.00,930.00,910.00,928.00,0.43,1154.00,1067099.00,1
2024-10-16,925.10,997.00,925.00,949.00,2.26,4572.00,4323193.10,1
2024-10-17,931.00,984.90,931.00,948.00,-0.11,8142.00,7804185.60,-1
2024-10-20,929.10,945.00,910.60,921.10,-2.84,4596.00,4269169.60,-1
2024-10-21,923.00,935.00,896.00,900.00,-2.29,4052.00,3694434.20,-1
2024-10-22,890.00,928.20,890.00,911.00,1.22,4327.00,3986650.60,1
2024-10-23,929.20,929.20,902.30,910.00,-0.11,3389.00,3087879.20,-1
2024-10-24,928.20,928.20,895.10,899.00,-1.21,5550.00,5028378.40,-1
2024-10-27,900.00,912.00,887.10,912.00,1.45,5412.00,4880770.30,1
2024-10-28,928.00,928.00,901.60,904.50,-0.82,1044.00,945716.60,-1
2024-10-29,920.00,932.00,907.00,917.00,1.38,4372.00,4039549.70,1
2024-10-30,917.00,936.00,917.00,923.00,0.65,3922.00,3640640.90,1
2024-10-31,917.00,936.00,917.00,923.00,0.65,3922.00,3640640.90,1
2024-11-03,917.00,936.00,917.00,923.00,0.65,3922.00,3640640.90,1
2024-11-04,917.00,936.00,917.00,923.00,0.65,3922.00,3640640.90,1
2024-11-05,934.90,935.00,916.40,929.00,0.65,1386.00,1279498.50,1
2024-11-06,940.00,942.00,921.10,925.00,-0.43,1861.00,1729224.60,-1
2024-11-07,940.00,942.00,921.10,925.00,-0.43,1861.00,1729224.60,-1
2024-11-10,925.00,948.70,918.00,945.00,2.16,5388.00,5061785.30,1
2024-11-11,926.10,1006.00,926.10,969.00,2.54,22164.00,21521204.60,1
2024-11-12,975.00,988.50,955.00,955.50,-1.39,4434.00,4299402.90,-1
2024-11-13,955.00,958.00,936.00,941.00,-1.52,4711.00,4440400.30,-1
2024-11-14,959.80,997.00,931.00,960.00,2.02,8220.00,7877367.80,1
2024-11-17,975.00,1000.00,961.00,988.00,2.92,17027.00,16800596.40,1
2024-11-18,975.00,1000.00,961.00,988.00,2.92,17027.00,16800596.40,1
2024-11-19,1000.00,1000.00,945.80,957.00,-3.14,13609.00,13092780.10,-1
2024-11-20,939.30,981.20,939.30,961.60,0.48,5991.00,5736206.40,1
2024-11-21,942.40,1019.90,942.40,1000.00,3.99,32192.00,32005268.10,1
2024-11-24,1000.00,1012.90,970.00,992.50,-0.75,10328.00,10273328.90,-1
2024-11-25,972.70,997.00,972.70,990.00,-0.25,2890.00,2843445.80,-1
2024-11-26,990.00,1000.00,975.10,998.00,0.81,6339.00,6247081.10,1
2024-11-27,978.10,1060.00,978.10,1035.00,3.71,34433.00,35612678.50,1
2024-11-28,1054.00,1055.00,1010.00,1025.00,-0.97,13325.00,13649350.20,-1
2024-12-01,1004.50,1031.30,995.00,1025.00,0.00,13436.00,13644909.50,0
2024-12-02,1045.50,1110.00,1015.00,1082.00,5.56,32691.00,34801423.90,1
