published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-12-07,151.00,151.00,151.00,151.00,0.00,5100000.00,670293000.00,0
2022-12-08,151.00,151.00,151.00,151.00,0.00,5100000.00,670293000.00,0
2023-04-24,155.00,155.00,155.00,155.00,2.65,5000.00,775000.00,1
2023-06-11,145.00,145.00,145.00,145.00,0.00,510000.00,73950000.00,0
2023-08-02,150.00,150.00,150.00,150.00,3.45,593585.00,89037750.00,1
2023-10-04,147.00,147.00,147.00,147.00,-2.00,17000.00,2499000.00,-1
2023-10-08,149.90,149.90,149.90,149.90,1.97,250000.00,37475000.00,1
2024-05-29,145.00,145.00,145.00,145.00,-3.27,300000.00,43500000.00,-1
2024-10-21,190.00,190.00,190.00,190.00,0.00,118470.00,22509300.00,0
2024-10-23,190.00,190.00,190.00,190.00,0.00,35367.00,6719730.00,0
2025-02-24,167.00,167.00,167.00,167.00,0.00,49050.00,8191350.00,0
2025-07-10,167.00,167.00,167.00,167.00,0.00,68000.00,9928000.00,0
2025-10-12,167.00,167.00,167.00,167.00,0.00,6877.00,962780.00,0
2026-02-26,180.00,180.00,180.00,180.00,-1.64,339484.00,61107120.00,-1
2026-03-01,180.00,180.00,180.00,180.00,-1.64,339484.00,61107120.00,-1
2026-04-09,180.00,180.00,180.00,180.00,0.00,8499.00,1529820.00,0
