published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-29,350.00,350.00,315.00,315.00,-10.00,6459.00,2048915.30,-1
2023-10-30,308.70,308.70,283.50,283.50,-10.00,11557.00,3279301.50,-1
2023-10-31,277.90,277.90,255.20,255.20,-9.98,25109.00,6411443.80,-1
2023-11-01,250.10,250.10,230.00,234.80,-7.99,616775.00,146002225.10,-1
2023-11-02,230.20,244.00,230.20,244.00,3.92,189303.00,44968907.90,1
2023-11-05,244.00,244.00,230.00,237.00,-2.87,119248.00,28198394.60,-1
2023-11-06,232.30,255.00,232.30,244.10,3.00,231101.00,56203116.80,1
2023-11-07,248.40,260.00,244.00,257.00,5.28,232895.00,59283991.50,1
2023-11-08,258.00,275.40,252.20,273.00,6.23,210017.00,56141984.00,1
2023-11-09,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-12,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-13,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-14,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-15,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-16,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-19,273.00,273.00,258.90,259.00,-5.13,290692.00,77086673.40,-1
2023-11-20,253.90,268.00,253.90,263.90,1.89,224086.00,58878560.70,1
2023-11-21,259.00,265.60,255.50,260.50,-1.29,167730.00,43925924.40,-1
2023-11-22,260.00,285.00,257.40,283.00,8.64,392703.00,107603983.00,1
2023-11-23,279.00,294.20,274.00,287.90,1.73,332905.00,95800169.40,1
2023-11-26,287.90,299.00,280.00,293.30,1.88,402121.00,116667260.00,1
2023-11-27,290.00,298.00,285.10,288.00,-1.81,268335.00,77763585.50,-1
2023-11-28,288.00,306.00,285.10,301.20,4.58,283941.00,84998864.10,1
2023-11-29,301.00,312.10,295.10,295.50,-1.89,257788.00,77686776.70,-1
2023-11-30,295.00,302.50,291.10,293.00,-0.85,270044.00,80049401.80,-1
2023-12-03,297.00,300.00,288.00,295.00,0.68,236788.00,69529270.30,1
2023-12-04,293.00,304.50,290.30,300.20,1.76,248193.00,74631723.40,1
2023-12-05,302.00,305.00,292.50,293.50,-2.23,182682.00,54168743.40,-1
2023-12-06,287.70,296.10,287.70,291.00,-0.85,106939.00,31206829.70,-1
2023-12-07,288.10,304.00,288.10,297.00,2.06,310907.00,92761368.70,1
2023-12-10,302.90,320.00,302.90,318.00,7.07,113600.00,35809952.80,1
2023-12-11,320.00,339.90,310.00,328.00,3.14,784650.00,251560607.40,1
2023-12-12,328.00,360.80,328.00,360.80,10.00,429827.00,151029184.80,1
2023-12-13,368.00,381.90,353.00,359.00,-0.50,398398.00,146793156.30,-1
2023-12-14,359.00,373.30,347.00,361.80,0.78,444033.00,160478431.00,1
2023-12-17,354.60,386.00,348.00,383.00,5.86,449066.00,166556737.20,1
2023-12-18,390.60,407.00,377.20,394.00,2.87,521417.00,202846214.40,1
2023-12-19,390.00,433.40,390.00,433.40,10.00,398818.00,167142755.40,1
2023-12-20,440.00,476.70,440.00,476.70,9.99,431356.00,201524391.80,1
2023-12-21,486.20,493.10,451.40,461.00,-3.29,539018.00,254769524.00,-1
2023-12-24,470.20,479.00,430.00,433.00,-6.07,618652.00,281945700.00,-1
2023-12-25,470.20,479.00,430.00,433.00,-6.07,618652.00,281945700.00,-1
2023-12-26,470.20,479.00,430.00,433.00,-6.07,618652.00,281945700.00,-1
2023-12-27,435.00,450.00,399.00,415.10,-4.13,467990.00,196664793.10,-1
2023-12-28,415.10,455.90,409.00,454.10,9.40,328829.00,143837365.40,1
2023-12-31,415.10,455.90,409.00,454.10,9.40,328829.00,143837365.40,1
2024-01-01,463.10,470.00,443.00,456.00,0.42,437027.00,201223136.00,1
2024-01-02,456.00,458.00,437.10,439.00,-3.73,288959.00,128937605.60,-1
2024-01-03,439.00,482.90,438.00,482.90,10.00,570717.00,266391416.30,1
2024-01-04,492.00,529.50,490.00,508.00,5.20,653648.00,334515645.50,1
2024-01-07,518.10,518.10,496.00,498.80,-1.81,557159.00,280056404.10,-1
2024-01-08,496.10,519.00,496.00,506.00,1.44,429578.00,218482880.80,1
2024-01-09,507.00,516.30,490.10,493.00,-2.57,427624.00,214945893.90,-1
2024-01-10,502.00,530.00,496.00,527.30,6.90,634593.00,327891613.30,1
2024-01-11,527.30,540.00,523.00,527.00,-0.06,315907.00,168020994.90,-1
2024-01-14,527.00,545.00,522.30,539.00,2.28,451820.00,240312256.20,1
2024-01-15,527.00,545.00,522.30,539.00,2.28,451820.00,240312256.20,1
2024-01-16,545.00,575.00,536.00,554.00,2.78,506592.00,283155802.40,1
2024-01-17,555.00,565.00,529.20,532.00,-3.97,548790.00,298210092.90,-1
2024-01-18,521.40,521.40,485.00,506.80,-4.74,597489.00,301880434.30,-1
2024-01-21,507.00,507.70,480.00,482.00,-4.89,402920.00,198866544.00,-1
2024-01-22,473.00,493.00,465.00,466.00,-3.32,278908.00,133081404.70,-1
2024-01-23,457.00,494.70,457.00,485.00,4.08,220387.00,106750634.60,1
2024-01-24,478.00,498.00,469.10,469.20,-3.26,171707.00,82686673.50,-1
2024-01-25,460.00,480.00,460.00,468.90,-0.06,147646.00,69614000.30,-1
2024-01-28,468.00,498.00,461.00,483.00,3.01,163270.00,77756230.50,1
2024-01-29,483.00,494.00,479.10,480.00,-0.62,172313.00,83984367.60,-1
2024-01-30,480.00,494.00,475.10,483.10,0.65,189909.00,92816592.00,1
2024-01-31,485.00,489.50,467.80,472.00,-2.30,141737.00,67562957.40,-1
2024-02-01,472.00,473.00,460.80,462.50,-2.01,163831.00,76207892.00,-1
2024-02-04,462.00,467.90,453.60,456.00,-1.41,153335.00,70405416.10,-1
2024-02-05,460.00,466.00,455.90,458.00,0.44,100414.00,46174001.90,1
2024-02-06,458.00,474.30,457.00,472.30,3.12,115612.00,54185771.40,1
2024-02-07,472.30,485.00,471.00,478.00,1.21,122278.00,58665097.10,1
2024-02-08,478.00,482.50,471.40,475.00,-0.63,100767.00,48122928.90,-1
2024-02-11,467.20,482.00,464.00,465.00,-2.11,133334.00,63006503.20,-1
2024-02-12,455.70,465.00,448.90,456.50,-1.83,224063.00,102711728.90,-1
2024-02-13,456.50,460.00,438.60,440.20,-3.57,267921.00,119295585.00,-1
2024-02-14,436.00,449.50,434.00,442.00,0.41,115190.00,51045499.50,1
2024-02-15,442.00,455.00,436.70,442.00,0.00,126919.00,56708663.50,0
2024-02-18,440.00,442.00,427.00,427.10,-3.37,133937.00,58002260.50,-1
2024-02-19,440.00,442.00,427.00,427.10,-3.37,133937.00,58002260.50,-1
2024-02-20,420.00,437.50,420.00,430.20,0.73,105552.00,45520700.50,1
2024-02-21,430.00,438.00,424.00,424.10,-1.42,65581.00,28097972.00,-1
2024-02-22,432.50,432.90,416.50,418.50,-1.32,117543.00,49673348.10,-1
2024-02-25,422.00,424.80,407.00,408.00,-2.51,109305.00,45160457.20,-1
2024-02-26,408.00,440.00,406.10,438.00,7.35,228016.00,97180229.60,1
2024-02-27,446.70,463.00,439.00,451.50,3.08,313295.00,141962690.70,1
2024-02-28,450.00,469.00,444.10,458.50,1.55,277220.00,126965554.30,1
2024-02-29,458.00,465.50,440.00,440.00,-4.03,246724.00,111310346.10,-1
2024-03-03,435.10,460.00,435.10,452.00,2.73,292326.00,132049540.40,1
2024-03-04,461.00,493.00,461.00,490.00,8.41,93087.00,45033239.90,1
2024-03-05,490.00,508.00,470.60,493.80,0.78,850464.00,419122735.40,1
2024-03-06,500.00,519.50,491.00,514.00,4.09,657739.00,333778807.00,1
2024-03-07,520.00,524.20,504.00,506.00,-1.56,262419.00,134142448.10,-1
2024-03-10,509.00,519.00,502.00,507.40,0.28,354331.00,181392713.10,1
2024-03-11,509.00,519.00,502.00,507.40,0.28,354331.00,181392713.10,1
2024-03-12,517.50,532.00,511.00,526.90,3.84,461155.00,240962323.90,1
2024-03-13,529.00,534.00,513.00,517.20,-1.84,395640.00,206983421.90,-1
2024-03-14,517.00,523.00,512.00,514.00,-0.62,314791.00,162434850.10,-1
2024-03-17,516.00,534.50,516.00,529.20,2.96,437072.00,230791973.10,1
2024-03-18,530.00,534.90,518.70,523.00,-1.17,257064.00,134662611.80,-1
2024-03-19,527.00,532.90,506.00,506.00,-3.25,365430.00,188984628.60,-1
2024-03-20,496.00,510.00,490.70,493.00,-2.57,392148.00,195297151.10,-1
2024-03-21,484.00,510.00,484.00,495.10,0.43,255671.00,127719121.70,1
2024-03-24,484.00,510.00,484.00,495.10,0.43,255671.00,127719121.70,1
2024-03-25,504.00,504.00,483.00,484.00,-2.24,165971.00,81323844.50,-1
2024-03-26,484.00,493.60,480.20,487.00,0.62,175877.00,85752871.20,1
2024-03-27,480.00,496.00,480.00,480.00,-1.44,151179.00,73356241.60,-1
2024-03-28,480.00,496.00,475.10,493.90,2.90,229839.00,111853168.70,1
2024-03-31,489.10,495.00,477.00,477.10,-3.40,186009.00,89955466.20,-1
2024-04-01,477.10,486.00,473.00,477.00,-0.02,113594.00,54466431.10,-1
2024-04-02,484.90,484.90,469.30,469.30,-1.61,94878.00,44857461.60,-1
2024-04-03,469.00,477.00,460.60,462.00,-1.56,127686.00,59264414.10,-1
2024-04-04,462.00,466.00,454.00,455.50,-1.41,131463.00,60293853.50,-1
2024-04-07,455.00,477.00,451.10,475.00,4.28,131285.00,61442894.90,1
2024-04-08,455.00,477.00,451.10,475.00,4.28,131285.00,61442894.90,1
2024-04-09,475.00,481.00,463.30,465.00,-2.11,137538.00,64689140.80,-1
2024-04-10,461.00,469.90,456.00,456.80,-1.76,114282.00,52557006.40,-1
2024-04-11,461.00,469.90,456.00,456.80,-1.76,114282.00,52557006.40,-1
2024-04-14,456.00,464.00,453.00,453.00,-0.83,74958.00,34275716.20,-1
2024-04-15,451.00,458.00,445.00,448.00,-1.10,81434.00,36651856.00,-1
2024-04-16,448.00,452.50,443.20,445.00,-0.67,62907.00,28200710.20,-1
2024-04-17,448.00,452.50,443.20,445.00,-0.67,62907.00,28200710.20,-1
2024-04-18,445.00,445.00,435.30,439.00,-1.35,73909.00,32443042.80,-1
2024-04-21,445.00,464.50,436.10,458.10,4.35,116323.00,52653384.70,1
2024-04-22,459.00,465.00,446.00,447.00,-2.42,107638.00,48905800.40,-1
2024-04-23,459.00,465.00,446.00,447.00,-2.42,107638.00,48905800.40,-1
2024-04-24,442.30,455.00,442.30,447.00,0.00,58052.00,26064687.50,0
2024-04-25,440.10,454.00,440.10,443.20,-0.85,69948.00,31157009.70,-1
2024-04-28,452.00,453.00,444.30,450.00,1.53,93802.00,42093712.20,1
2024-04-29,448.30,454.00,445.00,445.10,-1.09,59515.00,26659124.80,-1
2024-04-30,454.00,459.60,442.10,454.90,2.20,122903.00,55642297.00,1
2024-05-01,454.00,459.60,442.10,454.90,2.20,122903.00,55642297.00,1
2024-05-02,454.00,459.90,445.00,445.00,-2.18,105978.00,47790383.00,-1
2024-05-05,441.00,450.00,439.00,440.00,-1.12,83740.00,37002619.40,-1
2024-05-06,440.00,448.00,437.00,437.60,-0.55,72058.00,31806882.40,-1
2024-05-07,438.00,446.50,435.90,436.20,-0.32,45443.00,19940463.90,-1
2024-05-08,435.10,440.00,430.00,431.00,-1.19,54165.00,23447470.60,-1
2024-05-09,432.00,442.30,432.00,435.70,1.09,80706.00,35193593.10,1
2024-05-12,430.00,454.00,422.10,443.60,1.81,182472.00,80578009.90,1
2024-05-13,443.60,446.10,436.00,440.00,-0.81,62351.00,27435635.90,-1
2024-05-14,436.60,445.00,436.60,440.00,0.00,75003.00,33081025.10,0
2024-05-15,436.00,459.00,436.00,448.00,1.82,173303.00,78282275.70,1
2024-05-16,448.00,455.30,443.10,446.20,-0.40,106284.00,47855902.20,-1
2024-05-19,450.00,469.00,442.00,461.90,3.52,202023.00,93104594.80,1
2024-05-20,471.10,472.70,450.00,457.00,-1.06,160450.00,74020617.60,-1
2024-05-21,450.00,464.20,450.00,461.00,0.88,94630.00,43414602.80,1
2024-05-22,470.20,470.20,456.00,460.00,-0.22,119954.00,55315071.00,-1
2024-05-23,470.20,470.20,456.00,460.00,-0.22,119954.00,55315071.00,-1
2024-05-26,457.50,463.90,450.80,454.00,-1.30,120483.00,55020517.10,-1
2024-05-27,448.00,470.00,448.00,461.00,1.54,135238.00,62523612.60,1
2024-05-28,448.00,470.00,448.00,461.00,1.54,135238.00,62523612.60,1
2024-05-29,470.20,479.00,455.70,456.10,-1.06,154506.00,71316591.70,-1
2024-05-30,461.90,461.90,447.00,450.00,-1.34,93183.00,42195483.20,-1
2024-06-02,448.00,459.90,445.00,445.30,-1.04,67026.00,30143046.80,-1
2024-06-03,445.00,449.90,441.10,445.00,-0.07,90037.00,40126573.30,-1
2024-06-04,445.00,449.50,440.00,445.90,0.20,61824.00,27587756.80,1
2024-06-05,443.00,448.00,440.00,440.20,-1.28,86225.00,38125599.10,-1
2024-06-06,440.30,446.00,437.00,441.00,0.18,92637.00,40901881.20,1
2024-06-09,441.00,448.00,440.00,441.00,0.00,78208.00,34668001.60,0
2024-06-10,444.00,449.60,439.30,442.70,0.39,81217.00,36106870.40,1
2024-06-11,444.20,454.40,443.50,451.00,1.87,99920.00,44889418.50,1
2024-06-12,460.00,472.00,445.00,465.20,3.15,301612.00,140314760.70,1
2024-06-13,474.50,474.50,456.00,456.00,-1.98,122736.00,56634206.40,-1
2024-06-16,456.00,468.00,450.10,451.00,-1.10,95947.00,43863590.40,-1
2024-06-17,456.00,468.00,450.10,451.00,-1.10,95947.00,43863590.40,-1
2024-06-18,460.00,460.00,444.00,445.00,-1.33,66259.00,29627563.30,-1
2024-06-19,445.00,450.00,442.00,446.00,0.22,51601.00,22990716.20,1
2024-06-20,454.00,454.00,442.10,443.80,-0.49,57734.00,25635698.00,-1
2024-06-23,440.00,450.00,438.00,439.00,-1.08,92490.00,40842412.80,-1
2024-06-24,435.00,446.40,434.10,437.30,-0.39,56748.00,24960553.70,-1
2024-06-25,435.00,448.00,435.00,438.20,0.21,57747.00,25496016.50,1
2024-06-26,439.00,444.00,433.90,434.00,-0.96,57605.00,25161914.50,-1
2024-06-27,432.10,439.50,429.10,430.00,-0.92,86154.00,37193777.60,-1
2024-06-30,431.00,434.90,430.00,431.00,0.23,53867.00,23251329.90,1
2024-07-01,431.00,437.00,428.00,434.10,0.72,26325.00,11423236.90,1
2024-07-02,442.70,461.00,439.00,441.10,1.61,63326.00,28194469.40,1
2024-07-03,441.00,445.00,437.00,444.00,0.66,50078.00,22097780.90,1
2024-07-04,440.20,457.00,439.00,444.10,0.02,91945.00,40923305.20,1
2024-07-07,450.00,457.00,445.20,451.00,1.55,105583.00,47729192.00,1
2024-07-08,452.00,458.00,446.50,448.00,-0.67,64751.00,29167711.60,-1
2024-07-09,456.90,456.90,445.30,450.00,0.45,52667.00,23640860.70,1
2024-07-10,446.10,454.90,446.10,448.20,-0.40,86243.00,38754929.30,-1
2024-07-11,457.10,457.10,448.30,450.00,0.40,119313.00,53824843.90,1
2024-07-14,459.00,470.00,451.00,463.00,2.89,152171.00,70139656.70,1
2024-07-15,470.00,472.00,456.00,456.10,-1.49,165354.00,76527715.30,-1
2024-07-16,451.50,485.00,451.50,484.80,6.29,207132.00,98053300.00,1
2024-07-17,485.00,509.90,485.00,506.00,4.37,405316.00,203539648.20,1
2024-07-18,507.00,510.00,497.00,498.00,-1.58,334085.00,168082171.00,-1
2024-07-21,507.90,526.00,491.00,510.00,2.41,391287.00,198462646.80,1
2024-07-22,515.00,524.70,506.00,512.10,0.41,317061.00,163710378.90,1
2024-07-23,514.50,535.00,510.20,534.00,4.28,299381.00,157740274.20,1
2024-07-24,544.60,544.60,510.00,518.90,-2.83,372893.00,193891575.80,-1
2024-07-25,512.00,520.00,502.30,506.00,-2.49,214279.00,109193169.90,-1
2024-07-28,516.10,530.00,507.00,513.00,1.38,240977.00,124048583.60,1
2024-07-29,523.20,544.00,510.00,520.00,1.36,439517.00,231944718.20,1
2024-07-30,520.00,538.00,516.10,529.90,1.90,319431.00,168415812.20,1
2024-07-31,525.00,571.00,525.00,559.50,5.59,459923.00,255429705.10,1
2024-08-01,560.00,569.00,534.00,543.00,-2.95,435811.00,241045755.80,-1
2024-08-04,560.00,569.00,534.00,543.00,-2.95,435811.00,241045755.80,-1
2024-08-05,543.00,557.00,534.20,546.00,0.55,287966.00,156996059.00,1
2024-08-06,546.00,556.00,507.00,508.00,-6.96,371950.00,196841636.90,-1
2024-08-07,497.90,531.00,497.90,524.00,3.15,229354.00,119699807.20,1
2024-08-08,523.00,576.40,515.00,576.40,10.00,824167.00,458711134.50,1
2024-08-11,587.90,624.00,584.00,597.00,3.57,870835.00,523909081.60,1
2024-08-12,597.00,603.00,581.00,598.00,0.17,577427.00,342629105.50,1
2024-08-13,595.00,608.00,580.00,585.00,-2.17,308976.00,182707819.90,-1
2024-08-14,585.00,608.00,565.00,599.00,2.39,448512.00,262805909.60,1
2024-08-15,587.10,600.00,575.00,575.00,-4.01,457745.00,269229380.10,-1
2024-08-18,575.00,579.90,545.20,550.00,-4.35,321603.00,180792804.40,-1
2024-08-19,575.00,579.90,545.20,550.00,-4.35,321603.00,180792804.40,-1
2024-08-20,575.00,579.90,545.20,550.00,-4.35,321603.00,180792804.40,-1
2024-08-21,550.00,560.00,545.00,548.00,-0.36,217771.00,120115416.80,-1
2024-08-22,548.00,577.00,548.00,555.90,1.44,215524.00,121273164.40,1
2024-08-25,555.90,569.00,543.90,548.00,-1.42,230402.00,127829036.40,-1
2024-08-26,555.90,569.00,543.90,548.00,-1.42,230402.00,127829036.40,-1
2024-08-27,537.10,555.00,521.00,525.10,-4.18,223758.00,120405137.60,-1
2024-08-28,525.10,546.00,514.60,521.00,-0.78,135566.00,71795875.20,-1
2024-08-29,521.00,528.00,511.00,511.00,-1.92,144206.00,74710113.20,-1
2024-09-01,515.00,527.00,499.00,501.00,-1.96,113631.00,57763870.30,-1
2024-09-02,501.00,530.00,500.00,525.00,4.79,106616.00,55137076.60,1
2024-09-03,535.50,535.50,516.10,519.00,-1.14,115557.00,60506559.70,-1
2024-09-04,520.00,528.00,496.00,497.00,-4.24,116042.00,58710086.50,-1
2024-09-05,495.00,505.00,485.10,490.00,-1.41,103270.00,50808945.90,-1
2024-09-08,499.00,502.00,488.00,488.00,-0.41,84867.00,41943942.40,-1
2024-09-09,495.00,497.00,475.40,478.00,-2.05,114055.00,54871720.30,-1
2024-09-10,480.00,495.00,480.00,481.00,0.63,75728.00,36722828.80,1
2024-09-11,481.10,487.00,475.50,475.50,-1.14,54992.00,26483277.00,-1
2024-09-12,475.00,488.00,475.00,488.00,2.63,57898.00,27902700.80,1
2024-09-15,478.30,498.00,472.00,475.00,-2.66,87091.00,42239813.30,-1
2024-09-16,475.00,475.00,460.20,460.50,-3.05,74732.00,34849412.50,-1
2024-09-17,475.00,475.00,460.20,460.50,-3.05,74732.00,34849412.50,-1
2024-09-18,460.00,469.70,454.00,455.30,-1.13,51572.00,23670442.00,-1
2024-09-19,460.00,469.70,454.00,455.30,-1.13,51572.00,23670442.00,-1
2024-09-22,464.00,473.00,453.00,458.00,0.59,45699.00,21013073.70,1
2024-09-23,460.10,460.10,442.00,443.00,-3.28,59972.00,26898489.50,-1
2024-09-24,441.30,450.00,433.00,434.90,-1.83,50882.00,22332099.70,-1
2024-09-25,434.90,445.00,426.60,441.30,1.47,52698.00,23059252.00,1
2024-09-26,445.00,446.70,432.00,432.10,-2.08,57261.00,25036678.90,-1
2024-09-29,431.30,460.00,425.00,450.00,4.14,90019.00,40274830.80,1
2024-09-30,457.00,491.00,452.20,491.00,9.11,179518.00,85743568.10,1
2024-10-01,500.80,503.00,488.20,497.00,1.22,150563.00,74559825.00,1
2024-10-02,497.00,498.00,476.00,480.00,-3.42,136028.00,65847908.80,-1
2024-10-03,497.00,498.00,476.00,480.00,-3.42,136028.00,65847908.80,-1
2024-10-06,485.00,500.00,475.00,496.00,3.33,110382.00,54540299.50,1
2024-10-07,496.00,502.90,488.00,488.80,-1.45,70779.00,35002991.90,-1
2024-10-08,489.00,489.50,475.00,476.30,-2.56,51900.00,24917683.60,-1
2024-10-09,477.00,482.90,470.00,476.00,-0.06,40701.00,19373997.70,-1
2024-10-10,477.00,482.90,470.00,476.00,-0.06,40701.00,19373997.70,-1
2024-10-13,477.00,482.90,470.00,476.00,-0.06,40701.00,19373997.70,-1
2024-10-14,477.00,482.90,470.00,476.00,-0.06,40701.00,19373997.70,-1
2024-10-15,476.00,485.00,472.00,483.30,1.53,27505.00,13194047.70,1
2024-10-16,484.00,500.00,482.00,493.00,2.01,68921.00,34094923.00,1
2024-10-17,500.00,517.40,490.00,504.00,2.23,158570.00,80554437.50,1
2024-10-20,494.10,503.80,478.00,485.00,-3.77,118214.00,58154410.10,-1
2024-10-21,480.00,489.00,472.00,472.30,-2.62,71178.00,33967683.50,-1
