published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-25,296.30,320.50,296.30,320.50,8.17,57.00,17539.10,1
2021-11-26,296.30,320.50,296.30,320.50,8.17,57.00,17539.10,1
2021-11-29,353.70,381.40,353.70,381.40,9.98,67.00,24651.70,1
2021-11-30,389.00,419.50,389.00,419.50,9.99,70.00,28476.00,1
2021-12-01,427.80,461.40,427.80,461.40,9.99,160.00,72941.20,1
2021-12-02,470.60,507.50,470.60,507.50,9.99,700.00,354345.00,1
2021-12-03,470.60,507.50,470.60,507.50,9.99,700.00,354345.00,1
2021-12-06,510.00,510.00,455.00,500.00,0.00,10801.00,5089838.00,0
2021-12-07,510.00,519.00,471.60,475.00,-5.00,6274.00,3065806.00,-1
2021-12-08,467.00,467.00,427.50,441.00,-7.16,8150.00,3584326.00,-1
2021-12-09,432.30,440.00,418.50,425.00,-3.63,5381.00,2286022.40,-1
2021-12-10,432.30,440.00,418.50,425.00,-3.63,5381.00,2286022.40,-1
2021-12-13,386.00,386.00,354.00,367.00,-6.62,2565.00,947056.00,-1
2021-12-14,369.00,403.70,369.00,403.70,10.00,2640.00,1036305.00,1
2021-12-15,411.70,444.00,406.80,444.00,9.98,9896.00,4164791.00,1
2021-12-16,452.80,478.00,413.00,433.20,-2.43,4185.00,1838720.00,-1
2021-12-17,452.80,478.00,413.00,433.20,-2.43,4185.00,1838720.00,-1
2021-12-20,431.00,433.00,403.00,426.80,-1.48,3300.00,1362389.00,-1
2021-12-21,420.00,434.00,416.00,425.00,-0.42,2925.00,1231881.00,-1
2021-12-22,425.00,458.00,425.00,458.00,7.76,2975.00,1290767.00,1
2021-12-23,448.90,483.90,432.00,436.00,-4.80,3053.00,1358852.00,-1
2021-12-24,448.90,483.90,432.00,436.00,-4.80,3053.00,1358852.00,-1
2021-12-27,460.00,500.00,437.00,497.00,5.92,6118.00,2754088.60,1
2021-12-28,488.00,488.00,452.00,467.00,-6.04,1750.00,805222.00,-1
2021-12-29,457.70,457.70,442.00,457.00,-2.14,2218.00,996022.80,-1
2021-12-30,457.70,457.70,442.00,457.00,-2.14,2218.00,996022.80,-1
2021-12-31,457.70,457.70,442.00,457.00,-2.14,2218.00,996022.80,-1
2022-01-03,444.00,452.80,431.20,444.00,-1.33,2658.00,1171428.00,-1
2022-01-04,440.00,450.00,438.10,440.00,-0.90,2795.00,1238350.00,-1
2022-01-05,433.00,461.00,433.00,449.00,2.05,6134.00,2746149.00,1
2022-01-06,441.00,460.00,433.20,460.00,2.45,4320.00,1934114.00,1
2022-01-07,441.00,460.00,433.20,460.00,2.45,4320.00,1934114.00,1
2022-01-10,478.00,487.50,460.60,482.50,1.15,5537.00,2630780.00,1
2022-01-11,483.00,494.00,473.00,490.00,1.55,4209.00,2044088.00,1
2022-01-12,490.00,529.00,481.30,516.00,5.31,15164.00,7664193.00,1
2022-01-13,522.90,530.00,506.00,526.00,1.94,6682.00,3462993.00,1
2022-01-14,522.90,530.00,506.00,526.00,1.94,6682.00,3462993.00,1
2022-01-17,545.00,593.00,545.00,593.00,7.04,16925.00,9566105.50,1
2022-01-18,590.00,649.30,584.00,649.30,9.49,18009.00,10873677.80,1
2022-01-19,640.00,714.00,615.00,714.00,9.96,17399.00,11071333.50,1
2022-01-20,700.00,745.00,672.30,732.00,2.52,20034.00,14017860.00,1
2022-01-21,700.00,745.00,672.30,732.00,2.52,20034.00,14017860.00,1
2022-01-24,669.40,669.40,625.00,636.00,-6.88,14888.00,9651623.20,-1
2022-01-25,624.00,661.60,613.00,661.60,4.03,6585.00,4212254.00,1
2022-01-26,648.40,663.00,632.30,663.00,0.21,6553.00,4243178.20,1
2022-01-27,649.80,703.00,640.00,660.00,-0.45,10443.00,6941802.80,-1
2022-01-28,649.80,703.00,640.00,660.00,-0.45,10443.00,6941802.80,-1
2022-01-31,690.00,690.00,670.00,679.00,-2.02,3110.00,2111231.00,-1
