published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-20,1019.60,1019.60,999.30,999.30,-3.95,20.00,20189.00,-1
2021-12-22,999.00,999.00,999.00,999.00,-0.03,700.00,699300.00,-1
2021-12-27,1018.90,1018.90,1018.90,1018.90,1.99,75.00,76417.50,1
2021-12-28,1020.00,1020.00,1020.00,1020.00,0.11,120.00,122400.00,1
2021-12-29,1010.00,1010.00,1010.00,1010.00,-0.98,50.00,50500.00,-1
2021-12-30,1010.00,1010.00,1010.00,1010.00,-0.98,50.00,50500.00,-1
2021-12-31,1010.00,1010.00,1010.00,1010.00,-0.98,50.00,50500.00,-1
2022-01-04,1010.00,1010.00,1010.00,1010.00,0.00,100.00,101000.00,0
2022-01-05,1010.00,1010.00,1010.00,1010.00,0.00,25.00,25250.00,0
2022-01-06,1025.00,1025.00,1025.00,1025.00,1.49,100.00,102500.00,1
2022-01-07,1025.00,1025.00,1025.00,1025.00,1.49,100.00,102500.00,1
2022-01-17,986.10,986.10,986.00,986.00,-1.84,250.00,246505.00,-1
2022-01-25,967.30,967.30,966.40,966.40,-1.99,200.00,193326.50,-1
2022-01-26,985.70,985.70,968.30,968.30,0.20,35.00,34064.50,1
2022-02-08,987.60,987.60,987.60,987.60,0.00,25.00,24690.00,0
2022-02-16,988.00,988.00,988.00,988.00,0.04,335.00,330980.00,1
2022-02-24,965.30,965.30,965.30,965.30,-2.00,25.00,24132.50,-1
2022-02-25,965.30,965.30,965.30,965.30,-2.00,25.00,24132.50,-1
2022-03-16,951.00,951.00,951.00,951.00,-0.42,400.00,380400.00,-1
2022-03-17,951.00,951.00,951.00,951.00,-0.42,400.00,380400.00,-1
2022-03-18,951.00,951.00,951.00,951.00,-0.42,400.00,380400.00,-1
2022-03-21,952.00,952.00,951.00,951.00,0.00,800.00,761100.00,0
2022-03-22,951.00,951.00,951.00,951.00,0.00,350.00,332850.00,0
2022-03-23,970.00,989.40,970.00,989.40,4.04,100.00,97960.00,1
2022-03-28,989.40,989.40,975.00,975.00,-1.46,625.00,618015.00,-1
2022-04-04,975.00,975.00,975.00,975.00,0.00,200.00,195000.00,0
2022-04-06,975.00,975.00,975.00,975.00,0.00,425.00,414375.00,0
2022-04-11,955.50,955.50,955.50,955.50,-2.00,50.00,47775.00,-1
2022-06-14,942.90,942.90,936.50,936.50,-1.99,100.00,93980.00,-1
2022-06-23,935.50,935.50,935.10,935.10,-0.15,250.00,233791.00,-1
2022-07-13,920.40,920.40,920.30,920.30,-1.58,200.00,184062.50,-1
2022-07-15,938.70,957.40,938.70,957.40,4.03,20.00,18961.00,1
2022-07-19,938.30,938.30,920.00,920.00,-3.91,60.00,55383.00,-1
2022-07-20,903.00,903.00,902.10,902.10,-1.95,265.00,239101.50,-1
2022-07-27,904.60,904.60,904.60,904.60,0.28,15.00,13569.00,1
2022-08-02,905.70,905.70,905.70,905.70,0.12,25.00,22642.50,1
2022-08-09,923.80,923.80,923.80,923.80,2.00,10.00,9238.00,1
2022-08-14,932.00,932.00,932.00,932.00,0.89,600.00,559200.00,1
2022-08-31,930.00,930.00,930.00,930.00,-0.21,200.00,186000.00,-1
2022-09-01,930.00,930.00,930.00,930.00,0.00,125.00,116250.00,0
2022-09-06,930.10,930.10,930.10,930.10,0.01,150.00,139515.00,1
2022-09-08,935.00,935.00,935.00,935.00,0.53,300.00,280500.00,1
2022-09-09,935.00,935.00,935.00,935.00,0.53,300.00,280500.00,1
2022-09-11,935.00,935.00,935.00,935.00,0.00,250.00,233750.00,0
2022-09-12,934.00,934.00,934.00,934.00,-0.11,1329.00,1241286.00,-1
2022-09-16,934.00,934.00,934.00,934.00,0.00,100.00,93400.00,0
2022-09-25,930.10,930.10,930.10,930.10,-0.42,275.00,255777.50,-1
2022-09-26,930.10,930.10,930.10,930.10,-0.42,275.00,255777.50,-1
2022-11-29,915.00,915.00,910.00,910.00,-2.16,1000.00,912500.00,-1
2022-12-01,916.00,916.00,916.00,916.00,0.66,210.00,192360.00,1
2022-12-04,914.50,914.50,914.50,914.50,-0.16,1000.00,914500.00,-1
2023-01-29,900.00,900.00,900.00,900.00,-1.59,20.00,18000.00,-1
2023-02-06,890.00,890.00,890.00,890.00,-1.11,25.00,22250.00,-1
2023-02-15,880.00,880.00,880.00,880.00,-1.12,25.00,22000.00,-1
2023-02-22,870.00,870.00,870.00,870.00,-1.14,25.00,21750.00,-1
2023-03-01,861.30,861.30,861.20,861.20,-1.01,75.00,64592.50,-1
2023-03-07,866.20,866.20,866.20,866.20,0.58,25.00,21655.00,1
2023-03-08,866.20,866.20,866.20,866.20,0.58,25.00,21655.00,1
2023-04-19,891.50,891.50,891.50,891.50,1.99,30.00,26745.00,1
2023-05-28,909.30,910.10,909.30,909.30,2.00,910.00,828005.00,1
2023-05-29,909.30,910.10,909.30,909.30,2.00,910.00,828005.00,1
2023-06-01,925.00,945.50,925.00,945.50,3.98,325.00,301537.50,1
2023-06-11,932.00,932.00,932.00,932.00,-1.43,25.00,23300.00,-1
2023-06-12,945.50,945.50,945.50,945.50,1.45,50.00,47275.00,1
2023-06-21,950.00,950.00,950.00,950.00,0.48,50.00,47500.00,1
2023-07-06,945.00,945.00,931.30,940.00,-1.05,525.00,492110.50,-1
2023-07-09,958.80,1017.20,958.80,1017.20,8.21,70.00,70026.00,1
2023-07-10,1017.00,1037.50,1017.00,1037.50,2.00,300.00,306875.00,1
2023-07-11,1056.00,1056.00,1056.00,1056.00,1.78,10.00,10560.00,1
2023-07-13,1070.00,1070.00,1070.00,1070.00,1.33,10.00,10700.00,1
2023-07-27,1048.60,1070.00,1048.60,1070.00,0.00,3405.00,3636609.00,0
2023-11-22,1048.60,1048.60,1027.70,1027.70,-3.95,75.00,77600.00,-1
2023-11-23,1007.20,1025.00,1007.20,1025.00,-0.26,200.00,203217.50,-1
2023-12-04,1004.50,1004.50,1004.50,1004.50,-2.00,25.00,25112.50,-1
2023-12-11,1000.00,1000.00,998.00,998.10,-0.64,100.00,99865.00,-1
2023-12-14,998.00,998.00,998.00,998.00,-0.01,50.00,49900.00,-1
2023-12-18,990.00,990.00,986.20,986.20,-1.18,509.00,502051.80,-1
2023-12-19,985.10,1010.00,985.10,1010.00,2.41,11385.00,11498227.50,1
2023-12-24,990.00,990.00,990.00,990.00,-1.98,25.00,24750.00,-1
2023-12-25,990.00,990.00,990.00,990.00,-1.98,25.00,24750.00,-1
2023-12-26,990.00,990.00,990.00,990.00,-1.98,25.00,24750.00,-1
2024-01-11,1009.80,1009.80,1009.80,1009.80,2.00,25.00,25245.00,1
2024-01-14,1029.00,1029.00,1029.00,1029.00,1.90,10.00,10290.00,1
2024-01-15,1029.00,1029.00,1029.00,1029.00,1.90,10.00,10290.00,1
2024-01-30,1008.50,1008.50,989.00,989.00,-3.89,130.00,128765.00,-1
2024-01-31,980.00,980.00,938.00,965.20,-2.41,1633.00,1575572.30,-1
2024-02-01,984.50,1004.00,984.50,999.00,3.50,236.00,234679.50,1
2024-02-04,999.00,1000.10,999.00,1000.10,0.11,630.00,629508.00,1
2024-02-05,1005.00,1005.00,1005.00,1005.00,0.49,200.00,201000.00,1
2024-02-18,1000.00,1000.20,1000.00,1000.20,-0.48,45.00,45004.00,-1
2024-02-19,1000.00,1000.20,1000.00,1000.20,-0.48,45.00,45004.00,-1
2024-02-22,1000.50,1000.50,1000.50,1000.50,0.03,10.00,10005.00,1
2024-02-27,1018.00,1019.50,1018.00,1019.50,1.90,140.00,142640.00,1
2024-03-10,1005.10,1005.10,1005.10,1005.10,-1.41,25.00,25127.50,-1
2024-03-11,1005.10,1005.10,1005.10,1005.10,-1.41,25.00,25127.50,-1
2024-03-13,1025.00,1025.00,1025.00,1025.00,1.98,50.00,51250.00,1
2024-03-14,1021.00,1021.00,1021.00,1021.00,-0.39,50.00,51050.00,-1
2024-03-17,1010.10,1025.00,1010.10,1025.00,0.39,1275.00,1288440.00,1
2024-04-01,1015.00,1015.00,1015.00,1015.00,-0.98,200.00,203000.00,-1
2024-04-07,1010.00,1010.00,1010.00,1010.00,-0.49,50.00,50500.00,-1
2024-04-08,1010.00,1010.00,1010.00,1010.00,-0.49,50.00,50500.00,-1
2024-04-14,1030.00,1030.00,1030.00,1030.00,1.98,10.00,10300.00,1
2024-05-06,1045.00,1045.00,1045.00,1045.00,1.46,75.00,78375.00,1
2024-05-07,1045.00,1045.00,1045.00,1045.00,0.00,25.00,26125.00,0
2024-05-08,1040.00,1040.00,1040.00,1040.00,-0.48,100.00,104000.00,-1
2024-05-12,1040.00,1040.00,1040.00,1040.00,0.00,20.00,20800.00,0
2024-05-15,1040.00,1040.00,1040.00,1040.00,0.00,200.00,208000.00,0
2024-05-16,1040.00,1040.00,1040.00,1040.00,0.00,100.00,104000.00,0
2024-05-21,1045.00,1045.00,1045.00,1045.00,0.48,25.00,26125.00,1
2024-05-22,1040.00,1040.00,1040.00,1040.00,-0.48,25.00,26000.00,-1
2024-05-23,1040.00,1040.00,1040.00,1040.00,-0.48,25.00,26000.00,-1
2024-05-27,1040.00,1040.00,1040.00,1040.00,0.00,50.00,52000.00,0
2024-05-28,1040.00,1040.00,1040.00,1040.00,0.00,50.00,52000.00,0
2024-05-30,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-06-11,1060.00,1060.00,1060.00,1060.00,1.92,25.00,26500.00,1
2024-07-02,1050.00,1050.00,1050.00,1050.00,-0.94,5000.00,5250000.00,-1
2024-07-07,1060.00,1060.00,1060.00,1060.00,0.95,5000.00,5300000.00,1
2024-07-08,1081.00,1081.00,1081.00,1081.00,1.98,10.00,10810.00,1
2024-07-09,1063.00,1063.00,1063.00,1063.00,-1.67,20.00,21260.00,-1
2024-07-11,1080.00,1080.00,1080.00,1080.00,1.60,30.00,32400.00,1
2024-07-15,1101.00,1101.00,1101.00,1101.00,1.94,10.00,11010.00,1
2024-07-24,1079.00,1079.00,1079.00,1079.00,-2.00,200.00,215800.00,-1
2024-08-01,1058.00,1058.00,1040.00,1040.00,-3.61,50.00,52450.00,-1
2024-08-04,1058.00,1058.00,1040.00,1040.00,-3.61,50.00,52450.00,-1
2024-08-05,1025.00,1025.00,1025.00,1025.00,-1.44,34.00,34985.00,-1
2024-08-07,1030.00,1030.00,1027.10,1027.10,0.20,50.00,51427.50,1
2024-08-08,1030.00,1046.00,1030.00,1046.00,1.84,200.00,207600.00,1
2024-08-12,1030.10,1030.10,1030.10,1030.10,-1.52,30.00,30903.00,-1
2024-08-13,1030.00,1045.00,1030.00,1040.00,0.96,165.00,171175.00,1
2024-08-14,1040.00,1041.00,1040.00,1040.00,0.00,275.00,286200.00,0
2024-08-15,1028.00,1028.00,1028.00,1028.00,-1.15,300.00,308400.00,-1
2024-08-18,1030.00,1030.00,1030.00,1030.00,0.19,80.00,82400.00,1
2024-08-19,1030.00,1030.00,1030.00,1030.00,0.19,80.00,82400.00,1
2024-08-20,1030.00,1030.00,1030.00,1030.00,0.19,80.00,82400.00,1
2024-08-21,1028.00,1028.00,1026.00,1026.00,-0.39,100.00,102652.50,-1
2024-08-22,1036.00,1036.00,1032.10,1032.10,0.59,490.00,506740.50,1
2024-08-27,1032.10,1032.10,1032.10,1032.10,1.25,9.00,9405.00,1
2024-08-29,1035.00,1035.00,1035.00,1035.00,0.28,50.00,51750.00,1
2024-09-02,1036.00,1036.00,1035.00,1035.00,0.00,1500.00,1552700.00,0
2024-09-04,1037.00,1037.00,1036.00,1036.00,0.10,240.00,248692.50,1
2024-09-10,1039.10,1039.10,1039.10,1039.10,0.30,25.00,25977.50,1
2024-09-11,1039.10,1039.10,1039.10,1039.10,0.29,9.00,9378.90,1
2024-09-22,1062.00,1062.00,1062.00,1062.00,1.91,10.00,10620.00,1
2024-09-23,1050.00,1050.00,1050.00,1050.00,-1.13,150.00,157500.00,-1
2024-09-24,1069.00,1082.00,1069.00,1082.00,3.05,960.00,1033037.50,1
2024-09-29,1063.00,1063.00,1063.00,1063.00,-1.76,25.00,26575.00,-1
2024-09-30,1053.50,1055.00,1053.00,1053.00,-0.94,420.00,442432.50,-1
2024-10-02,1055.00,1055.60,1050.50,1050.80,-0.21,905.00,952369.50,-1
2024-10-03,1055.00,1055.60,1050.50,1050.80,-0.21,905.00,952369.50,-1
2024-10-08,1052.10,1052.10,1052.10,1052.10,0.12,25.00,26302.50,1
2024-10-15,1073.10,1073.10,1073.10,1073.10,2.00,25.00,26827.50,1
2024-10-21,1075.00,1075.00,1075.00,1075.00,0.18,200.00,215000.00,1
2024-10-23,1065.00,1065.00,1065.00,1065.00,-0.93,275.00,292875.00,-1
