published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,1000.00,1000.00,1000.00,1000.00,-1.67,50.00,50000.00,-1
2021-11-09,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2021-11-10,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2021-11-25,1001.00,1001.00,1001.00,1001.00,0.10,25.00,25025.00,1
2021-11-26,1001.00,1001.00,1001.00,1001.00,0.10,25.00,25025.00,1
2021-12-02,1000.00,1000.00,1000.00,1000.00,0.00,125.00,125000.00,0
2021-12-03,1000.00,1000.00,1000.00,1000.00,0.00,125.00,125000.00,0
2021-12-06,1000.00,1000.00,1000.00,1000.00,0.00,100.00,100000.00,0
2021-12-08,1000.00,1000.00,1000.00,1000.00,0.00,50.00,50000.00,0
2021-12-09,1000.00,1000.00,1000.00,1000.00,0.00,96.00,96000.00,0
2021-12-10,1000.00,1000.00,1000.00,1000.00,0.00,96.00,96000.00,0
2021-12-22,1000.00,1000.00,1000.00,1000.00,0.00,72.00,72000.00,0
2021-12-23,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2021-12-24,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2022-01-11,1005.00,1025.00,1005.00,1025.00,2.50,50.00,50750.00,1
2022-01-13,1025.00,1025.00,1025.00,1025.00,0.00,45.00,46125.00,0
2022-01-14,1025.00,1025.00,1025.00,1025.00,0.00,45.00,46125.00,0
2022-01-19,1015.00,1015.00,1015.00,1015.00,-0.98,1000.00,1015000.00,-1
2022-01-20,1000.00,1000.00,1000.00,1000.00,-1.48,632.00,632000.00,-1
2022-01-21,1000.00,1000.00,1000.00,1000.00,-1.48,632.00,632000.00,-1
2022-01-24,1000.00,1000.00,1000.00,1000.00,0.00,368.00,368000.00,0
2022-01-26,980.00,980.00,980.00,980.00,-2.00,25.00,24500.00,-1
2022-02-07,989.00,989.00,989.00,989.00,0.92,27.00,26703.00,1
2022-02-16,989.00,989.00,989.00,989.00,0.00,25.00,24725.00,0
2022-03-07,980.00,980.00,975.00,975.00,-0.51,300.00,293000.00,-1
2022-03-08,980.00,980.00,975.00,975.00,-0.51,300.00,293000.00,-1
2022-03-09,960.00,960.00,960.00,960.00,-1.54,100.00,96000.00,-1
2022-03-16,950.00,950.00,950.00,950.00,0.00,25.00,23750.00,0
2022-03-17,950.00,950.00,950.00,950.00,0.00,25.00,23750.00,0
2022-03-18,950.00,950.00,950.00,950.00,0.00,25.00,23750.00,0
2022-03-31,934.60,934.60,934.50,934.50,-1.63,50.00,46727.50,-1
2022-04-01,934.60,934.60,934.50,934.50,-1.63,50.00,46727.50,-1
2022-04-12,953.10,953.10,953.10,953.10,1.99,25.00,23827.50,1
2022-04-25,972.10,972.10,972.10,972.10,1.99,10.00,9721.00,1
2022-05-04,953.00,953.00,953.00,953.00,-1.96,100.00,95300.00,-1
2022-05-17,935.50,935.50,935.50,935.50,-1.84,10.00,9355.00,-1
2022-06-06,954.20,960.00,954.20,960.00,2.62,100.00,95942.00,1
2022-06-20,960.00,960.00,951.00,951.00,-0.94,450.00,430650.00,-1
2022-06-21,952.00,952.00,950.30,950.30,-0.07,740.00,704174.00,-1
2022-06-22,942.50,942.50,942.00,942.00,-0.87,80.00,75375.00,-1
2022-06-23,945.10,945.10,945.00,945.00,0.32,525.00,496127.50,1
2022-07-15,963.90,975.00,963.90,975.00,3.17,25.00,24264.00,1
2022-07-17,955.50,955.50,936.00,936.00,-4.00,70.00,65731.00,-1
2022-07-18,945.00,945.00,945.00,945.00,0.96,50.00,47250.00,1
2022-07-20,926.10,930.00,925.00,930.00,-1.59,150.00,139055.00,-1
