published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-12,1346.00,1346.00,1236.10,1236.10,-10.00,1339.00,1682504.10,-1
2022-05-13,1346.00,1346.00,1236.10,1236.10,-10.00,1339.00,1682504.10,-1
2022-05-16,1346.00,1346.00,1236.10,1236.10,-10.00,1339.00,1682504.10,-1
2022-05-17,1212.00,1212.00,1112.50,1112.50,-10.00,1298.00,1452498.00,-1
2022-05-18,1090.30,1090.30,1001.30,1001.30,-10.00,1371.00,1389833.30,-1
2022-05-19,982.00,985.00,925.20,950.00,-5.12,16061.00,15486469.20,-1
2022-05-20,960.00,985.00,930.00,930.00,-2.11,4580.00,4338707.00,-1
2022-05-23,911.40,911.40,885.00,895.00,-3.76,3626.00,3240491.20,-1
2022-05-24,912.50,915.00,841.10,857.00,-4.25,10440.00,9131820.70,-1
2022-05-25,874.10,889.00,842.80,878.00,2.45,6856.00,5902604.60,1
2022-05-26,878.00,884.90,860.00,870.00,-0.91,3286.00,2848771.70,-1
2022-05-27,879.00,879.00,850.10,868.00,-0.23,3085.00,2654684.80,-1
2022-05-30,868.00,868.00,830.00,835.00,-3.80,5166.00,4380894.50,-1
2022-05-31,835.00,835.00,804.00,809.00,-3.11,3811.00,3108193.00,-1
2022-06-01,825.00,841.50,794.00,794.00,-1.85,6105.00,4930016.70,-1
2022-06-02,794.00,809.00,785.00,785.10,-1.12,5935.00,4694964.40,-1
2022-06-03,775.00,784.00,755.00,757.00,-3.58,10284.00,7904095.70,-1
2022-06-06,772.10,772.10,751.00,758.00,0.13,4105.00,3103803.20,1
2022-06-07,768.90,769.00,743.00,754.00,-0.53,4257.00,3220312.20,-1
2022-06-08,763.00,801.00,750.00,790.00,4.77,4832.00,3764788.60,1
2022-06-09,805.80,820.00,760.00,778.00,-1.52,3424.00,2666699.70,-1
2022-06-10,765.00,784.00,755.00,770.00,-1.03,879.00,675710.70,-1
2022-06-13,770.00,770.00,750.00,750.00,-2.60,1772.00,1339170.50,-1
2022-06-14,755.00,755.00,722.00,722.00,-3.73,3264.00,2395151.20,-1
2022-06-15,722.00,750.00,710.00,730.00,1.11,2240.00,1639319.60,1
2022-06-16,720.10,755.00,720.10,738.90,1.22,1819.00,1354576.30,1
2022-06-17,750.00,750.00,740.00,747.40,1.15,565.00,420648.00,1
2022-06-19,746.00,746.00,713.00,715.10,-4.32,3746.00,2701055.70,-1
2022-06-20,702.00,702.00,675.00,678.00,-5.19,5036.00,3443415.50,-1
2022-06-21,691.50,711.00,686.10,700.00,3.24,3718.00,2599759.20,1
2022-06-22,692.00,705.00,690.00,701.00,0.14,2221.00,1548222.00,1
2022-06-23,690.00,699.00,666.00,698.00,-0.43,3285.00,2225833.80,-1
2022-07-05,797.00,831.00,786.00,800.00,-1.48,6610.00,5273521.70,-1
2022-07-06,786.00,805.00,780.00,797.00,-0.38,4085.00,3224885.80,-1
2022-07-07,812.90,815.00,778.00,778.00,-2.38,3003.00,2391663.90,-1
2022-07-08,767.00,775.00,752.00,775.00,-0.39,3732.00,2850634.70,-1
2022-07-10,767.00,775.00,752.00,775.00,-0.39,3732.00,2850634.70,-1
2022-07-11,760.10,770.00,726.00,734.00,-5.29,5163.00,3794596.40,-1
2022-07-12,734.00,754.70,730.00,751.80,2.43,3933.00,2912390.10,1
2022-07-13,750.00,785.40,750.00,785.00,4.42,6079.00,4696802.00,1
2022-07-14,791.00,796.00,773.00,783.00,-0.25,2218.00,1740066.20,-1
2022-07-15,775.00,790.00,770.00,783.00,0.00,879.00,681928.40,0
2022-07-17,770.00,794.70,770.00,788.00,0.64,2018.00,1577066.20,1
2022-07-18,773.20,802.00,772.30,786.00,-0.25,2371.00,1857391.40,-1
2022-07-19,801.70,813.00,790.00,800.00,1.78,5094.00,4086690.10,1
2022-07-20,797.00,808.00,788.00,788.00,-1.50,3790.00,3018797.00,-1
2022-07-21,800.00,800.00,784.00,790.00,0.25,3144.00,2488490.40,1
2022-07-22,787.00,788.00,754.00,754.00,-4.56,5533.00,4251572.20,-1
2022-07-24,769.00,805.00,768.50,805.00,6.76,9872.00,7850069.10,1
2022-07-25,811.00,885.50,811.00,885.50,10.00,29103.00,25092440.70,1
2022-07-26,885.00,972.00,885.00,945.00,6.72,33007.00,31056602.90,1
2022-07-27,930.00,963.90,910.50,958.00,1.38,13309.00,12558482.40,1
2022-07-28,977.00,983.90,937.90,945.00,-1.36,18929.00,18045025.40,-1
2022-07-29,937.00,945.00,930.00,938.00,-0.74,4018.00,3757201.60,-1
2022-07-31,938.00,951.00,906.50,928.00,-1.07,14700.00,13602449.50,-1
2022-08-01,910.00,910.00,879.00,890.00,-4.09,18500.00,16537130.10,-1
2022-08-02,885.00,894.90,867.00,888.00,-0.22,9251.00,8112627.30,-1
2022-08-03,873.00,914.00,871.00,900.00,1.35,9749.00,8737319.90,1
2022-08-04,899.00,899.00,872.10,875.10,-2.77,4349.00,3835855.20,-1
2022-08-05,865.00,870.00,843.00,849.00,-2.98,6438.00,5505094.20,-1
2022-08-07,854.00,874.00,847.00,860.00,1.30,6829.00,5874874.60,1
2022-08-08,877.20,877.20,840.00,856.00,-0.47,5399.00,4642279.80,-1
2022-08-09,868.00,868.00,815.00,815.00,-4.79,5333.00,4428383.10,-1
2022-08-10,799.00,831.00,798.70,823.00,0.98,5491.00,4467042.50,1
2022-08-11,807.00,852.00,800.00,806.00,-2.07,3123.00,2550218.50,-1
2022-08-12,807.00,852.00,800.00,806.00,-2.07,3123.00,2550218.50,-1
2022-08-14,815.00,819.00,790.10,795.00,-1.36,3704.00,2956776.70,-1
