published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-22,443.00,443.00,443.00,443.00,0.00,8906.00,3945358.00,0
2023-01-02,402.00,402.00,394.00,394.00,-1.99,5535.00,2191854.00,-1
2023-01-05,447.70,447.70,447.70,447.70,1.98,25947.00,11616471.90,1
2023-01-12,447.70,447.70,447.70,447.70,0.00,3000.00,1343100.00,0
2023-01-15,447.70,447.70,447.70,447.70,0.00,3000.00,1343100.00,0
2023-01-16,447.70,447.70,447.70,447.70,0.00,3000.00,1343100.00,0
2023-01-24,447.70,447.70,447.70,447.70,0.00,7050.00,3156285.00,0
2023-02-28,447.70,447.70,447.70,447.70,0.00,35552.00,15916630.40,0
2023-03-02,447.70,447.70,447.70,447.70,0.00,338.00,151322.60,0
2023-03-09,447.70,447.70,447.70,447.70,0.00,4949.00,2215667.30,0
2023-03-16,447.70,447.70,447.70,447.70,0.00,34279.00,15346708.30,0
2023-03-27,447.70,447.70,447.70,447.70,0.00,1342.00,600813.40,0
2023-04-25,447.00,447.00,447.00,447.00,-0.16,43000.00,19221000.00,-1
2023-09-18,342.00,342.00,342.00,342.00,0.00,6205.00,2122110.00,0
2023-09-27,237.00,237.00,237.00,237.00,0.00,1100.00,260700.00,0
2023-09-28,237.00,237.00,237.00,237.00,0.00,1100.00,260700.00,0
2023-10-08,231.00,231.00,220.00,225.55,-4.83,20960.00,4678160.00,-1
2023-12-06,237.00,262.00,237.00,262.00,0.00,4835.00,1241770.00,0
2023-12-12,342.00,342.00,342.00,342.00,0.00,57857.00,19787094.00,0
2023-12-17,342.00,342.00,342.00,342.00,0.00,30142.00,10308564.00,0
2023-12-18,342.00,342.00,342.00,342.00,0.00,19193.00,6564006.00,0
2024-02-08,200.00,200.00,196.00,196.00,0.00,22000.00,4323500.00,0
2024-03-03,342.00,342.00,342.00,342.00,0.00,9865.00,3373830.00,0
2024-03-05,342.00,342.00,342.00,342.00,0.00,5000.00,1710000.00,0
2024-03-07,342.00,342.00,342.00,342.00,0.00,29351.00,10038042.00,0
2024-03-17,342.00,342.00,342.00,342.00,0.00,5395.00,1845090.00,0
2024-03-21,342.00,342.00,342.00,342.00,0.00,8503.00,2908026.00,0
2024-03-24,342.00,342.00,342.00,342.00,0.00,8503.00,2908026.00,0
2024-03-27,342.00,342.00,342.00,342.00,0.00,35627.00,12184434.00,0
2024-03-28,342.00,342.00,342.00,342.00,0.00,1398.00,478116.00,0
2024-04-07,342.00,342.00,342.00,342.00,0.00,5000.00,1710000.00,0
2024-04-08,342.00,342.00,342.00,342.00,0.00,5000.00,1710000.00,0
2024-06-09,247.00,251.10,247.00,251.10,0.00,13500.00,3363200.00,0
2024-07-29,251.10,251.10,251.10,251.10,0.00,20000.00,5022000.00,0
2024-09-24,251.10,251.10,251.10,251.10,0.00,10000.00,2511000.00,0
2024-11-05,251.10,251.10,251.10,251.10,0.00,17100.00,5262810.00,0
2024-11-20,251.10,251.10,251.10,251.10,0.00,27188.00,6826906.80,0
2024-11-24,250.00,250.00,250.00,250.00,-0.44,25000.00,6250000.00,-1
2024-12-02,250.00,250.00,250.00,250.00,0.00,3174.00,793500.00,0
2024-12-08,250.00,250.00,250.00,250.00,0.00,40728.00,10182000.00,0
2025-01-02,250.00,250.00,250.00,250.00,0.00,1400.00,140000.00,0
2025-01-21,250.00,250.00,250.00,250.00,0.00,7634.00,1908500.00,0
2025-04-27,399.00,399.00,399.00,399.00,0.00,17000.00,6783000.00,0
2025-06-24,399.00,399.00,399.00,399.00,0.00,9045.00,3608955.00,0
2025-08-14,399.00,399.00,399.00,399.00,0.00,1592.00,635208.00,0
2025-08-19,392.00,392.00,392.00,392.00,-1.75,4000.00,1568000.00,-1
2025-11-20,382.00,382.00,382.00,382.00,0.00,10000.00,3820000.00,0
2025-11-27,382.00,382.00,382.00,382.00,0.00,10000.00,3820000.00,0
2025-12-11,382.00,382.00,382.00,382.00,0.00,14822.00,5662004.00,0
2025-12-14,382.00,382.00,382.00,382.00,0.00,3000.00,1146000.00,0
2026-01-13,382.00,382.00,382.00,382.00,0.00,34750.00,13274500.00,0
2026-03-26,382.00,382.00,382.00,382.00,0.00,7000.00,2674000.00,0
2026-04-01,382.00,382.00,382.00,382.00,0.00,7342.00,2804644.00,0
