published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-17,304.00,315.00,304.00,314.60,1.81,41883.00,13004246.00,1
2023-04-19,315.00,323.30,311.00,322.00,0.63,51534.00,16469743.00,1
2023-04-20,316.10,323.90,313.00,313.00,-2.80,38607.00,12249347.00,-1
2023-04-23,306.80,315.00,306.80,309.10,-1.25,51344.00,15984788.40,-1
2023-04-24,309.00,310.00,304.60,310.00,0.29,43827.00,13448217.90,1
2023-04-25,303.90,316.00,303.90,314.00,1.29,49440.00,15245344.10,1
2023-04-26,310.00,313.00,305.30,309.10,-1.56,37495.00,11516238.00,-1
2023-04-27,304.50,308.00,303.30,304.10,-1.62,19920.00,6082346.00,-1
2023-04-30,299.00,304.00,290.00,290.50,-4.47,47675.00,14132162.00,-1
2023-05-01,299.00,304.00,290.00,290.50,-4.47,47675.00,14132162.00,-1
2023-05-02,290.00,295.80,278.00,280.20,-3.55,27150.00,7692283.00,-1
2023-05-03,275.30,280.00,275.10,280.00,-0.07,22249.00,6155267.40,-1
2023-05-04,276.00,291.00,275.00,285.00,1.79,18340.00,5153318.80,1
2023-05-07,285.00,290.70,275.00,275.20,-3.44,22604.00,6274861.80,-1
2023-05-08,273.00,274.00,265.00,265.40,-3.56,30467.00,8202164.50,-1
2023-05-09,264.90,276.00,261.40,274.00,3.24,30361.00,8179926.90,1
2023-05-10,274.00,275.00,266.40,270.00,-1.46,10705.00,2900358.60,-1
2023-05-11,265.00,271.50,264.20,270.00,0.00,9995.00,2691033.00,0
2023-05-14,270.00,272.00,262.10,262.30,-2.85,11859.00,3143660.90,-1
2023-05-15,260.00,267.70,256.10,259.00,-1.26,9090.00,2361841.00,-1
2023-05-16,255.00,267.00,255.00,264.00,1.93,11341.00,2984067.60,1
2023-05-17,263.90,271.90,261.00,270.00,2.27,21643.00,5785873.00,1
2023-05-18,266.00,278.00,266.00,277.10,2.63,27118.00,7434727.10,1
2023-05-21,275.10,287.00,269.70,270.00,-2.56,26895.00,7416911.40,-1
2023-05-22,267.30,277.70,265.00,268.00,-0.74,13041.00,3519457.00,-1
2023-05-23,270.00,280.00,269.00,279.00,4.10,42247.00,11692668.60,1
2023-05-24,279.00,284.40,271.00,272.10,-2.47,25789.00,7104941.40,-1
2023-05-25,279.00,284.40,271.00,272.10,-2.47,25789.00,7104941.40,-1
2023-05-28,271.50,286.90,270.10,272.70,0.22,60485.00,17004744.90,1
2023-05-29,271.50,286.90,270.10,272.70,0.22,60485.00,17004744.90,1
2023-05-30,272.80,278.10,264.20,267.60,-1.87,31611.00,8536710.60,-1
2023-05-31,262.30,273.00,258.00,258.00,-3.59,39699.00,10457190.70,-1
2023-06-01,256.00,266.00,255.00,264.90,2.67,24346.00,6364540.10,1
2023-06-04,265.00,279.80,264.90,275.00,3.81,29107.00,7998403.50,1
2023-06-05,270.10,284.00,270.10,271.30,-1.35,22730.00,6283932.20,-1
2023-06-06,266.10,286.60,266.10,286.60,5.64,43446.00,12186109.10,1
2023-06-07,286.00,295.00,284.50,286.90,0.10,72579.00,21035979.90,1
2023-06-08,285.00,289.60,282.00,287.90,0.35,47264.00,13450982.40,1
2023-06-11,287.00,298.80,285.00,298.00,3.51,73241.00,21430193.00,1
2023-06-12,293.60,303.00,290.00,292.00,-2.01,41705.00,12323934.40,-1
2023-06-13,286.20,303.90,286.20,298.00,2.05,56979.00,16978856.80,1
2023-06-14,297.00,308.00,293.10,296.10,-0.64,70933.00,21285442.50,-1
