published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-08-29,93.0,94.0,92.0,94.0,nan,9298.0,858426.0,0
2011-08-30,94.0,93.0,93.0,93.0,-1.06,30.0,2790.0,0
2011-09-04,93.0,92.0,92.0,92.0,-1.08,230.0,21160.0,0
2011-09-05,92.0,91.0,91.0,91.0,-1.09,20.0,1820.0,0
2011-09-12,91.0,91.0,90.0,91.0,0.0,490.0,44210.0,0
2011-09-18,91.0,90.0,88.0,88.0,-3.30,170.0,15150.0,0
2011-09-25,88.0,88.0,86.0,86.0,-2.27,250.0,21960.0,0
2011-09-29,86.0,85.0,85.0,85.0,-1.16,90.0,7650.0,0
2011-11-09,85.0,86.0,85.0,86.0,1.18,80.0,6820.0,0
2011-11-10,86.0,86.0,86.0,86.0,0.0,70.0,6020.0,0
2011-11-17,86.0,85.0,84.0,84.0,-2.33,180.0,15220.0,0
2011-11-20,84.0,84.0,84.0,84.0,0.0,30.0,2520.0,0
2011-11-21,84.0,85.0,85.0,85.0,1.19,146631.0,12463635.0,0
2011-11-22,85.0,84.0,84.0,84.0,-1.18,70.0,5880.0,0
2011-12-12,84.0,83.0,82.0,82.0,-2.38,240.0,19840.0,0
2011-12-21,82.0,83.0,83.0,83.0,1.22,80.0,6640.0,0
2011-12-27,83.0,84.0,84.0,84.0,1.20,50.0,4200.0,0
2012-01-08,84.0,83.0,83.0,83.0,-1.19,70.0,5810.0,0
2012-01-31,83.0,82.0,81.0,82.0,-1.20,380.0,31080.0,0
2012-02-07,82.0,82.0,81.0,82.0,0.0,1410.0,115610.0,0
2012-02-21,82.0,81.0,81.0,81.0,-1.22,160.0,12960.0,0
2012-02-23,81.0,80.0,79.0,79.0,-2.47,120.0,9590.0,0
2012-02-27,79.0,80.0,80.0,80.0,1.27,30.0,2400.0,0
2012-02-29,80.0,79.0,79.0,79.0,-1.25,40.0,3160.0,0
2012-03-05,79.0,80.0,80.0,80.0,1.27,40.0,3200.0,0
2012-03-12,80.0,81.0,81.0,81.0,1.25,200.0,16200.0,0
2012-03-15,81.0,81.0,81.0,81.0,0.0,140.0,11340.0,0
2012-03-19,81.0,80.0,80.0,80.0,-1.23,50.0,4000.0,0
2012-03-20,80.0,81.0,81.0,81.0,1.25,60.0,4860.0,0
2012-03-25,81.0,81.0,81.0,81.0,0.0,190.0,15390.0,0
2012-03-27,81.0,80.0,78.0,78.0,-3.70,190.0,15090.0,0
2012-03-28,78.0,78.0,77.0,78.0,0.0,80.0,6200.0,0
2012-04-01,78.0,77.0,76.0,76.0,-2.56,140.0,10760.0,0
2012-04-09,76.0,75.0,74.0,74.0,-2.63,400.0,29700.0,0
2012-05-22,74.0,75.0,75.0,75.0,1.35,10.0,750.0,0
2012-05-23,75.0,76.0,76.0,76.0,1.33,30.0,2280.0,0
2012-05-24,76.0,77.0,77.0,77.0,1.32,20.0,1540.0,0
2012-05-29,77.0,81.0,78.0,81.0,5.19,330.0,26250.0,0
2012-05-30,81.0,84.0,82.0,84.0,3.70,830.0,69220.0,0
2012-06-03,84.0,85.0,85.0,85.0,1.19,120.0,10200.0,0
2012-06-04,85.0,84.0,84.0,84.0,-1.18,390.0,32760.0,0
2012-06-05,84.0,84.0,83.0,83.0,-1.19,40.0,3330.0,0
2012-06-07,83.0,83.0,82.0,82.0,-1.20,210.0,17280.0,0
2012-06-11,82.0,82.0,82.0,82.0,0.0,170.0,13940.0,0
2012-06-12,82.0,81.0,81.0,81.0,-1.22,30.0,2430.0,0
2012-06-14,81.0,82.0,81.0,82.0,1.23,240.0,19610.0,0
2012-06-19,82.0,81.0,81.0,81.0,-1.22,40.0,3240.0,0
2012-06-20,81.0,82.0,82.0,82.0,1.23,20.0,1640.0,0
2012-06-25,82.0,83.0,83.0,83.0,1.22,110.0,9130.0,0
2012-08-07,83.0,82.0,82.0,82.0,-1.20,50.0,4100.0,0
2012-08-22,82.0,83.0,82.0,82.0,0.0,330.0,27280.0,0
2012-08-23,82.0,83.0,82.0,83.0,1.22,160.0,13220.0,0
2012-08-26,83.0,84.0,83.0,83.0,0.0,360.0,30160.0,0
2012-08-28,83.0,83.0,83.0,83.0,0.0,30.0,2490.0,0
2012-08-29,83.0,86.0,83.0,86.0,3.61,480.0,40770.0,0
2012-09-03,86.0,85.0,85.0,85.0,-1.16,3070.0,260950.0,0
2012-09-04,85.0,84.0,84.0,84.0,-1.18,10.0,840.0,0
2012-09-05,84.0,85.0,85.0,85.0,1.19,60.0,5100.0,0
2012-09-06,85.0,84.0,84.0,84.0,-1.18,290.0,24360.0,0
2012-09-09,84.0,85.0,84.0,84.0,0.0,40.0,3380.0,0
2012-09-11,84.0,83.0,83.0,83.0,-1.19,20.0,1660.0,0
2012-09-16,83.0,82.0,82.0,82.0,-1.20,200.0,16400.0,0
2012-09-17,82.0,81.0,81.0,81.0,-1.22,190.0,15390.0,0
2012-09-19,81.0,82.0,82.0,82.0,1.23,490.0,40180.0,0
2012-09-20,82.0,83.0,83.0,83.0,1.22,160.0,13280.0,0
2012-09-30,83.0,82.0,82.0,82.0,-1.20,40.0,3280.0,0
2012-10-01,82.0,84.0,83.0,84.0,0.0,170.0,14240.0,0
2012-10-07,84.0,84.0,84.0,84.0,0.0,30.0,2520.0,0
2012-10-08,84.0,85.0,84.0,84.0,0.0,170.0,14350.0,0
2012-10-10,84.0,85.0,85.0,85.0,1.19,10.0,850.0,0
2012-10-11,85.0,85.0,85.0,85.0,0.0,20.0,1700.0,0
2012-10-14,85.0,85.0,85.0,85.0,0.0,20.0,1700.0,0
2012-10-17,85.0,85.0,85.0,85.0,0.0,190.0,16150.0,0
2012-11-11,85.0,85.0,85.0,85.0,0.0,40.0,3400.0,0
2012-11-27,85.0,84.0,84.0,84.0,-1.18,40.0,3360.0,0
2012-11-28,84.0,84.0,84.0,84.0,0.0,20.0,1680.0,0
2012-12-11,84.0,85.0,85.0,85.0,1.19,20.0,1700.0,0
2012-12-13,85.0,85.0,85.0,85.0,0.0,10.0,850.0,0
2012-12-19,85.0,84.0,84.0,84.0,-1.18,10.0,840.0,0
2012-12-20,84.0,84.0,84.0,84.0,0.0,220.0,18480.0,0
2012-12-26,84.0,85.0,85.0,85.0,1.19,120.0,10200.0,0
2012-12-27,85.0,87.0,85.0,87.0,2.35,770.0,66150.0,0
2012-12-31,87.0,86.0,86.0,86.0,-1.15,30.0,2580.0,0
2013-01-01,86.0,86.0,86.0,86.0,0.0,10.0,860.0,0
2013-01-02,86.0,85.0,85.0,85.0,-1.16,220.0,18700.0,0
2013-01-06,85.0,86.0,86.0,86.0,1.18,40.0,3440.0,0
2013-01-07,86.0,85.0,85.0,85.0,-1.16,10.0,850.0,0
2013-01-17,85.0,86.0,86.0,86.0,1.18,10.0,860.0,0
2013-01-20,86.0,86.0,86.0,86.0,0.0,20.0,1720.0,0
2013-01-23,86.0,87.0,86.0,86.0,0.0,60.0,5180.0,0
2013-01-27,86.0,87.0,87.0,87.0,1.16,130.0,11310.0,0
2013-01-28,87.0,89.0,88.0,89.0,2.30,20.0,1770.0,0
2013-01-30,89.0,94.0,90.0,94.0,5.62,50.0,4600.0,0
