published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-17,366.10,402.70,366.10,402.70,10.00,590.00,235056.60,1
2025-07-20,401.50,442.90,401.50,442.90,9.98,562.00,246813.90,1
2025-07-21,451.70,487.10,451.70,487.10,9.98,510.00,247527.00,1
2025-07-22,496.80,535.80,496.80,535.80,10.00,690.00,368744.00,1
2025-07-23,529.30,589.30,529.30,589.30,9.99,730.00,428210.00,1
2025-07-24,595.30,648.20,595.30,648.20,9.99,1070.00,691074.20,1
2025-07-27,661.10,713.00,661.10,713.00,10.00,1400.00,995368.00,1
2025-07-28,715.00,784.30,715.00,780.94,9.53,1223.00,955108.90,1
2025-07-29,799.90,862.70,799.90,862.70,10.00,1730.00,1488416.00,1
2025-07-30,862.00,948.90,862.00,948.90,9.99,2381.00,2256738.00,1
2025-07-31,967.80,1043.70,967.80,1043.70,9.99,15747.00,16431760.40,1
2025-08-03,1064.50,1148.00,1064.50,1148.00,9.99,40112.00,46025652.00,1
2025-08-04,1170.90,1262.80,1033.20,1033.20,-10.00,285335.00,300937303.80,-1
2025-08-05,1012.60,1025.00,930.00,957.27,-7.35,385673.00,370020402.40,-1
2025-08-06,940.00,1052.90,940.00,1052.90,9.99,104497.00,105775538.80,1
2025-08-07,1073.90,1140.00,1010.00,1052.64,-0.02,126126.00,135583091.40,-1
2025-08-10,1073.90,1140.00,1010.00,1052.64,-0.02,126126.00,135583091.40,-1
2025-08-11,1031.60,1031.60,975.00,979.04,-6.99,165689.00,164943217.00,-1
2025-08-12,960.00,987.00,959.50,967.78,-1.15,67340.00,65346554.30,-1
2025-08-13,950.00,997.00,950.00,962.35,-0.56,44822.00,43384554.70,-1
2025-08-14,955.00,971.00,937.00,938.61,-2.47,70398.00,66729576.10,-1
2025-08-17,920.00,930.00,880.10,883.45,-5.88,111100.00,99830222.90,-1
2025-08-18,883.00,905.00,870.00,877.67,-0.65,48779.00,43091657.20,-1
2025-08-19,870.00,902.70,870.00,891.12,1.53,33059.00,29474422.60,1
2025-08-20,873.30,899.00,873.30,884.04,-0.79,27254.00,24186923.50,-1
2025-08-21,895.00,895.00,871.40,874.34,-1.10,33646.00,29529519.80,-1
2025-08-24,870.50,885.00,860.00,861.50,-1.47,41048.00,35722006.20,-1
2025-08-25,852.10,862.00,846.20,853.32,-0.95,32775.00,27952318.10,-1
2025-08-26,850.00,915.00,850.00,881.91,3.35,31136.00,27416950.80,1
2025-08-27,880.00,897.50,879.00,889.20,0.83,29108.00,25901092.20,1
2025-08-28,879.00,896.00,868.00,869.92,-2.17,30314.00,26603472.00,-1
2025-08-31,865.00,870.00,850.00,853.49,-1.89,37754.00,32297580.70,-1
2025-09-01,850.00,850.00,840.10,846.72,-0.79,24147.00,20406206.70,-1
2025-09-02,846.00,856.00,830.00,830.92,-1.87,27148.00,22757275.60,-1
2025-09-03,825.10,830.00,811.00,811.48,-2.34,33488.00,27358513.30,-1
2025-09-04,800.00,820.00,792.10,796.88,-1.80,30509.00,24399036.00,-1
2025-09-07,800.00,813.00,788.20,791.07,-0.73,20864.00,16656101.10,-1
2025-09-08,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-09,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-10,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-11,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-14,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-15,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-16,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-17,791.20,796.00,766.50,769.31,-2.75,28827.00,22405251.40,-1
2025-09-18,754.00,754.00,692.40,692.40,-10.00,4581.00,3207317.70,-1
2025-09-21,678.60,760.00,678.60,745.42,7.66,36725.00,26748907.20,1
2025-09-22,678.60,760.00,678.60,745.42,7.66,36725.00,26748907.20,1
2025-09-23,730.60,772.00,730.60,768.00,3.03,24224.00,18543679.90,1
2025-09-24,768.00,778.00,751.00,753.00,-1.95,18540.00,14064544.10,-1
2025-09-25,754.00,760.00,747.20,751.00,-0.27,12833.00,9657820.20,-1
2025-09-28,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-09-29,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-09-30,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-10-01,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-10-02,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-10-05,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-10-06,751.00,770.00,751.00,757.00,0.80,10058.00,7625518.60,1
2025-10-07,750.00,755.00,736.00,736.00,-2.77,15930.00,11847144.40,-1
