published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-07,268.00,294.80,268.00,294.80,10.00,19904.00,5865241.20,1
2023-12-10,294.80,324.20,294.80,324.20,9.97,2670.00,862858.00,1
2023-12-11,330.60,343.90,294.00,308.90,-4.72,59194.00,18439771.30,-1
2023-12-12,303.10,339.70,303.00,339.70,9.97,38412.00,12505782.80,1
2023-12-13,339.00,369.20,337.20,359.00,5.68,22084.00,7859310.00,1
2023-12-14,351.90,360.00,332.20,356.00,-0.84,34457.00,12010142.60,-1
2023-12-17,348.90,357.00,340.00,349.00,-1.97,29427.00,10314237.30,-1
2023-12-18,355.00,368.00,335.00,338.00,-3.15,37148.00,12984040.80,-1
2023-12-19,333.10,344.00,332.00,337.00,-0.30,20458.00,6892134.00,-1
2023-12-20,337.00,349.80,332.00,342.70,1.69,25207.00,8574939.40,1
2023-12-21,342.20,351.90,334.00,349.00,1.84,28146.00,9614558.80,1
2023-12-24,355.90,373.00,336.20,373.00,6.88,76297.00,27586591.00,1
2023-12-25,355.90,373.00,336.20,373.00,6.88,76297.00,27586591.00,1
2023-12-26,355.90,373.00,336.20,373.00,6.88,76297.00,27586591.00,1
2023-12-27,380.40,410.30,380.40,410.00,9.92,56574.00,22858305.60,1
2023-12-28,418.00,434.00,395.00,399.00,-2.68,39496.00,15917106.20,-1
2023-12-31,418.00,434.00,395.00,399.00,-2.68,39496.00,15917106.20,-1
2024-01-01,406.00,409.00,376.00,376.00,-5.76,55904.00,21946217.60,-1
2024-01-02,383.00,383.00,361.80,375.00,-0.27,28737.00,10626331.40,-1
2024-01-03,370.00,396.90,370.00,391.00,4.27,24240.00,9338406.30,1
2024-01-04,396.80,406.00,382.50,385.00,-1.53,37543.00,14759287.30,-1
2024-01-07,377.30,392.70,371.00,381.00,-1.04,20472.00,7893351.40,-1
2024-01-08,378.00,419.10,378.00,419.10,10.00,59806.00,24420753.00,1
2024-01-09,427.40,461.00,427.00,461.00,10.00,81869.00,37219947.70,1
2024-01-10,470.20,490.00,462.70,474.00,2.82,65683.00,31078133.90,1
2024-01-11,474.00,521.40,460.00,521.40,10.00,65095.00,32737398.60,1
2024-01-14,531.80,573.50,530.00,573.50,9.99,24670.00,13971554.00,1
2024-01-15,531.80,573.50,530.00,573.50,9.99,24670.00,13971554.00,1
2024-01-16,584.90,630.80,565.00,610.00,6.36,76520.00,45006648.40,1
2024-01-17,622.00,623.00,562.00,579.00,-5.08,63889.00,37977847.10,-1
2024-01-18,567.50,589.00,560.00,576.10,-0.50,37208.00,21456755.90,-1
2024-01-21,565.00,621.00,565.00,580.00,0.68,24577.00,14243137.60,1
2024-01-22,568.60,580.00,546.00,548.00,-5.52,20803.00,11662526.70,-1
2024-01-23,550.00,559.00,520.00,527.40,-3.76,17540.00,9576574.00,-1
2024-01-24,537.90,548.60,511.00,523.10,-0.82,17935.00,9462960.00,-1
2024-01-25,517.00,544.10,517.00,537.00,2.66,15807.00,8352568.10,1
2024-01-28,526.30,540.00,522.00,540.00,0.56,19972.00,10601043.00,1
2024-01-29,530.00,593.00,530.00,565.00,4.63,44215.00,25374022.00,1
2024-01-30,570.00,587.50,560.00,582.00,3.01,36448.00,20947870.00,1
2024-01-31,572.10,590.00,559.00,570.00,-2.06,25736.00,14555145.00,-1
2024-02-01,559.00,562.00,545.00,545.10,-4.37,16874.00,9318594.70,-1
2024-02-04,535.00,542.00,527.10,535.00,-1.85,7215.00,3857836.30,-1
2024-02-05,545.70,545.70,530.00,531.50,-0.65,8095.00,4323924.00,-1
2024-02-06,542.00,581.00,525.00,558.00,4.99,21102.00,11661784.30,1
2024-02-07,552.00,560.00,546.90,546.90,-1.99,16327.00,8995043.10,-1
2024-02-08,550.00,600.70,550.00,600.70,9.84,96650.00,56207644.40,1
2024-02-11,600.00,660.00,600.00,641.00,6.71,90065.00,56677820.50,1
2024-02-12,641.00,641.00,615.00,630.00,-1.72,60405.00,37466054.60,-1
2024-02-13,618.00,626.00,596.00,610.00,-3.17,43343.00,26563358.70,-1
2024-02-14,597.80,608.00,586.00,590.00,-3.28,29362.00,17527453.30,-1
2024-02-15,579.00,606.00,579.00,597.00,1.19,22153.00,13215877.50,1
2024-02-18,585.10,596.80,566.00,576.00,-3.52,19578.00,11330212.90,-1
2024-02-19,585.10,596.80,566.00,576.00,-3.52,19578.00,11330212.90,-1
2024-02-20,565.10,611.70,565.10,595.60,3.40,20910.00,12171369.60,1
2024-02-21,603.00,603.00,568.40,570.40,-4.23,11216.00,6465151.30,-1
2024-02-22,581.50,604.00,559.00,560.00,-1.82,17893.00,10143211.20,-1
2024-02-25,558.00,568.00,541.50,541.50,-3.30,23748.00,13134288.30,-1
2024-02-26,530.70,563.30,530.70,548.70,1.33,6994.00,3763437.80,1
2024-02-27,559.60,570.00,537.00,543.00,-1.04,11830.00,6418454.40,-1
2024-02-28,532.20,564.00,525.00,535.00,-1.47,13270.00,7068586.00,-1
2024-02-29,545.00,545.00,506.00,506.10,-5.40,17553.00,9083286.10,-1
2024-03-03,496.00,515.00,496.00,512.00,1.17,10295.00,5197998.50,1
2024-03-04,522.20,563.20,522.00,563.00,9.96,6060.00,3403082.00,1
2024-03-05,574.20,574.20,529.20,539.80,-4.12,29740.00,16254505.00,-1
2024-03-06,529.30,547.90,519.10,539.90,0.02,14717.00,7891541.00,1
2024-03-07,539.90,560.10,522.50,531.90,-1.48,15157.00,8022318.50,-1
2024-03-10,531.00,541.60,530.50,531.10,-0.15,14027.00,7539216.10,-1
2024-03-11,531.00,541.60,530.50,531.10,-0.15,14027.00,7539216.10,-1
2024-03-12,541.70,552.00,530.00,540.00,1.68,10246.00,5486663.90,1
2024-03-13,530.10,560.00,529.30,539.90,-0.02,58823.00,32241125.80,-1
2024-03-14,529.30,540.00,518.80,523.00,-3.13,16890.00,8892643.40,-1
2024-03-17,512.60,530.40,512.60,530.40,1.41,11726.00,6112502.10,1
2024-03-18,520.50,525.00,510.00,519.60,-2.04,18174.00,9385360.80,-1
2024-03-19,519.00,520.00,507.00,507.00,-2.42,9031.00,4650593.60,-1
2024-03-20,509.00,513.00,499.00,503.90,-0.61,18300.00,9219359.50,-1
2024-03-21,500.10,510.00,493.90,495.00,-1.77,12153.00,6057530.70,-1
2024-03-24,500.10,510.00,493.90,495.00,-1.77,12153.00,6057530.70,-1
2024-03-25,493.90,494.80,482.00,483.00,-2.42,7204.00,3508427.00,-1
2024-03-26,475.00,508.00,475.00,505.00,4.55,10080.00,4975485.40,1
2024-03-27,505.00,509.90,487.10,494.90,-2.00,11134.00,5533049.50,-1
2024-03-28,486.00,499.90,478.00,493.90,-0.20,9852.00,4777514.00,-1
