published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-17,499.20,538.40,499.20,538.40,9.99,2554.00,1363372.30,1
2023-07-18,545.00,592.20,545.00,592.20,9.99,7651.00,4528364.20,1
2023-07-19,604.00,651.40,604.00,631.00,6.55,375277.00,235745457.30,1
2023-07-20,643.40,643.40,620.00,621.00,-1.58,95250.00,59458872.80,-1
2023-07-23,625.00,642.00,616.20,640.00,3.06,110633.00,69691514.80,1
2023-07-24,644.00,644.00,625.10,632.30,-1.20,86302.00,54857493.40,-1
2023-07-25,638.00,638.00,626.20,627.20,-0.81,53853.00,33977320.70,-1
2023-07-26,627.20,632.60,620.00,620.00,-1.15,27511.00,17249931.60,-1
2023-07-27,628.00,628.00,612.50,613.00,-1.13,36151.00,22337221.40,-1
2023-07-30,623.00,623.00,592.00,602.00,-1.79,50025.00,30032415.10,-1
2023-07-31,605.00,612.50,595.00,602.00,0.00,28758.00,17379337.80,0
2023-08-01,608.00,608.00,581.00,585.50,-2.74,28219.00,16718499.10,-1
2023-08-02,597.00,597.00,573.00,588.00,0.43,27874.00,16178470.70,1
2023-08-03,580.10,586.50,580.00,584.00,-0.68,17944.00,10450671.30,-1
2023-08-06,575.00,583.80,560.00,565.00,-3.25,15012.00,8512607.60,-1
2023-08-07,564.00,575.00,553.00,569.00,0.71,19218.00,10843845.40,1
2023-08-09,554.00,580.00,554.00,580.00,2.71,29177.00,16569241.60,1
2023-08-10,582.00,605.00,573.00,597.10,2.95,53560.00,31847974.50,1
2023-08-13,594.00,614.00,590.00,609.00,1.99,45370.00,27313839.10,1
2023-08-14,621.00,621.00,603.10,606.90,-0.34,41357.00,25341888.40,-1
2023-08-15,609.50,609.50,590.00,592.00,-2.46,34628.00,20610434.30,-1
2023-08-16,589.00,592.00,580.00,584.80,-1.22,40063.00,23458095.30,-1
2023-08-17,595.00,598.00,588.00,588.20,0.58,22226.00,13198880.30,1
2023-08-20,592.00,593.00,576.30,576.30,-2.02,20987.00,12236266.60,-1
2023-08-21,580.00,585.00,570.00,573.00,-0.57,53639.00,30906132.60,-1
2023-08-22,584.00,584.00,566.00,582.90,1.73,94857.00,54193949.00,1
2023-08-23,594.50,608.00,585.00,604.00,3.62,48976.00,29297830.20,1
2023-08-24,610.00,610.00,584.00,596.00,-1.32,43431.00,25726551.80,-1
2023-08-27,600.00,600.00,578.00,580.00,-2.68,42830.00,24960541.30,-1
2023-08-28,588.00,588.00,577.00,577.00,-0.52,25278.00,14705465.10,-1
2023-08-29,588.00,599.70,573.00,580.00,0.52,20320.00,11818206.90,1
2023-08-30,583.00,588.90,577.50,580.00,0.00,33752.00,19588859.90,0
2023-08-31,583.00,588.90,577.50,580.00,0.00,33752.00,19588859.90,0
2023-09-03,575.00,578.00,566.20,569.00,-1.90,25698.00,14695439.20,-1
2023-09-04,577.90,577.90,560.00,569.90,0.16,22904.00,13075160.00,1
2023-09-05,573.90,574.00,563.00,563.10,-1.19,12645.00,7148627.00,-1
2023-09-06,573.90,574.00,563.00,563.10,-1.19,12645.00,7148627.00,-1
2023-09-07,556.70,567.00,555.10,556.10,-1.24,16289.00,9091301.10,-1
2023-09-10,557.00,566.90,554.10,561.00,0.88,11593.00,6504785.80,1
2023-09-11,561.10,584.00,561.10,580.00,3.39,25328.00,14593113.60,1
2023-09-12,577.00,578.00,565.00,569.90,-1.74,21068.00,12069783.80,-1
2023-09-13,569.90,590.00,566.10,587.00,3.00,26683.00,15451517.80,1
2023-09-14,569.90,590.00,566.10,587.00,3.00,26683.00,15451517.80,1
2023-09-17,575.50,580.00,565.00,566.00,-3.58,29387.00,16762575.00,-1
2023-09-18,570.00,580.00,563.00,568.30,0.41,6558.00,3739060.90,1
2023-09-19,570.00,580.00,565.10,577.80,1.67,7784.00,4457930.90,1
2023-09-20,570.00,580.00,565.10,577.80,1.67,7784.00,4457930.90,1
2023-09-21,583.00,597.00,583.00,587.30,1.64,38912.00,22940435.90,1
2023-09-24,577.00,594.00,575.60,584.00,-0.56,27470.00,16018746.00,-1
2023-09-25,594.90,594.90,568.00,576.50,-1.28,7949.00,4566396.80,-1
2023-09-26,588.00,589.00,578.00,585.10,1.49,22694.00,13289141.60,1
2023-09-27,580.00,585.00,569.00,575.00,-1.73,15052.00,8618588.40,-1
2023-09-28,580.00,585.00,569.00,575.00,-1.73,15052.00,8618588.40,-1
2023-10-01,563.60,569.00,560.00,564.00,-1.91,12577.00,7087034.40,-1
2023-10-02,560.30,567.00,557.00,565.00,0.18,12125.00,6811285.90,1
2023-10-03,561.00,563.90,555.10,557.00,-1.42,10189.00,5697905.70,-1
2023-10-04,555.00,567.00,555.00,563.90,1.24,7685.00,4322144.80,1
2023-10-05,565.00,565.00,556.10,557.00,-1.22,10675.00,5975191.20,-1
2023-10-08,547.00,556.00,545.00,548.00,-1.62,12807.00,7010361.60,-1
2023-10-09,540.00,547.90,539.40,540.00,-1.46,8089.00,4386905.90,-1
2023-10-10,550.00,550.00,516.00,517.00,-4.26,16210.00,8513340.30,-1
2023-10-11,507.00,537.00,497.00,518.10,0.21,8017.00,4176529.20,1
2023-10-12,514.00,528.40,510.50,514.00,-0.79,12611.00,6545460.80,-1
2023-10-15,514.00,528.40,510.50,514.00,-0.79,12611.00,6545460.80,-1
2023-10-16,505.00,524.00,505.00,512.00,-0.39,8375.00,4267187.30,-1
2023-10-17,522.20,530.00,505.10,506.10,-1.15,6768.00,3457766.60,-1
2023-10-18,512.60,522.00,512.00,516.00,1.96,3994.00,2057377.20,1
2023-10-19,520.00,524.90,509.60,513.00,-0.58,2856.00,1474048.30,-1
2023-10-22,520.00,524.90,509.60,513.00,-0.58,2856.00,1474048.30,-1
2023-10-23,520.00,524.90,509.60,513.00,-0.58,2856.00,1474048.30,-1
2023-10-24,520.00,524.90,509.60,513.00,-0.58,2856.00,1474048.30,-1
2023-10-25,520.00,524.90,509.60,513.00,-0.58,2856.00,1474048.30,-1
2023-10-26,520.00,524.90,509.60,513.00,-0.58,2856.00,1474048.30,-1
2023-10-29,503.00,503.00,490.00,494.50,-3.61,10350.00,5111168.90,-1
2023-10-30,494.50,504.00,494.50,501.00,1.31,4144.00,2072238.00,1
2023-10-31,501.00,505.70,493.10,493.10,-1.58,1853.00,916753.90,-1
2023-11-01,495.10,498.00,489.00,489.30,-0.77,5594.00,2749489.60,-1
2023-11-02,489.00,490.00,483.40,485.00,-0.88,3525.00,1714387.10,-1
2023-11-05,480.00,485.50,474.10,480.00,-1.03,5398.00,2574574.60,-1
2023-11-06,470.50,496.90,470.50,496.50,3.44,6860.00,3326522.40,1
2023-11-07,506.00,506.00,490.00,499.80,0.66,7018.00,3463867.80,1
2023-11-08,509.70,509.70,491.00,491.00,-1.76,2767.00,1372923.60,-1
2023-11-09,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-12,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-13,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-14,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-15,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-16,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-19,500.00,500.00,488.00,490.00,-0.20,3429.00,1680407.00,-1
2023-11-20,491.00,510.00,491.00,510.00,4.08,16188.00,8110980.90,1
2023-11-21,515.00,515.00,491.40,492.00,-3.53,6483.00,3200545.10,-1
2023-11-22,500.00,518.00,490.60,518.00,5.28,9976.00,5045974.30,1
2023-11-23,510.00,537.90,498.10,524.10,1.18,7028.00,3678293.50,1
2023-11-26,525.00,555.00,523.00,554.80,5.86,18272.00,9927522.00,1
2023-11-27,561.00,561.00,544.50,547.00,-1.41,23740.00,13033155.50,-1
2023-11-28,548.00,555.00,540.30,552.00,0.91,11208.00,6146511.30,1
2023-11-29,559.00,559.90,532.00,532.00,-3.62,8032.00,4352839.40,-1
2023-11-30,532.00,537.00,525.10,526.00,-1.13,5876.00,3099866.90,-1
2023-12-03,520.00,529.90,512.00,529.90,0.74,7678.00,4003105.90,1
2023-12-04,535.00,540.00,524.30,530.00,0.02,6186.00,3306001.40,1
2023-12-05,540.60,562.00,530.00,540.00,1.89,8674.00,4656117.00,1
2023-12-06,547.00,562.00,546.00,561.00,3.89,23602.00,13053672.50,1
2023-12-07,561.00,580.00,556.70,580.00,3.39,69715.00,40052347.40,1
2023-12-10,591.60,615.00,591.60,610.00,5.17,5331.00,3265200.00,1
2023-12-11,610.00,620.00,590.00,610.00,0.00,78498.00,47522786.90,0
2023-12-12,619.00,628.00,610.00,620.00,1.64,47592.00,29460352.40,1
2023-12-13,620.00,625.00,596.10,607.00,-2.10,27379.00,16695584.30,-1
2023-12-14,600.00,605.00,595.00,601.10,-0.97,38669.00,23209477.10,-1
2023-12-17,589.10,609.00,589.10,608.80,1.28,26500.00,15912355.50,1
2023-12-18,620.00,620.00,601.00,610.00,0.20,44514.00,27263392.60,1
2023-12-19,608.00,628.00,600.10,627.00,2.79,54565.00,33639845.40,1
2023-12-20,627.00,631.50,610.00,620.00,-1.12,52325.00,32564873.20,-1
2023-12-21,615.00,621.00,601.30,608.00,-1.94,29995.00,18303422.30,-1
2023-12-24,600.50,620.00,587.00,604.00,-0.66,53608.00,32683367.00,-1
2023-12-25,600.50,620.00,587.00,604.00,-0.66,53608.00,32683367.00,-1
2023-12-26,600.50,620.00,587.00,604.00,-0.66,53608.00,32683367.00,-1
2023-12-27,597.00,628.00,597.00,615.00,1.82,64269.00,39636463.20,1
2023-12-28,620.00,648.70,614.00,638.10,3.76,103988.00,66264917.00,1
2023-12-31,620.00,648.70,614.00,638.10,3.76,103988.00,66264917.00,1
2024-01-01,643.90,664.00,643.00,650.00,1.86,73491.00,48077984.70,1
2024-01-02,648.90,648.90,625.00,626.00,-3.69,43242.00,27430239.70,-1
2024-01-03,638.00,642.60,622.00,642.60,2.65,45492.00,28833714.90,1
2024-01-04,650.00,652.00,635.00,635.00,-1.18,38639.00,24896214.40,-1
2024-01-07,635.00,640.00,625.00,625.00,-1.57,65488.00,41422398.00,-1
2024-01-08,637.50,643.00,627.00,640.00,2.40,28265.00,18059193.10,1
2024-01-09,649.80,655.00,640.00,641.10,0.17,48947.00,31762661.10,1
