published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,784.00,788.00,752.70,760.00,-1.81,30411.00,23159329.00,-1
2021-11-05,784.00,788.00,752.70,760.00,-1.81,30411.00,23159329.00,-1
2021-11-08,775.00,775.20,741.10,751.00,-1.18,18575.00,13893709.70,-1
2021-11-09,766.00,766.00,695.00,709.00,-5.59,60586.00,43461717.90,-1
2021-11-10,766.00,766.00,695.00,709.00,-5.59,60586.00,43461717.90,-1
2021-11-11,696.10,719.00,690.00,708.20,-0.11,26538.00,18739779.00,-1
2021-11-12,696.10,719.00,690.00,708.20,-0.11,26538.00,18739779.00,-1
2021-11-15,720.00,734.00,700.00,712.00,0.42,17040.00,12122002.50,1
2021-11-16,710.00,750.00,710.00,748.00,5.06,28276.00,20602790.60,1
2021-11-17,755.00,755.00,726.50,729.00,-2.54,47691.00,35517902.50,-1
2021-11-18,718.00,749.00,715.00,725.00,-0.55,47645.00,34873172.50,-1
2021-11-19,718.00,749.00,715.00,725.00,-0.55,47645.00,34873172.50,-1
2021-11-22,721.00,742.00,721.00,735.00,1.38,33753.00,24892043.70,1
2021-11-23,722.10,735.00,719.10,727.90,-0.97,28791.00,20896943.50,-1
2021-11-24,714.10,740.00,706.00,740.00,1.66,12236.00,8845874.00,1
2021-11-25,746.00,746.00,719.00,719.00,-2.84,19517.00,14169102.00,-1
2021-11-26,746.00,746.00,719.00,719.00,-2.84,19517.00,14169102.00,-1
2021-11-29,690.00,708.00,677.00,678.00,-1.17,7204.00,4932820.50,-1
2021-11-30,691.00,705.00,669.00,700.00,3.24,11841.00,8021552.60,1
2021-12-01,700.00,714.00,676.20,676.20,-3.40,8487.00,5861152.50,-1
2021-12-02,688.00,688.00,648.00,655.00,-3.14,13935.00,9222092.00,-1
2021-12-03,688.00,688.00,648.00,655.00,-3.14,13935.00,9222092.00,-1
2021-12-06,625.00,653.00,610.00,652.00,2.35,17933.00,11258745.80,1
2021-12-07,665.00,670.00,630.00,630.00,-3.37,7838.00,5076933.00,-1
2021-12-08,620.00,626.00,605.00,614.90,-2.40,13033.00,7995476.00,-1
2021-12-09,604.00,639.00,603.00,619.00,0.67,4927.00,3024497.00,1
2021-12-10,604.00,639.00,603.00,619.00,0.67,4927.00,3024497.00,1
2021-12-13,578.00,580.00,550.00,567.00,-3.57,16076.00,9062860.00,-1
2021-12-14,578.30,590.00,578.30,590.00,4.06,6290.00,3688349.00,1
2021-12-15,601.80,630.00,590.00,598.00,1.36,11197.00,6783987.00,1
2021-12-16,609.90,609.90,575.00,575.00,-3.85,4306.00,2513337.00,-1
2021-12-17,609.90,609.90,575.00,575.00,-3.85,4306.00,2513337.00,-1
2021-12-20,570.00,581.00,565.00,565.00,-1.74,4976.00,2829801.50,-1
2021-12-21,576.00,580.00,560.00,576.00,1.95,8284.00,4735304.00,1
2021-12-22,586.90,618.00,586.80,598.00,3.82,12763.00,7625895.50,1
2021-12-23,607.00,642.00,598.00,620.00,3.68,20554.00,12768030.80,1
2021-12-24,607.00,642.00,598.00,620.00,3.68,20554.00,12768030.80,1
2021-12-27,695.00,714.00,650.00,660.00,-3.23,46547.00,31450581.40,-1
2021-12-28,647.10,659.90,635.10,655.00,-0.76,12281.00,7971528.40,-1
2021-12-29,668.00,672.00,645.00,656.70,0.26,16635.00,10891926.20,1
2021-12-30,668.00,672.00,645.00,656.70,0.26,16635.00,10891926.20,1
2021-12-31,668.00,672.00,645.00,656.70,0.26,16635.00,10891926.20,1
2022-01-03,694.30,694.30,667.00,667.00,-2.03,17222.00,11646586.00,-1
2022-01-04,658.10,680.00,653.70,670.00,0.45,8633.00,5770528.00,1
2022-01-05,670.00,670.00,650.00,658.00,-1.79,13825.00,9098184.00,-1
2022-01-06,645.00,671.00,644.90,665.00,1.06,9190.00,6086357.60,1
2022-01-07,645.00,671.00,644.90,665.00,1.06,9190.00,6086357.60,1
2022-01-10,684.00,716.00,678.00,713.00,4.24,52603.00,36908494.40,1
2022-01-11,726.00,745.60,715.20,735.00,3.09,53575.00,39546996.90,1
2022-01-12,735.00,747.80,698.00,715.00,-2.72,54633.00,39160052.40,-1
2022-01-13,715.00,735.00,711.00,728.00,1.82,26290.00,19054761.60,1
2022-01-14,715.00,735.00,711.00,728.00,1.82,26290.00,19054761.60,1
2022-01-17,753.00,753.00,726.20,736.00,-0.67,42751.00,31486790.00,-1
2022-01-18,739.90,742.90,722.00,725.00,-1.49,22639.00,16530076.50,-1
2022-01-19,738.00,738.00,715.00,716.10,-1.23,23408.00,16938689.00,-1
2022-01-20,716.00,746.80,707.00,738.00,3.06,48535.00,35553189.50,1
2022-01-21,716.00,746.80,707.00,738.00,3.06,48535.00,35553189.50,1
2022-01-24,729.00,738.00,715.00,728.00,-1.90,53452.00,38848900.00,-1
