published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-27,1211.00,1259.90,1211.00,1259.90,4.04,40.00,49171.00,1
2022-05-30,1257.70,1363.60,1257.70,1363.60,8.23,70.00,90771.00,1
2022-05-31,1390.80,1475.80,1390.80,1475.80,8.23,50.00,71263.60,1
2022-06-01,1505.30,1535.40,1505.30,1535.40,4.04,30.00,45524.00,1
2022-06-02,1566.10,1597.40,1566.10,1597.40,4.04,20.00,31635.00,1
2022-06-03,1603.30,1757.10,1603.30,1757.10,10.00,60.00,101003.00,1
2022-06-06,1792.20,1932.80,1792.20,1932.80,10.00,130.00,247816.00,1
2022-06-07,1971.40,2126.00,1971.40,2126.00,10.00,190.00,400152.00,1
2022-06-08,2168.50,2338.60,2168.50,2338.60,10.00,90.00,206304.00,1
2022-06-09,2385.30,2572.40,2385.30,2572.40,10.00,160.00,406999.00,1
2022-06-10,2572.00,2829.60,2572.00,2829.60,10.00,1857.00,5223049.20,1
2022-06-13,2886.10,3112.50,2700.00,2702.00,-4.51,20060.00,56364035.00,-1
2022-06-14,2740.00,2740.00,2560.00,2564.00,-5.11,11051.00,28760198.20,-1
2022-06-15,2565.00,2565.00,2425.00,2508.20,-2.18,5667.00,14031019.50,-1
2022-06-16,2460.00,2550.00,2460.00,2550.00,1.67,3304.00,8256605.60,1
2022-06-17,2599.90,2601.00,2526.30,2545.00,-0.20,1720.00,4391421.20,-1
2022-06-19,2530.00,2550.00,2490.10,2502.00,-1.69,2230.00,5591690.00,-1
2022-06-20,2455.00,2500.00,2405.10,2415.00,-3.48,3197.00,7799295.60,-1
2022-06-21,2400.00,2510.00,2400.00,2499.00,3.48,2325.00,5742481.50,1
2022-06-22,2461.00,2476.00,2420.10,2465.00,-1.36,1530.00,3742084.20,-1
2022-06-23,2418.00,2430.00,2380.00,2386.00,-3.20,2552.00,6123800.00,-1
2022-07-05,2695.00,2906.70,2645.00,2710.00,-1.45,2558.00,6988640.00,-1
2022-07-06,2730.00,2758.90,2663.00,2730.00,0.74,1991.00,5411855.40,1
2022-07-07,2730.00,2849.90,2702.00,2716.00,-0.51,1485.00,4086079.00,-1
2022-07-08,2770.00,2770.00,2670.70,2675.00,-1.51,945.00,2541877.00,-1
2022-07-10,2770.00,2770.00,2670.70,2675.00,-1.51,945.00,2541877.00,-1
2022-07-11,2625.00,2625.00,2572.00,2595.00,-2.99,1830.00,4762202.00,-1
2022-07-12,2600.00,2630.00,2560.00,2620.00,0.96,1218.00,3177854.30,1
