published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-25,293.00,293.00,263.70,264.00,-9.90,118856.00,31625318.60,-1
2023-09-26,258.80,276.50,258.00,275.00,4.17,63032.00,16871595.20,1
2023-09-27,275.00,301.50,274.00,293.00,6.55,37432.00,10831769.90,1
2023-09-28,275.00,301.50,274.00,293.00,6.55,37432.00,10831769.90,1
2023-10-01,290.00,290.00,263.80,266.00,-9.22,68013.00,18419323.00,-1
2023-10-02,260.70,280.00,252.00,275.00,3.38,42692.00,11075939.70,1
2023-10-03,270.00,270.80,250.30,262.00,-4.73,29670.00,7830033.80,-1
2023-10-04,267.20,268.00,257.10,261.10,-0.34,27206.00,7113099.30,-1
2023-10-05,265.00,270.00,255.00,258.00,-1.19,21735.00,5670646.50,-1
2023-10-08,262.10,271.90,252.10,263.00,1.94,37222.00,9698184.60,1
2023-10-09,260.00,285.60,258.10,273.00,3.80,62477.00,17141655.10,1
2023-10-10,273.00,290.00,271.00,289.00,5.86,57377.00,16014874.70,1
2023-10-11,290.00,300.00,282.30,293.10,1.42,57844.00,16850292.70,1
2023-10-12,288.00,298.90,279.00,290.00,-1.06,53633.00,15260363.00,-1
2023-10-15,288.00,298.90,279.00,290.00,-1.06,53633.00,15260363.00,-1
2023-10-16,284.20,284.20,268.70,269.30,-7.14,23129.00,6335064.80,-1
2023-10-17,267.00,279.90,264.00,266.60,-1.00,33009.00,8925633.80,-1
2023-10-18,266.00,279.90,263.30,274.90,3.11,24107.00,6587397.00,1
2023-10-19,272.00,277.40,263.80,271.00,-1.42,13606.00,3657363.90,-1
2023-10-22,272.00,277.40,263.80,271.00,-1.42,13606.00,3657363.90,-1
2023-10-23,272.00,277.40,263.80,271.00,-1.42,13606.00,3657363.90,-1
2023-10-24,272.00,277.40,263.80,271.00,-1.42,13606.00,3657363.90,-1
2023-10-25,272.00,277.40,263.80,271.00,-1.42,13606.00,3657363.90,-1
2023-10-26,272.00,277.40,263.80,271.00,-1.42,13606.00,3657363.90,-1
2023-10-29,267.00,284.20,262.00,265.00,-2.21,22960.00,6238683.50,-1
2023-10-30,270.00,291.50,261.20,271.00,2.26,11504.00,3096246.20,1
2023-10-31,270.00,276.40,261.00,268.00,-1.11,7290.00,1923418.00,-1
2023-11-01,268.70,289.80,256.10,262.70,-1.98,11781.00,3081113.00,-1
2023-11-02,257.60,260.20,252.50,257.00,-2.17,17844.00,4566926.50,-1
2023-11-05,252.40,254.00,247.40,249.50,-2.92,17341.00,4347556.60,-1
2023-11-06,245.30,258.00,245.30,254.00,1.80,9902.00,2500666.00,1
2023-11-07,257.00,259.00,242.00,249.80,-1.65,30672.00,7597080.10,-1
2023-11-08,244.90,250.00,241.10,247.00,-1.12,23653.00,5785213.00,-1
2023-11-09,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-12,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-13,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-14,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-15,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-16,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-19,242.10,246.00,238.20,240.00,-2.83,17589.00,4235482.00,-1
2023-11-20,236.80,244.80,231.00,236.90,-1.29,13931.00,3291010.50,-1
2023-11-21,232.20,232.20,221.10,225.00,-5.02,16216.00,3635758.20,-1
2023-11-22,220.50,229.50,217.10,223.00,-0.89,12540.00,2799558.00,-1
2023-11-23,227.00,236.50,219.00,236.50,6.05,11185.00,2537844.50,1
2023-11-26,236.50,243.00,227.40,241.00,1.90,22389.00,5305759.50,1
2023-11-27,245.00,245.00,234.00,236.00,-2.07,9625.00,2281466.40,-1
2023-11-28,236.00,240.90,228.60,240.90,2.08,24417.00,5695453.90,1
2023-11-29,236.10,240.00,228.00,232.00,-3.69,11680.00,2705203.00,-1
2023-11-30,227.40,233.50,222.00,224.00,-3.45,17577.00,3978110.00,-1
2023-12-03,228.00,230.50,219.70,223.00,-0.45,11340.00,2532814.00,-1
2023-12-04,220.80,229.00,220.80,224.10,0.49,11429.00,2577447.30,1
2023-12-05,222.00,231.90,222.00,226.00,0.85,14913.00,3364315.00,1
2023-12-06,222.10,226.00,222.10,224.00,-0.88,5630.00,1261392.00,-1
2023-12-07,226.50,232.80,223.00,227.00,1.34,22987.00,5265500.40,1
2023-12-10,231.50,247.00,231.50,247.00,8.81,1275.00,313476.00,1
2023-12-11,250.00,250.00,232.40,244.90,-0.85,34656.00,8301165.60,-1
2023-12-12,248.00,251.00,233.80,247.00,0.86,41271.00,10085911.40,1
2023-12-13,247.00,267.30,247.00,249.00,0.81,49380.00,12599766.50,1
2023-12-14,245.00,264.00,245.00,260.00,4.42,28595.00,7290064.90,1
2023-12-17,255.00,278.90,250.00,278.90,7.27,53010.00,14334560.50,1
2023-12-18,281.00,282.60,264.00,269.80,-3.26,60852.00,16588998.90,-1
2023-12-19,270.00,272.00,260.00,270.00,0.07,21530.00,5728248.80,1
2023-12-20,270.00,279.40,262.00,269.80,-0.07,38131.00,10322416.00,-1
2023-12-21,275.10,275.10,256.00,256.00,-5.11,37593.00,9876416.40,-1
2023-12-24,256.00,271.00,256.00,261.00,1.95,48664.00,12940587.50,1
2023-12-25,256.00,271.00,256.00,261.00,1.95,48664.00,12940587.50,1
2023-12-26,256.00,271.00,256.00,261.00,1.95,48664.00,12940587.50,1
2023-12-27,262.00,279.00,262.00,275.00,5.36,60120.00,16378539.00,1
2023-12-28,280.00,299.00,265.00,296.50,7.82,96908.00,28096125.30,1
2023-12-31,280.00,299.00,265.00,296.50,7.82,96908.00,28096125.30,1
2024-01-01,302.40,307.00,279.00,280.50,-5.40,58636.00,17071016.30,-1
2024-01-02,276.30,286.10,269.50,273.00,-2.67,44494.00,12198457.80,-1
2024-01-03,268.00,285.10,268.00,284.90,4.36,26414.00,7430294.60,1
2024-01-04,279.30,293.60,279.30,280.00,-1.72,65130.00,18675284.80,-1
2024-01-07,278.00,296.00,278.00,282.00,0.71,50358.00,14411485.70,1
2024-01-08,285.00,310.20,282.00,304.10,7.84,77169.00,22992974.80,1
2024-01-09,304.10,324.00,304.10,306.00,0.62,78858.00,24898227.00,1
2024-01-10,311.00,317.00,301.20,301.30,-1.54,46433.00,14360618.30,-1
2024-01-11,302.00,327.00,302.00,316.20,4.95,60403.00,19104064.20,1
2024-01-14,322.50,337.00,320.20,328.00,3.73,45127.00,14914380.00,1
2024-01-15,322.50,337.00,320.20,328.00,3.73,45127.00,14914380.00,1
2024-01-16,330.00,339.90,314.60,320.00,-2.44,84605.00,27851418.60,-1
2024-01-17,321.00,326.60,297.00,299.00,-6.56,65308.00,20146191.60,-1
2024-01-18,294.00,321.00,294.00,310.00,3.68,41321.00,12683028.90,1
2024-01-21,305.00,336.00,305.00,313.60,1.16,96514.00,30983611.70,1
2024-01-22,310.30,332.00,310.30,319.90,2.01,63358.00,20518544.00,1
2024-01-23,321.00,327.40,314.00,318.50,-0.44,28836.00,9224443.20,-1
2024-01-24,313.10,320.00,302.90,308.00,-3.30,18609.00,5824883.60,-1
2024-01-25,303.80,314.10,298.00,299.00,-2.92,43612.00,13208634.50,-1
2024-01-28,303.00,315.00,297.00,308.00,3.01,28755.00,8809809.90,1
2024-01-29,314.00,317.00,304.00,312.00,1.30,36267.00,11311133.80,1
2024-01-30,312.00,328.00,311.00,322.80,3.46,42737.00,13732290.60,1
2024-01-31,322.80,329.00,307.10,312.80,-3.10,26692.00,8437630.20,-1
2024-02-01,307.10,310.00,302.10,304.00,-2.81,21045.00,6423674.00,-1
2024-02-04,304.00,309.00,298.10,303.10,-0.30,19060.00,5780282.60,-1
2024-02-05,300.00,311.00,299.90,309.00,1.95,19612.00,6009308.80,1
2024-02-06,309.00,310.00,304.80,309.40,0.13,8828.00,2715476.40,1
2024-02-07,309.40,319.00,306.50,314.10,1.52,38127.00,11982079.10,1
2024-02-08,320.00,338.40,311.00,333.00,6.02,113178.00,37414707.50,1
2024-02-11,339.60,346.90,334.20,340.00,2.10,67287.00,22951396.20,1
2024-02-12,346.80,356.80,331.00,355.00,4.41,114403.00,39467185.70,1
2024-02-13,350.00,371.00,343.00,356.00,0.28,94137.00,33672967.50,1
2024-02-14,349.00,360.00,343.10,352.00,-1.12,52843.00,18554785.20,-1
2024-02-15,345.50,356.00,345.10,353.00,0.28,63104.00,22058414.70,1
2024-02-18,350.00,350.00,334.00,334.20,-5.33,48733.00,16501481.00,-1
2024-02-19,350.00,350.00,334.00,334.20,-5.33,48733.00,16501481.00,-1
2024-02-20,332.00,340.00,331.50,333.00,-0.36,35823.00,12010862.00,-1
2024-02-21,339.00,339.60,329.00,334.00,0.30,19153.00,6390732.00,1
