published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-06-13,386.0,395.0,380.0,391.0,nan,5391.0,2087554.0,0
2017-06-14,391.0,390.0,385.0,388.0,-0.77,7302.0,2824040.0,0
2017-06-15,388.0,396.0,382.0,382.0,-1.55,8263.0,3189949.0,0
2017-06-18,382.0,385.0,375.0,378.0,-1.05,4470.0,1690235.0,0
2017-06-19,378.0,380.0,362.0,363.0,-3.97,4189.0,1531826.0,0
2017-06-20,363.0,374.0,356.0,374.0,3.03,2483.0,899016.0,0
2017-06-21,374.0,374.0,363.0,369.0,-1.34,1679.0,617975.0,0
2017-06-22,369.0,372.0,365.0,367.0,-0.54,1763.0,649207.0,0
2017-06-25,367.0,375.0,360.0,369.0,0.54,2346.0,861490.0,0
2017-06-27,369.0,367.0,360.0,360.0,-2.44,3500.0,1269888.0,0
2017-06-28,360.0,365.0,358.0,359.0,-0.28,2711.0,975043.0,0
2017-07-02,359.0,353.0,345.0,346.0,-3.62,2447.0,849671.0,0
2017-07-03,346.0,353.0,345.0,345.0,-0.29,4070.0,1421688.0,0
2017-07-04,345.0,350.0,341.0,341.0,-1.16,1804.0,618904.0,0
2017-07-05,341.0,344.0,336.0,340.0,-0.29,3798.0,1285437.0,0
2017-07-06,340.0,352.0,341.0,342.0,0.59,2097.0,724732.0,0
2017-07-09,342.0,344.0,336.0,337.0,-1.46,3039.0,1032826.0,0
2017-07-10,337.0,338.0,331.0,331.0,-1.78,5720.0,1914778.0,0
2017-07-11,331.0,344.0,330.0,339.0,2.42,5026.0,1682074.0,0
2017-07-12,339.0,354.0,334.0,352.0,3.83,4177.0,1442171.0,0
2017-07-13,352.0,347.0,341.0,341.0,-3.12,3008.0,1031846.0,0
2017-07-16,341.0,341.0,335.0,336.0,-1.47,1372.0,462056.0,0
2017-07-17,336.0,345.0,333.0,340.0,1.19,1888.0,641270.0,0
2017-07-18,340.0,348.0,337.0,345.0,1.47,1647.0,563319.0,0
2017-07-19,345.0,363.0,340.0,344.0,-0.29,2661.0,919975.0,0
2017-07-20,344.0,344.0,333.0,340.0,-1.16,5354.0,1809377.0,0
2017-07-23,340.0,340.0,334.0,336.0,-1.18,2588.0,866698.0,0
2017-07-24,336.0,340.0,334.0,337.0,0.30,1995.0,672194.0,0
2017-07-25,337.0,340.0,335.0,337.0,0.0,1489.0,503971.0,0
2017-07-26,337.0,345.0,340.0,345.0,2.37,6312.0,2159088.0,0
2017-07-27,345.0,350.0,330.0,344.0,-0.29,2004.0,679539.0,0
2017-07-30,344.0,344.0,335.0,337.0,-2.03,2321.0,786398.0,0
2017-07-31,337.0,340.0,332.0,338.0,0.30,5884.0,1980523.0,0
2017-08-01,338.0,360.0,339.0,360.0,6.51,5146.0,1789939.0,0
2017-08-02,360.0,353.0,335.0,341.0,-5.28,3739.0,1287539.0,0
2017-08-03,341.0,349.0,337.0,349.0,2.35,1889.0,648294.0,0
2017-08-06,349.0,346.0,339.0,341.0,-2.29,1633.0,558332.0,0
2017-08-07,341.0,341.0,333.0,334.0,-2.05,7671.0,2578978.0,0
2017-08-09,334.0,334.0,329.0,333.0,-0.30,5343.0,1769598.0,0
2017-08-10,333.0,333.0,328.0,331.0,-0.60,2688.0,887406.0,0
2017-08-13,331.0,331.0,322.0,325.0,-1.81,3814.0,1248738.0,0
2017-08-15,325.0,324.0,307.0,312.0,-4.00,4539.0,1425738.0,0
2017-08-16,312.0,322.0,303.0,309.0,-0.96,3854.0,1196876.0,0
2017-08-17,309.0,307.0,300.0,307.0,-0.65,1299.0,395102.0,0
2017-08-20,307.0,302.0,296.0,300.0,-2.28,1556.0,467270.0,0
2017-08-21,300.0,305.0,290.0,294.0,-2.00,842.0,249803.0,0
2017-08-22,294.0,296.0,282.0,291.0,-1.02,4023.0,1169111.0,0
2017-08-23,291.0,296.0,282.0,288.0,-1.03,1338.0,385746.0,0
2017-08-24,288.0,294.0,284.0,290.0,0.69,1141.0,326884.0,0
2017-08-27,290.0,300.0,275.0,300.0,3.45,6252.0,1759922.0,0
2017-08-28,300.0,310.0,286.0,304.0,1.33,2635.0,772232.0,0
2017-08-30,304.0,298.0,290.0,290.0,-4.61,689.0,202536.0,0
2017-08-31,290.0,290.0,282.0,282.0,-2.76,1122.0,320077.0,0
2017-09-04,282.0,278.0,265.0,278.0,-1.42,2279.0,616621.0,0
2017-09-06,278.0,279.0,273.0,274.0,-1.44,2243.0,617761.0,0
2017-09-07,274.0,274.0,254.0,260.0,-5.11,5305.0,1401361.0,0
2017-09-10,260.0,256.0,246.0,251.0,-3.46,1852.0,463641.0,0
2017-09-11,251.0,250.0,243.0,246.0,-1.99,549.0,135893.0,0
2017-09-12,246.0,245.0,241.0,244.0,-0.81,1127.0,273477.0,0
2017-09-13,244.0,248.0,243.0,248.0,1.64,1139.0,278845.0,0
2017-09-14,248.0,257.0,247.0,257.0,3.63,1826.0,460312.0,0
2017-09-17,257.0,266.0,253.0,266.0,3.50,1937.0,500310.0,0
2017-09-18,266.0,271.0,261.0,263.0,-1.13,1112.0,293283.0,0
2017-09-20,263.0,261.0,258.0,260.0,-1.14,449.0,116700.0,0
2017-09-24,260.0,262.0,256.0,256.0,-1.54,295.0,76772.0,0
2017-09-25,256.0,261.0,255.0,261.0,1.95,1115.0,285545.0,0
2017-09-26,261.0,270.0,262.0,270.0,3.45,398.0,105506.0,0
