published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-07,232.0,252.0,232.0,249.0,2.05,13527.0,3327032.0,1
2021-02-08,237.0,249.0,237.0,242.0,-2.81,5610.0,1361250.0,-1
2021-02-09,239.0,249.0,237.0,238.0,-1.65,4380.0,1051190.0,-1
2021-02-10,235.0,242.0,235.0,242.0,1.68,4360.0,1033390.0,1
2021-02-11,246.0,248.0,232.0,242.0,0.0,5256.0,1254510.0,0
2021-02-14,238.0,240.0,230.0,233.0,-3.72,1884.0,440695.0,-1
2021-02-15,235.0,248.0,229.0,243.0,4.29,4219.0,996176.0,1
2021-02-16,239.0,240.0,235.0,235.0,-3.29,2740.0,647570.0,-1
2021-02-17,224.0,236.0,224.0,234.0,-0.43,6910.0,1608460.0,-1
2021-02-18,230.0,244.0,230.0,240.0,2.56,2670.0,628250.0,1
2021-02-21,240.0,244.0,236.0,237.0,-1.25,11214.0,2678033.0,-1
2021-02-22,226.0,255.0,226.0,250.0,5.49,23943.0,5938670.0,1
2021-02-23,259.0,259.0,237.0,251.0,0.4,6655.0,1638945.0,1
2021-02-24,246.0,249.0,239.0,240.0,-4.38,4170.0,1024830.0,-1
2021-02-25,236.0,245.0,232.0,240.0,0.0,7849.0,1841207.0,0
2021-02-28,236.0,236.0,226.0,231.0,-3.75,6785.0,1563980.0,-1
2021-03-01,227.0,238.0,223.0,232.0,0.43,3675.0,842945.0,1
2021-03-02,236.0,236.0,225.0,225.0,-3.02,4820.0,1102315.0,-1
2021-03-03,224.0,228.0,220.0,222.0,-1.33,5385.0,1201785.0,-1
2021-03-04,221.0,234.0,221.0,231.0,4.05,6992.0,1603538.0,1
2021-03-07,230.0,235.0,222.0,232.0,0.43,4565.0,1040130.0,1
2021-03-09,243.0,243.0,226.0,226.0,-2.59,5331.0,1215938.0,-1
2021-03-10,226.0,232.0,223.0,231.0,2.21,1911.0,435603.0,1
2021-03-14,240.0,241.0,229.0,236.0,2.16,7749.0,1818041.0,1
2021-03-15,236.0,240.0,229.0,231.0,-2.12,3540.0,823750.0,-1
2021-03-16,220.0,245.0,220.0,237.0,2.6,7101.0,1677183.0,1
2021-03-17,248.0,260.0,230.0,260.0,9.7,23083.0,5871491.0,1
2021-03-18,273.0,286.0,258.0,286.0,10.0,67827.0,19229280.0,1
2021-03-21,300.0,314.0,279.0,314.0,9.79,30005.0,9008559.0,1
2021-03-22,329.0,329.0,289.0,312.0,-0.64,19755.0,5979802.0,-1
2021-03-23,327.0,333.0,290.0,315.0,0.96,34234.0,10712970.0,1
2021-03-24,309.0,323.0,297.0,317.0,0.63,10707.0,3327707.0,1
2021-03-25,317.0,327.0,294.0,320.0,0.95,17965.0,5597187.0,1
2021-03-29,314.0,339.0,302.0,338.0,5.63,11472.0,3608672.0,1
2021-03-30,332.0,332.0,308.0,320.0,-5.33,13003.0,4174970.0,-1
2021-03-31,320.0,325.0,305.0,310.0,-3.13,15937.0,4972124.0,-1
2021-04-01,312.0,322.0,300.0,302.0,-2.58,12433.0,3754116.0,-1
2021-04-04,298.0,315.0,295.0,305.0,0.99,11840.0,3566840.0,1
2021-04-05,315.0,315.0,287.0,300.0,-1.64,6710.0,2006950.0,-1
2021-04-06,295.0,330.0,294.0,330.0,10.0,8063.0,2420043.0,1
2021-04-07,330.0,330.0,306.0,310.0,-6.06,17906.0,5594953.0,-1
2021-04-08,305.0,312.0,300.0,307.0,-0.97,6952.0,2136553.0,-1
2021-04-12,301.0,301.0,294.0,300.0,-2.28,14735.0,4359315.0,-1
2021-04-13,294.0,300.0,293.0,297.0,-1.0,8654.0,2566485.0,-1
2021-04-15,294.0,307.0,294.0,298.0,0.34,8954.0,2666992.0,1
2021-04-18,293.0,299.0,292.0,293.0,-1.68,5683.0,1671582.0,-1
