published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,2447.00,2447.00,2371.00,2430.00,0.58,1921.00,4623519.00,1
2021-11-05,2447.00,2447.00,2371.00,2430.00,0.58,1921.00,4623519.00,1
2021-11-08,2383.10,2425.00,2382.00,2404.00,-1.07,730.00,1752419.90,-1
2021-11-09,2356.00,2373.00,2310.00,2338.00,-2.75,2625.00,6127723.30,-1
2021-11-10,2356.00,2373.00,2310.00,2338.00,-2.75,2625.00,6127723.30,-1
2021-11-11,2291.40,2333.00,2256.00,2256.00,-3.51,2253.00,5144414.50,-1
2021-11-12,2291.40,2333.00,2256.00,2256.00,-3.51,2253.00,5144414.50,-1
2021-11-15,2217.00,2295.00,2215.00,2295.00,1.73,1021.00,2296334.70,1
2021-11-16,2252.00,2338.00,2240.00,2300.00,0.22,3002.00,6833403.80,1
2021-11-17,2267.50,2297.00,2265.00,2297.00,-0.13,1108.00,2515431.20,-1
2021-11-18,2255.00,2270.00,2209.90,2270.00,-1.18,1353.00,3030570.90,-1
2021-11-19,2255.00,2270.00,2209.90,2270.00,-1.18,1353.00,3030570.90,-1
2021-11-22,2270.10,2285.00,2245.00,2281.00,0.48,619.00,1403303.20,1
2021-11-23,2241.00,2245.00,2240.00,2240.00,-1.80,696.00,1560339.80,-1
2021-11-24,2195.50,2200.00,2140.30,2190.00,-2.23,1877.00,4061663.00,-1
2021-11-25,2170.00,2170.00,2130.00,2133.00,-2.60,1386.00,2981718.90,-1
2021-11-26,2170.00,2170.00,2130.00,2133.00,-2.60,1386.00,2981718.90,-1
2021-11-29,2023.00,2023.00,1940.30,1940.30,-3.96,1968.00,3887302.60,-1
2021-11-30,1979.00,1979.00,1930.00,1931.10,-0.47,671.00,1305141.20,-1
2021-12-01,1968.00,2009.00,1900.00,1960.00,1.50,3054.00,5883408.90,1
2021-12-02,1940.00,1940.00,1885.00,1885.00,-3.83,2071.00,3936536.00,-1
2021-12-03,1940.00,1940.00,1885.00,1885.00,-3.83,2071.00,3936536.00,-1
2021-12-06,1815.00,1815.00,1746.00,1813.00,-0.14,4257.00,7569223.40,-1
2021-12-07,1820.00,1860.00,1737.20,1737.20,-4.18,1941.00,3524005.00,-1
2021-12-08,1771.00,1771.00,1721.00,1721.00,-0.93,1205.00,2099387.20,-1
2021-12-09,1750.00,1755.40,1702.00,1745.00,1.39,1471.00,2548021.80,1
2021-12-10,1750.00,1755.40,1702.00,1745.00,1.39,1471.00,2548021.80,1
2021-12-13,1616.00,1654.00,1581.10,1592.00,-3.22,1615.00,2590865.20,-1
2021-12-14,1623.00,1751.20,1617.00,1751.20,10.00,348.00,578247.00,1
2021-12-15,1786.20,1855.00,1695.50,1700.00,-2.92,2923.00,5115103.50,-1
2021-12-16,1734.00,1734.00,1625.00,1625.00,-4.41,1967.00,3276135.30,-1
2021-12-17,1734.00,1734.00,1625.00,1625.00,-4.41,1967.00,3276135.30,-1
2021-12-20,1655.00,1700.00,1652.00,1670.00,2.77,1387.00,2321810.00,1
2021-12-21,1685.00,1738.00,1680.00,1738.00,4.07,1291.00,2205253.00,1
2021-12-22,1721.00,1837.00,1721.00,1837.00,5.70,1947.00,3527019.60,1
2021-12-23,1839.00,1887.00,1813.00,1855.00,0.98,3199.00,5896913.00,1
2021-12-24,1839.00,1887.00,1813.00,1855.00,0.98,3199.00,5896913.00,1
2021-12-27,1925.00,1957.30,1882.00,1908.00,-0.57,1661.00,3162364.60,-1
2021-12-28,1905.00,1946.10,1881.50,1935.00,1.42,4962.00,9566344.70,1
2021-12-29,1491.00,1525.00,1459.50,1463.00,-1.71,2053.00,3024469.00,-1
2021-12-30,1491.00,1525.00,1459.50,1463.00,-1.71,2053.00,3024469.00,-1
2021-12-31,1491.00,1525.00,1459.50,1463.00,-1.71,2053.00,3024469.00,-1
2022-01-03,1587.00,1587.00,1534.40,1534.40,-1.39,1096.00,1712574.90,-1
2022-01-04,1548.00,1559.00,1531.10,1559.00,1.60,330.00,510753.00,1
2022-01-05,1530.20,1549.00,1507.10,1549.00,-0.64,890.00,1361539.40,-1
2022-01-06,1565.00,1577.00,1544.00,1569.00,1.29,2088.00,3270824.00,1
2022-01-07,1565.00,1577.00,1544.00,1569.00,1.29,2088.00,3270824.00,1
2022-01-10,1570.00,1597.00,1561.00,1595.00,0.19,1203.00,1897628.00,1
2022-01-11,1595.00,1660.00,1590.00,1660.00,4.08,3064.00,4977137.50,1
2022-01-12,1660.00,1692.00,1638.00,1640.00,-1.20,1548.00,2577956.90,-1
2022-01-13,1655.00,1679.90,1650.00,1679.90,2.43,634.00,1049797.00,1
2022-01-14,1655.00,1679.90,1650.00,1679.90,2.43,634.00,1049797.00,1
2022-01-17,1740.00,1750.00,1703.00,1720.00,-1.15,1321.00,2276946.00,-1
2022-01-18,1750.00,1750.00,1662.10,1700.00,-1.16,766.00,1300496.00,-1
2022-01-19,1700.00,1700.00,1670.00,1670.00,-1.76,366.00,619126.00,-1
2022-01-20,1640.00,1669.00,1640.00,1668.00,-0.12,702.00,1158825.80,-1
2022-01-21,1640.00,1669.00,1640.00,1668.00,-0.12,702.00,1158825.80,-1
2022-01-24,1690.00,1690.00,1631.00,1635.00,-3.76,476.00,786175.90,-1
2022-01-25,1603.00,1635.00,1590.00,1600.00,-2.14,2723.00,4390907.00,-1
2022-01-26,1600.00,1600.00,1568.00,1596.00,-0.25,467.00,736797.00,-1
2022-01-27,1599.90,1600.00,1566.00,1591.00,-0.31,1406.00,2217688.80,-1
2022-01-28,1599.90,1600.00,1566.00,1591.00,-0.31,1406.00,2217688.80,-1
2022-01-31,1693.20,1761.00,1630.00,1640.00,-1.20,1033.00,1711679.00,-1
2022-02-01,1650.00,1665.00,1650.00,1665.00,1.52,968.00,1598857.00,1
2022-02-02,1650.00,1665.00,1650.00,1665.00,1.52,968.00,1598857.00,1
2022-02-03,1698.00,1698.00,1635.00,1636.00,-1.74,344.00,569257.60,-1
2022-02-04,1698.00,1698.00,1635.00,1636.00,-1.74,344.00,569257.60,-1
2022-02-07,1600.00,1620.00,1600.00,1605.00,0.00,264.00,423916.60,0
2022-02-08,1610.00,1610.00,1600.00,1600.00,-0.31,50.00,80200.00,-1
2022-02-09,1605.00,1606.00,1581.00,1581.00,-1.19,244.00,388126.00,-1
2022-02-10,1566.00,1587.00,1566.00,1579.00,-0.13,192.00,303448.50,-1
2022-02-11,1566.00,1587.00,1566.00,1579.00,-0.13,192.00,303448.50,-1
2022-02-14,1500.00,1525.00,1490.00,1495.00,-1.52,930.00,1398603.40,-1
2022-02-15,1485.00,1540.00,1485.00,1540.00,3.01,475.00,722025.00,1
2022-02-16,1545.00,1545.00,1520.00,1520.00,-1.30,161.00,246000.00,-1
2022-02-17,1494.00,1523.00,1494.00,1505.00,-0.99,159.00,241279.00,-1
2022-02-18,1494.00,1523.00,1494.00,1505.00,-0.99,159.00,241279.00,-1
2022-02-21,1515.60,1530.00,1486.10,1514.00,1.88,410.00,617342.20,1
2022-02-22,1544.00,1544.00,1509.20,1512.00,-0.13,108.00,164361.60,-1
2022-02-23,1510.00,1520.00,1501.00,1505.00,-0.46,93.00,139997.00,-1
2022-02-24,1505.00,1510.00,1485.00,1507.00,0.13,455.00,680019.00,1
2022-02-25,1505.00,1510.00,1485.00,1507.00,0.13,455.00,680019.00,1
2022-02-28,1499.40,1499.40,1469.50,1480.00,-3.27,102.00,151201.00,-1
2022-03-01,1499.40,1499.40,1469.50,1480.00,-3.27,102.00,151201.00,-1
2022-03-02,1451.00,1458.00,1423.00,1423.00,-3.85,760.00,1097000.50,-1
2022-03-03,1451.00,1458.00,1423.00,1423.00,-3.85,760.00,1097000.50,-1
2022-03-04,1451.00,1458.00,1423.00,1423.00,-3.85,760.00,1097000.50,-1
2022-03-07,1435.00,1435.00,1387.00,1390.00,-1.25,579.00,806677.30,-1
2022-03-08,1435.00,1435.00,1387.00,1390.00,-1.25,579.00,806677.30,-1
2022-03-09,1399.00,1402.00,1375.00,1375.00,-1.08,236.00,328600.00,-1
2022-03-10,1375.00,1430.50,1375.00,1428.30,3.88,518.00,725815.00,1
2022-03-11,1375.00,1430.50,1375.00,1428.30,3.88,518.00,725815.00,1
2022-03-15,1515.00,1515.00,1485.00,1490.00,-1.65,203.00,302177.00,-1
2022-03-16,1495.00,1495.00,1470.00,1490.00,0.00,81.00,120620.00,0
2022-03-17,1495.00,1495.00,1470.00,1490.00,0.00,81.00,120620.00,0
2022-03-18,1495.00,1495.00,1470.00,1490.00,0.00,81.00,120620.00,0
2022-03-21,1490.00,1490.00,1461.00,1468.00,-0.81,117.00,172212.00,-1
2022-03-22,1455.20,1484.30,1455.20,1480.00,0.82,180.00,266589.40,1
2022-03-23,1451.00,1455.00,1440.00,1446.10,-2.29,287.00,416167.50,-1
2022-03-24,1431.10,1431.10,1431.10,1431.10,-1.04,10.00,14311.00,-1
2022-03-25,1431.10,1431.10,1431.10,1431.10,-1.04,10.00,14311.00,-1
2022-03-28,1440.00,1445.00,1396.00,1396.00,-2.04,744.00,1055218.00,-1
2022-03-29,1396.00,1400.00,1377.00,1380.00,-1.15,187.00,259044.00,-1
2022-03-30,1400.00,1407.00,1380.00,1407.00,1.96,164.00,230110.00,1
2022-03-31,1396.00,1410.00,1396.00,1410.00,0.21,158.00,221477.00,1
2022-04-01,1396.00,1410.00,1396.00,1410.00,0.21,158.00,221477.00,1
2022-04-04,1381.00,1401.00,1381.00,1390.00,0.35,134.00,186924.00,1
2022-04-05,1365.00,1365.00,1339.00,1352.00,-2.73,240.00,326178.00,-1
2022-04-06,1340.00,1340.00,1315.00,1316.00,-2.66,286.00,379172.00,-1
2022-04-07,1320.00,1335.00,1300.00,1321.00,0.38,189.00,249228.00,1
2022-04-08,1320.00,1335.00,1300.00,1321.00,0.38,189.00,249228.00,1
2022-04-11,1347.40,1374.30,1320.00,1320.00,-0.08,246.00,328623.90,-1
2022-04-12,1320.00,1320.00,1300.00,1301.00,-1.44,224.00,293851.00,-1
2022-04-13,1301.00,1320.00,1301.00,1320.00,1.46,128.00,167986.00,1
2022-04-14,1301.00,1320.00,1301.00,1320.00,1.46,128.00,167986.00,1
2022-04-15,1301.00,1320.00,1301.00,1320.00,1.46,128.00,167986.00,1
2022-04-18,1364.00,1390.10,1314.00,1360.00,-0.29,284.00,386301.00,-1
2022-04-19,1334.00,1375.00,1332.80,1375.00,1.10,330.00,448778.00,1
2022-04-20,1350.00,1350.00,1315.00,1315.00,-4.36,116.00,154166.00,-1
