published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1713.00,1750.00,1690.00,1750.00,4.17,5306.00,9158523.50,1
2021-11-05,1713.00,1750.00,1690.00,1750.00,4.17,5306.00,9158523.50,1
2021-11-08,1716.00,1716.00,1684.00,1685.00,-3.71,665.00,1127485.50,-1
2021-11-09,1667.00,1668.00,1602.00,1621.00,-3.80,5599.00,9124097.80,-1
2021-11-10,1667.00,1668.00,1602.00,1621.00,-3.80,5599.00,9124097.80,-1
2021-11-11,1590.00,1672.00,1589.00,1626.00,0.31,4620.00,7555660.00,1
2021-11-12,1590.00,1672.00,1589.00,1626.00,0.31,4620.00,7555660.00,1
2021-11-15,1682.00,1701.00,1655.00,1690.00,2.42,3879.00,6500077.20,1
2021-11-16,1690.00,1690.00,1616.00,1650.00,-2.37,7194.00,11812950.40,-1
2021-11-17,1650.00,1749.00,1650.00,1675.00,1.52,5415.00,9168440.20,1
2021-11-18,1680.00,1680.00,1630.00,1630.00,-2.69,597.00,985568.70,-1
2021-11-19,1680.00,1680.00,1630.00,1630.00,-2.69,597.00,985568.70,-1
2021-11-22,1591.00,1610.00,1590.00,1595.30,-0.48,922.00,1473764.00,-1
2021-11-23,1578.30,1582.10,1546.80,1546.80,-3.04,3589.00,5578048.70,-1
2021-11-24,1521.00,1570.00,1517.00,1559.50,0.82,780.00,1191484.50,1
2021-11-25,1559.00,1559.00,1541.00,1541.00,-1.19,742.00,1149614.50,-1
2021-11-26,1559.00,1559.00,1541.00,1541.00,-1.19,742.00,1149614.50,-1
2021-11-29,1448.00,1530.00,1448.00,1484.00,0.82,1344.00,1982148.80,1
2021-11-30,1458.10,1508.80,1454.50,1508.80,1.67,1085.00,1612946.60,1
2021-12-01,1480.00,1499.00,1479.00,1490.00,-1.25,313.00,464910.00,-1
2021-12-02,1470.00,1480.00,1460.30,1460.30,-1.99,909.00,1331295.30,-1
2021-12-03,1470.00,1480.00,1460.30,1460.30,-1.99,909.00,1331295.30,-1
2021-12-06,1432.00,1432.00,1324.00,1398.00,-0.43,2451.00,3396098.30,-1
2021-12-07,1425.90,1452.90,1398.00,1410.00,0.86,425.00,606852.90,1
2021-12-08,1430.00,1430.00,1355.00,1370.00,-2.84,845.00,1170400.00,-1
2021-12-09,1343.00,1395.00,1341.00,1395.00,1.82,778.00,1062205.20,1
2021-12-10,1343.00,1395.00,1341.00,1395.00,1.82,778.00,1062205.20,1
2021-12-13,1314.00,1314.00,1262.00,1275.00,-4.84,2765.00,3530646.90,-1
2021-12-14,1300.00,1379.50,1300.00,1356.00,6.35,778.00,1041297.10,1
2021-12-15,1350.00,1399.30,1345.00,1370.00,1.03,1541.00,2107312.00,1
2021-12-16,1350.00,1350.00,1320.00,1320.00,-3.65,451.00,599505.30,-1
2021-12-17,1350.00,1350.00,1320.00,1320.00,-3.65,451.00,599505.30,-1
2021-12-20,1320.00,1330.00,1315.00,1330.00,0.76,688.00,911545.80,1
2021-12-21,1356.00,1382.00,1354.00,1380.00,3.76,1644.00,2257312.20,1
2021-12-22,1407.60,1473.00,1407.60,1442.00,4.49,1894.00,2714562.60,1
2021-12-23,1450.00,1480.00,1450.00,1476.00,2.36,881.00,1286268.00,1
2021-12-24,1450.00,1480.00,1450.00,1476.00,2.36,881.00,1286268.00,1
2021-12-27,1297.60,1323.00,1266.00,1270.00,-0.17,1599.00,2067590.00,-1
2021-12-28,1270.00,1270.00,1247.00,1248.00,-1.73,307.00,384779.00,-1
2021-12-29,1248.00,1255.00,1240.00,1242.00,-0.48,968.00,1208122.00,-1
2021-12-30,1248.00,1255.00,1240.00,1242.00,-0.48,968.00,1208122.00,-1
2021-12-31,1248.00,1255.00,1240.00,1242.00,-0.48,968.00,1208122.00,-1
2022-01-03,1290.00,1346.00,1290.00,1330.00,4.72,5810.00,7677097.30,1
2022-01-04,1355.00,1400.00,1327.90,1385.00,4.14,4111.00,5646055.00,1
2022-01-05,1399.00,1399.00,1322.00,1322.00,-4.55,2333.00,3109266.80,-1
2022-01-06,1330.00,1348.00,1330.00,1336.00,1.06,463.00,619090.00,1
2022-01-07,1330.00,1348.00,1330.00,1336.00,1.06,463.00,619090.00,1
2022-01-10,1350.00,1360.00,1336.00,1360.00,0.67,992.00,1335079.00,1
2022-01-11,1360.00,1436.00,1350.00,1430.00,5.15,5970.00,8338865.00,1
2022-01-12,1401.50,1487.70,1392.00,1392.00,-2.66,6632.00,9457836.40,-1
2022-01-13,1419.00,1455.00,1391.00,1455.00,4.53,2682.00,3831675.00,1
2022-01-14,1419.00,1455.00,1391.00,1455.00,4.53,2682.00,3831675.00,1
2022-01-17,1485.30,1499.00,1445.10,1480.00,-0.94,3463.00,5056459.50,-1
2022-01-18,1475.00,1475.00,1426.00,1459.00,-1.42,2572.00,3726387.00,-1
2022-01-19,1484.00,1484.00,1421.00,1427.00,-2.19,1232.00,1761928.00,-1
2022-01-20,1454.00,1454.00,1401.50,1447.00,1.40,1044.00,1482545.50,1
2022-01-21,1454.00,1454.00,1401.50,1447.00,1.40,1044.00,1482545.50,1
2022-01-24,1410.00,1411.60,1381.00,1384.00,-3.22,1750.00,2427645.50,-1
2022-01-25,1357.00,1400.00,1357.00,1389.00,0.36,495.00,686197.00,1
2022-01-26,1390.00,1390.00,1340.00,1355.20,-2.43,725.00,987458.70,-1
2022-01-27,1346.00,1359.00,1331.00,1331.00,-1.79,755.00,1015301.00,-1
2022-01-28,1346.00,1359.00,1331.00,1331.00,-1.79,755.00,1015301.00,-1
2022-01-31,1390.00,1402.00,1372.00,1400.00,1.82,376.00,520037.00,1
2022-02-01,1400.00,1423.00,1375.00,1423.00,1.64,1681.00,2354652.40,1
2022-02-02,1400.00,1423.00,1375.00,1423.00,1.64,1681.00,2354652.40,1
2022-02-03,1400.00,1445.00,1361.10,1395.00,-1.97,1535.00,2136157.00,-1
2022-02-04,1400.00,1445.00,1361.10,1395.00,-1.97,1535.00,2136157.00,-1
2022-02-07,1335.00,1375.00,1335.00,1375.00,1.10,338.00,458314.00,1
2022-02-08,1398.50,1405.00,1350.00,1377.00,0.15,907.00,1242696.00,1
2022-02-09,1350.00,1353.30,1349.60,1349.70,-1.98,163.00,220047.80,-1
2022-02-10,1350.00,1364.00,1331.00,1332.00,-1.31,617.00,829671.00,-1
2022-02-11,1350.00,1364.00,1331.00,1332.00,-1.31,617.00,829671.00,-1
2022-02-14,1280.00,1280.00,1255.00,1280.00,0.00,1495.00,1888590.00,0
2022-02-15,1285.40,1370.00,1277.00,1360.00,6.25,1543.00,2052893.60,1
2022-02-16,1387.00,1387.00,1320.00,1321.00,-2.87,220.00,292931.00,-1
2022-02-17,1294.60,1320.00,1294.60,1305.00,-1.21,382.00,496847.00,-1
2022-02-18,1294.60,1320.00,1294.60,1305.00,-1.21,382.00,496847.00,-1
2022-02-21,1255.00,1280.00,1255.00,1261.30,-0.45,483.00,613035.30,-1
2022-02-22,1260.00,1300.00,1260.00,1280.10,1.49,304.00,390450.00,1
2022-02-23,1281.00,1295.40,1270.00,1272.00,-0.63,220.00,281431.00,-1
2022-02-24,1248.00,1260.00,1241.00,1260.00,-0.94,820.00,1025872.10,-1
2022-02-25,1248.00,1260.00,1241.00,1260.00,-0.94,820.00,1025872.10,-1
2022-02-28,1241.00,1260.00,1236.00,1248.00,0.65,645.00,806004.00,1
