published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-10,448.00,448.00,448.00,448.00,0.00,1534.00,687232.00,0
2022-10-20,448.00,448.00,448.00,448.00,0.00,4500.00,2016000.00,0
2022-10-31,448.00,448.00,448.00,448.00,0.00,4570.00,2047360.00,0
2023-07-03,404.00,404.00,404.00,404.00,0.00,10050.00,4060200.00,0
2024-02-27,327.00,327.00,327.00,327.00,0.00,18375.00,6008625.00,0
2024-03-03,327.00,327.00,327.00,327.00,0.00,10832.00,3542064.00,0
2024-04-28,327.00,327.00,327.00,327.00,0.00,6000.00,1962000.00,0
2024-05-19,327.00,327.00,327.00,327.00,0.00,3644.00,1191588.00,0
2024-07-18,327.00,327.00,327.00,327.00,0.00,10288.00,3364176.00,0
2024-08-12,327.00,327.00,327.00,327.00,0.00,6000.00,1962000.00,0
2024-09-01,327.00,327.00,327.00,327.00,0.00,900.00,294300.00,0
2024-09-16,327.00,327.00,327.00,327.00,0.00,8704.00,2846208.00,0
2024-09-17,327.00,327.00,327.00,327.00,0.00,8704.00,2846208.00,0
2024-12-08,495.00,495.00,495.00,495.00,0.00,4000.00,1980000.00,0
2024-12-22,495.00,495.00,495.00,495.00,0.00,15000.00,7425000.00,0
2025-05-28,458.00,458.00,458.00,458.00,0.00,14241.00,6522378.00,0
2025-05-29,458.00,458.00,458.00,458.00,0.00,14241.00,6522378.00,0
2025-06-01,458.00,458.00,458.00,458.00,0.00,14241.00,6522378.00,0
2025-06-18,458.00,458.00,458.00,458.00,0.00,8704.00,3986432.00,0
2025-07-13,458.00,458.00,458.00,458.00,0.00,2228.00,1020424.00,0
